Target	BaitCovg	in100nt	in300nt	in500nt
WeinellEntry904	1	1	1	1
WeinellEntry905	0.8952	1	1	1
WeinellEntry906	0.9073	1	1	1
WeinellEntry907	0.5014	0.9474	1	1
WeinellEntry908	0.9967	1	1	1
WeinellEntry909	1	1	1	1
WeinellEntry911	1	1	1	1
WeinellEntry912	1	1	1	1
WeinellEntry913	0.8689	0.9729	1	1
WeinellEntry914	1	1	1	1
WeinellEntry915	0.7908	1	1	1
WeinellEntry916	1	1	1	1
WeinellEntry917	0.8585	1	1	1
WeinellEntry918	1	1	1	1
WeinellEntry919	1	1	1	1
WeinellEntry920	1	1	1	1
WeinellEntry921	1	1	1	1
WeinellEntry922	0.9563	1	1	1
WeinellEntry923	1	1	1	1
WeinellEntry924	1	1	1	1
WeinellEntry925	1	1	1	1
WeinellEntry926	1	1	1	1
WeinellEntry927	1	1	1	1
WeinellEntry928	1	1	1	1
WeinellEntry929	0.9525	1	1	1
WeinellEntry930	0.8732	1	1	1
WeinellEntry931	1	1	1	1
WeinellEntry932	0.831	1	1	1
WeinellEntry934	1	1	1	1
WeinellEntry935	1	1	1	1
WeinellEntry936	0.831	1	1	1
WeinellEntry937	1	1	1	1
WeinellEntry938	0.9959	1	1	1
WeinellEntry940	1	1	1	1
WeinellEntry941	1	1	1	1
WeinellEntry943	1	1	1	1
WeinellEntry944	1	1	1	1
WeinellEntry945	1	1	1	1
WeinellEntry946	1	1	1	1
WeinellEntry947	0.662	0.9391	1	1
WeinellEntry948	1	1	1	1
WeinellEntry949	0.9324	1	1	1
WeinellEntry950	0.7464	0.9543	1	1
WeinellEntry951	1	1	1	1
WeinellEntry952	0.831	1	1	1
WeinellEntry953	0.8011	1	1	1
WeinellEntry954	0.3809	0.693	1	1
WeinellEntry955	0.751	1	1	1
WeinellEntry956	1	1	1	1
WeinellEntry957	1	1	1	1
WeinellEntry958	1	1	1	1
WeinellEntry959	1	1	1	1
WeinellEntry960	1	1	1	1
WeinellEntry961	0.6452	1	1	1
WeinellEntry962	0.9275	1	1	1
WeinellEntry963	1	1	1	1
WeinellEntry964	1	1	1	1
WeinellEntry965	1	1	1	1
WeinellEntry966	1	1	1	1
WeinellEntry967	1	1	1	1
WeinellEntry968	0.8393	1	1	1
WeinellEntry969	1	1	1	1
WeinellEntry970	1	1	1	1
WeinellEntry971	1	1	1	1
WeinellEntry972	0.3954	0.4995	0.7076	0.9157
WeinellEntry973	1	1	1	1
WeinellEntry974	1	1	1	1
WeinellEntry975	1	1	1	1
WeinellEntry977	0.9711	1	1	1
WeinellEntry978	0.5014	0.7784	1	1
WeinellEntry980	0.751	1	1	1
WeinellEntry981	1	1	1	1
WeinellEntry982	0.6648	1	1	1
WeinellEntry983	0.699	0.8377	1	1
WeinellEntry984	1	1	1	1
WeinellEntry985	0.9073	1	1	1
WeinellEntry987	1	1	1	1
WeinellEntry988	1	1	1	1
WeinellEntry989	1	1	1	1
WeinellEntry990	1	1	1	1
WeinellEntry991	1	1	1	1
WeinellEntry993	1	1	1	1
WeinellEntry994	1	1	1	1
WeinellEntry996	1	1	1	1
WeinellEntry997	0.7469	1	1	1
WeinellEntry998	1	1	1	1
WeinellEntry1000	1	1	1	1
WeinellEntry1002	1	1	1	1
WeinellEntry1003	0.8412	0.9896	1	1
WeinellEntry1004	1	1	1	1
WeinellEntry1005	0.9528	1	1	1
WeinellEntry1006	1	1	1	1
WeinellEntry1007	1	1	1	1
WeinellEntry1008	1	1	1	1
WeinellEntry1009	0.641	0.9948	1	1
WeinellEntry1010	0.9126	1	1	1
WeinellEntry1011	0.893	1	1	1
WeinellEntry1012	1	1	1	1
WeinellEntry1015	0.7469	1	1	1
WeinellEntry1016	1	1	1	1
WeinellEntry1017	1	1	1	1
WeinellEntry1018	0.5097	0.6947	1	1
WeinellEntry1019	1	1	1	1
WeinellEntry1021	0.1817	0.4459	0.6457	0.7971
WeinellEntry1022	0.8338	1	1	1
WeinellEntry1023	1	1	1	1
WeinellEntry1025	1	1	1	1
WeinellEntry1026	1	1	1	1
WeinellEntry1027	1	1	1	1
WeinellEntry1028	0.9455	1	1	1
WeinellEntry1029	0.9003	1	1	1
WeinellEntry1030	0.751	1	1	1
WeinellEntry1031	1	1	1	1
WeinellEntry1032	0.9933	1	1	1
WeinellEntry1033	1	1	1	1
WeinellEntry1034	0.656	0.9362	1	1
WeinellEntry1035	0.5818	0.8935	1	1
WeinellEntry1036	0.7691	0.8448	0.9962	1
WeinellEntry1038	1	1	1	1
WeinellEntry1040	1	1	1	1
WeinellEntry1041	0.751	1	1	1
WeinellEntry1042	1	1	1	1
WeinellEntry1043	1	1	1	1
WeinellEntry1045	1	1	1	1
WeinellEntry1047	1	1	1	1
WeinellEntry1048	0.797	0.9634	1	1
WeinellEntry1049	0.8952	1	1	1
WeinellEntry1050	1	1	1	1
WeinellEntry1051	1	1	1	1
WeinellEntry1052	1	1	1	1
WeinellEntry1053	0.922	1	1	1
WeinellEntry1054	0.9101	1	1	1
WeinellEntry1055	1	1	1	1
WeinellEntry1056	0.8439	1	1	1
WeinellEntry1057	1	1	1	1
WeinellEntry1058	1	1	1	1
WeinellEntry1059	1	1	1	1
WeinellEntry1060	0.6648	1	1	1
WeinellEntry1061	1	1	1	1
WeinellEntry1062	0.751	1	1	1
WeinellEntry1063	0.9817	1	1	1
WeinellEntry1064	0.751	1	1	1
WeinellEntry1065	1	1	1	1
WeinellEntry1066	1	1	1	1
WeinellEntry1067	1	1	1	1
WeinellEntry1068	0.751	1	1	1
WeinellEntry1069	1	1	1	1
WeinellEntry1070	1	1	1	1
WeinellEntry1071	1	1	1	1
WeinellEntry1072	1	1	1	1
WeinellEntry1073	1	1	1	1
WeinellEntry1074	1	1	1	1
WeinellEntry1075	0.9073	1	1	1
WeinellEntry1076	1	1	1	1
WeinellEntry1077	1	1	1	1
WeinellEntry1078	0.8836	1	1	1
WeinellEntry1079	1	1	1	1
WeinellEntry1081	0.8836	1	1	1
WeinellEntry1082	1	1	1	1
WeinellEntry1083	0.7539	0.9251	1	1
WeinellEntry1084	0.2729	0.5291	0.8655	1
WeinellEntry1086	1	1	1	1
WeinellEntry1087	1	1	1	1
WeinellEntry1088	1	1	1	1
WeinellEntry1089	1	1	1	1
WeinellEntry1090	1	1	1	1
WeinellEntry1091	1	1	1	1
WeinellEntry1092	1	1	1	1
WeinellEntry1093	0.831	1	1	1
WeinellEntry1094	1	1	1	1
WeinellEntry1095	0.8927	0.9852	1	1
WeinellEntry1096	0.9958	1	1	1
WeinellEntry1097	1	1	1	1
WeinellEntry1098	1	1	1	1
WeinellEntry1099	0.8393	1	1	1
WeinellEntry1100	0.6763	1	1	1
WeinellEntry1101	1	1	1	1
WeinellEntry1102	0.8985	1	1	1
WeinellEntry1103	1	1	1	1
WeinellEntry1104	1	1	1	1
WeinellEntry1105	0.9123	0.9988	1	1
WeinellEntry1106	1	1	1	1
WeinellEntry1107	1	1	1	1
WeinellEntry1108	1	1	1	1
WeinellEntry1109	0.751	1	1	1
WeinellEntry1111	0.5014	0.9391	1	1
WeinellEntry1112	0.9251	1	1	1
WeinellEntry1113	0.4927	0.7006	1	1
WeinellEntry1114	1	1	1	1
WeinellEntry1115	0.7469	1	1	1
WeinellEntry1116	1	1	1	1
WeinellEntry1117	0.8393	1	1	1
WeinellEntry1118	0.7469	1	1	1
WeinellEntry1119	1	1	1	1
WeinellEntry1120	1	1	1	1
WeinellEntry1121	1	1	1	1
WeinellEntry1122	1	1	1	1
WeinellEntry1123	0.7469	1	1	1
WeinellEntry1124	0.8732	1	1	1
WeinellEntry1125	0.751	1	1	1
WeinellEntry1126	1	1	1	1
WeinellEntry1127	1	1	1	1
WeinellEntry1128	0.9939	1	1	1
WeinellEntry1129	1	1	1	1
WeinellEntry1130	1	1	1	1
WeinellEntry1132	0.9757	1	1	1
WeinellEntry1133	1	1	1	1
WeinellEntry1134	1	1	1	1
WeinellEntry1135	1	1	1	1
WeinellEntry1136	1	1	1	1
WeinellEntry1139	1	1	1	1
WeinellEntry1141	0.7469	1	1	1
WeinellEntry1142	1	1	1	1
WeinellEntry1143	0.7469	1	1	1
WeinellEntry1144	1	1	1	1
WeinellEntry1146	0.7469	1	1	1
WeinellEntry1147	1	1	1	1
WeinellEntry1148	0.7469	1	1	1
WeinellEntry1149	1	1	1	1
WeinellEntry1150	1	1	1	1
WeinellEntry1151	0.7659	1	1	1
WeinellEntry1152	1	1	1	1
WeinellEntry1154	1	1	1	1
WeinellEntry1155	1	1	1	1
WeinellEntry1156	1	1	1	1
WeinellEntry1157	1	1	1	1
WeinellEntry1158	0.9116	1	1	1
WeinellEntry1159	1	1	1	1
WeinellEntry1160	0.922	1	1	1
WeinellEntry1161	1	1	1	1
WeinellEntry1162	0.8393	1	1	1
WeinellEntry1163	1	1	1	1
WeinellEntry1164	1	1	1	1
WeinellEntry1165	1	1	1	1
WeinellEntry1166	1	1	1	1
WeinellEntry1167	1	1	1	1
WeinellEntry1168	1	1	1	1
WeinellEntry1169	1	1	1	1
WeinellEntry1170	1	1	1	1
WeinellEntry1172	0.9722	1	1	1
WeinellEntry1173	1	1	1	1
WeinellEntry1174	1	1	1	1
WeinellEntry1175	0.3174	0.5255	0.9417	1
WeinellEntry1177	1	1	1	1
WeinellEntry1179	1	1	1	1
WeinellEntry1180	1	1	1	1
WeinellEntry1181	0.9215	0.9845	1	1
WeinellEntry1182	0.8836	1	1	1
WeinellEntry1184	1	1	1	1
WeinellEntry1185	1	1	1	1
WeinellEntry1186	1	1	1	1
WeinellEntry1187	1	1	1	1
WeinellEntry1188	1	1	1	1
WeinellEntry1189	1	1	1	1
WeinellEntry1190	1	1	1	1
WeinellEntry1191	0.9896	1	1	1
WeinellEntry1192	1	1	1	1
WeinellEntry1193	1	1	1	1
WeinellEntry1194	1	1	1	1
WeinellEntry1195	1	1	1	1
WeinellEntry1196	1	1	1	1
WeinellEntry1197	0.9969	1	1	1
WeinellEntry1198	0.9306	1	1	1
WeinellEntry1199	1	1	1	1
WeinellEntry1200	1	1	1	1
WeinellEntry1201	1	1	1	1
WeinellEntry1202	1	1	1	1
WeinellEntry1203	0.5014	0.7784	1	1
WeinellEntry1204	1	1	1	1
WeinellEntry1205	1	1	1	1
WeinellEntry1206	1	1	1	1
WeinellEntry1207	1	1	1	1
WeinellEntry1208	0.7462	0.8849	1	1
WeinellEntry1209	1	1	1	1
WeinellEntry1210	1	1	1	1
WeinellEntry1212	1	1	1	1
WeinellEntry1214	0.751	1	1	1
WeinellEntry1215	1	1	1	1
WeinellEntry1216	0.9518	1	1	1
WeinellEntry1217	1	1	1	1
WeinellEntry1219	1	1	1	1
WeinellEntry1221	1	1	1	1
WeinellEntry1222	0.9933	1	1	1
WeinellEntry1223	1	1	1	1
WeinellEntry1224	0.5014	0.7784	1	1
WeinellEntry1225	0.751	1	1	1
WeinellEntry1226	1	1	1	1
WeinellEntry1227	1	1	1	1
WeinellEntry1228	1	1	1	1
WeinellEntry1229	0.7469	1	1	1
WeinellEntry1230	1	1	1	1
WeinellEntry1231	1	1	1	1
WeinellEntry1233	1	1	1	1
WeinellEntry1234	1	1	1	1
WeinellEntry1235	0.959	1	1	1
WeinellEntry1236	1	1	1	1
WeinellEntry1237	0.9528	1	1	1
WeinellEntry1238	1	1	1	1
WeinellEntry1239	0.9563	1	1	1
WeinellEntry1240	1	1	1	1
WeinellEntry1241	0.9834	1	1	1
WeinellEntry1242	0.9558	1	1	1
WeinellEntry1246	1	1	1	1
WeinellEntry1247	1	1	1	1
WeinellEntry1249	0.3896	0.6127	0.9036	1
WeinellEntry1251	1	1	1	1
WeinellEntry1252	1	1	1	1
WeinellEntry1253	1	1	1	1
WeinellEntry1254	1	1	1	1
WeinellEntry1255	1	1	1	1
WeinellEntry1256	1	1	1	1
WeinellEntry1257	1	1	1	1
WeinellEntry1258	1	1	1	1
WeinellEntry1259	0.3174	0.6712	0.9781	1
WeinellEntry1260	1	1	1	1
WeinellEntry1261	1	1	1	1
WeinellEntry1263	1	1	1	1
WeinellEntry1264	1	1	1	1
WeinellEntry1265	0.922	1	1	1
WeinellEntry1266	0.662	0.9391	1	1
WeinellEntry1267	0.6195	0.7927	1	1
WeinellEntry1268	1	1	1	1
WeinellEntry1269	0.9865	1	1	1
WeinellEntry1270	1	1	1	1
WeinellEntry1271	0.9525	1	1	1
WeinellEntry1272	1	1	1	1
WeinellEntry1273	0.8647	0.9688	1	1
WeinellEntry1275	1	1	1	1
WeinellEntry1276	1	1	1	1
WeinellEntry1277	1	1	1	1
WeinellEntry1278	1	1	1	1
WeinellEntry1280	0.9154	1	1	1
WeinellEntry1281	0.8985	1	1	1
WeinellEntry1282	1	1	1	1
WeinellEntry1283	0.7469	1	1	1
WeinellEntry1284	0.7399	0.8168	0.9093	1
WeinellEntry1285	1	1	1	1
WeinellEntry1286	1	1	1	1
WeinellEntry1287	1	1	1	1
WeinellEntry1288	1	1	1	1
WeinellEntry1289	1	1	1	1
WeinellEntry1290	1	1	1	1
WeinellEntry1291	1	1	1	1
WeinellEntry1292	1	1	1	1
WeinellEntry1293	1	1	1	1
WeinellEntry1294	0.8393	1	1	1
WeinellEntry1295	0.9813	1	1	1
WeinellEntry1296	1	1	1	1
WeinellEntry1298	1	1	1	1
WeinellEntry1299	1	1	1	1
WeinellEntry1300	1	1	1	1
WeinellEntry1302	0.6648	1	1	1
WeinellEntry1303	1	1	1	1
WeinellEntry1304	1	1	1	1
WeinellEntry1305	1	1	1	1
WeinellEntry1307	0.751	1	1	1
WeinellEntry1308	0.7568	0.9647	1	1
WeinellEntry1309	0.7469	1	1	1
WeinellEntry1310	1	1	1	1
WeinellEntry1311	1	1	1	1
WeinellEntry1312	1	1	1	1
WeinellEntry1313	1	1	1	1
WeinellEntry1314	1	1	1	1
WeinellEntry1315	1	1	1	1
WeinellEntry1316	0.5606	0.7317	0.9167	1
WeinellEntry1317	0.9601	1	1	1
WeinellEntry1318	0.831	1	1	1
WeinellEntry1319	1	1	1	1
WeinellEntry1320	1	1	1	1
WeinellEntry1321	0.9967	1	1	1
WeinellEntry1322	0.9215	1	1	1
WeinellEntry1323	0.8985	1	1	1
WeinellEntry1324	1	1	1	1
WeinellEntry1325	1	1	1	1
WeinellEntry1326	0.3514	0.557	0.7652	0.9735
WeinellEntry1327	0.8585	0.9729	1	1
WeinellEntry1328	1	1	1	1
WeinellEntry1330	1	1	1	1
WeinellEntry1331	1	1	1	1
WeinellEntry1332	0.9132	1	1	1
WeinellEntry1333	0.751	1	1	1
WeinellEntry1335	1	1	1	1
WeinellEntry1336	1	1	1	1
WeinellEntry1337	0.9945	1	1	1
WeinellEntry1339	0.5203	0.77	0.9781	1
WeinellEntry1340	1	1	1	1
WeinellEntry1341	0.9078	1	1	1
WeinellEntry1342	0.751	1	1	1
WeinellEntry1343	0.7469	1	1	1
WeinellEntry1344	1	1	1	1
WeinellEntry1345	1	1	1	1
WeinellEntry1346	1	1	1	1
WeinellEntry1348	1	1	1	1
WeinellEntry1349	1	1	1	1
WeinellEntry1351	1	1	1	1
WeinellEntry1352	1	1	1	1
WeinellEntry1353	0.3517	0.6925	1	1
WeinellEntry1354	0.831	1	1	1
WeinellEntry1355	0.7526	1	1	1
WeinellEntry1356	1	1	1	1
WeinellEntry1357	1	1	1	1
WeinellEntry1358	1	1	1	1
WeinellEntry1359	0.7469	1	1	1
WeinellEntry1360	1	1	1	1
WeinellEntry1362	1	1	1	1
WeinellEntry1363	1	1	1	1
WeinellEntry1364	1	1	1	1
WeinellEntry1365	1	1	1	1
WeinellEntry1366	0.9959	1	1	1
WeinellEntry1367	1	1	1	1
WeinellEntry1368	1	1	1	1
WeinellEntry1369	1	1	1	1
WeinellEntry1372	1	1	1	1
WeinellEntry1373	0.9279	1	1	1
WeinellEntry1375	1	1	1	1
WeinellEntry1376	1	1	1	1
WeinellEntry1378	0.7469	1	1	1
WeinellEntry1380	1	1	1	1
WeinellEntry1381	1	1	1	1
WeinellEntry1382	1	1	1	1
WeinellEntry1383	0.9132	1	1	1
WeinellEntry1384	0.9324	1	1	1
WeinellEntry1385	1	1	1	1
WeinellEntry1386	1	1	1	1
WeinellEntry1387	1	1	1	1
WeinellEntry1388	1	1	1	1
WeinellEntry1389	0.7469	1	1	1
WeinellEntry1390	0.1863	0.2903	0.4984	0.7066
WeinellEntry1391	0.8647	0.9688	1	1
WeinellEntry1393	0.948	1	1	1
WeinellEntry1394	1	1	1	1
WeinellEntry1395	1	1	1	1
WeinellEntry1396	1	1	1	1
WeinellEntry1397	0.7469	1	1	1
WeinellEntry1398	0.9295	1	1	1
WeinellEntry1399	0.9853	1	1	1
WeinellEntry1400	1	1	1	1
WeinellEntry1401	1	1	1	1
WeinellEntry1402	1	1	1	1
WeinellEntry1403	1	1	1	1
WeinellEntry1404	1	1	1	1
WeinellEntry1405	1	1	1	1
WeinellEntry1406	1	1	1	1
WeinellEntry1407	1	1	1	1
WeinellEntry1408	1	1	1	1
WeinellEntry1409	1	1	1	1
WeinellEntry1410	0.7469	1	1	1
WeinellEntry1411	0.7469	1	1	1
WeinellEntry1413	1	1	1	1
WeinellEntry1414	0.8288	0.962	1	1
WeinellEntry1415	1	1	1	1
WeinellEntry1416	0.751	1	1	1
WeinellEntry1417	1	1	1	1
WeinellEntry1418	1	1	1	1
WeinellEntry1419	1	1	1	1
WeinellEntry1420	0.7469	1	1	1
WeinellEntry1421	0.922	1	1	1
WeinellEntry1422	0.6704	1	1	1
WeinellEntry1423	1	1	1	1
WeinellEntry1424	0.6704	0.9474	1	1
WeinellEntry1425	1	1	1	1
WeinellEntry1426	1	1	1	1
WeinellEntry1428	1	1	1	1
WeinellEntry1429	1	1	1	1
WeinellEntry1430	0.751	1	1	1
WeinellEntry1431	0.8888	1	1	1
WeinellEntry1432	0.9261	1	1	1
WeinellEntry1433	1	1	1	1
WeinellEntry1434	1	1	1	1
WeinellEntry1435	1	1	1	1
WeinellEntry1436	0.751	1	1	1
WeinellEntry1437	1	1	1	1
WeinellEntry1438	1	1	1	1
WeinellEntry1439	0.7568	0.9647	1	1
WeinellEntry1440	0.7763	1	1	1
WeinellEntry1441	1	1	1	1
WeinellEntry1442	1	1	1	1
WeinellEntry1443	1	1	1	1
WeinellEntry1444	0.641	0.9948	1	1
WeinellEntry1445	0.9972	1	1	1
WeinellEntry1446	0.9921	1	1	1
WeinellEntry1447	1	1	1	1
WeinellEntry1448	0.9507	1	1	1
WeinellEntry1449	0.8705	1	1	1
WeinellEntry1450	1	1	1	1
WeinellEntry1451	0.751	1	1	1
WeinellEntry1452	1	1	1	1
WeinellEntry1453	1	1	1	1
WeinellEntry1454	0.7469	1	1	1
WeinellEntry1455	1	1	1	1
WeinellEntry1457	0.922	1	1	1
WeinellEntry1458	0.9525	1	1	1
WeinellEntry1459	1	1	1	1
WeinellEntry1460	1	1	1	1
WeinellEntry1461	0.7587	0.9695	1	1
WeinellEntry1462	0.9958	1	1	1
WeinellEntry1463	1	1	1	1
WeinellEntry1464	1	1	1	1
WeinellEntry1465	1	1	1	1
WeinellEntry1467	0.831	1	1	1
WeinellEntry1468	1	1	1	1
WeinellEntry1469	1	1	1	1
WeinellEntry1470	0.8647	0.9688	1	1
WeinellEntry1471	0.5698	0.7549	1	1
WeinellEntry1472	0.751	1	1	1
WeinellEntry1473	1	1	1	1
WeinellEntry1474	0.4931	0.7701	1	1
WeinellEntry1475	1	1	1	1
WeinellEntry1476	0.385	0.6712	0.9105	1
WeinellEntry1477	1	1	1	1
WeinellEntry1478	0.8477	1	1	1
WeinellEntry1479	1	1	1	1
WeinellEntry1480	1	1	1	1
WeinellEntry1481	1	1	1	1
WeinellEntry1482	0.8393	1	1	1
WeinellEntry1483	1	1	1	1
WeinellEntry1484	0.9068	1	1	1
WeinellEntry1485	0.7469	1	1	1
WeinellEntry1486	0.9528	1	1	1
WeinellEntry1488	1	1	1	1
WeinellEntry1489	1	1	1	1
WeinellEntry1490	1	1	1	1
WeinellEntry1491	1	1	1	1
WeinellEntry1492	1	1	1	1
WeinellEntry1493	0.8952	1	1	1
WeinellEntry1494	1	1	1	1
WeinellEntry1495	0.7804	1	1	1
WeinellEntry1496	1	1	1	1
WeinellEntry1497	1	1	1	1
WeinellEntry1498	1	1	1	1
WeinellEntry1499	1	1	1	1
WeinellEntry1500	0.9793	1	1	1
WeinellEntry1501	1	1	1	1
WeinellEntry1502	0.884	0.9885	1	1
WeinellEntry1503	1	1	1	1
WeinellEntry1504	1	1	1	1
WeinellEntry1505	1	1	1	1
WeinellEntry1506	1	1	1	1
WeinellEntry1507	0.7469	1	1	1
WeinellEntry1508	0.8934	0.9767	1	1
WeinellEntry1509	0.7469	1	1	1
WeinellEntry1510	1	1	1	1
WeinellEntry1511	0.8288	1	1	1
WeinellEntry1512	0.7469	1	1	1
WeinellEntry1513	1	1	1	1
WeinellEntry1514	1	1	1	1
WeinellEntry1515	1	1	1	1
WeinellEntry1516	0.7469	1	1	1
WeinellEntry1517	0.7937	1	1	1
WeinellEntry1518	1	1	1	1
WeinellEntry1519	1	1	1	1
WeinellEntry1520	0.9267	1	1	1
WeinellEntry1521	1	1	1	1
WeinellEntry1522	1	1	1	1
WeinellEntry1524	1	1	1	1
WeinellEntry1525	1	1	1	1
WeinellEntry1527	1	1	1	1
WeinellEntry1528	1	1	1	1
WeinellEntry1529	0.4765	0.7535	1	1
WeinellEntry1530	1	1	1	1
WeinellEntry1531	1	1	1	1
WeinellEntry1532	0.9101	1	1	1
WeinellEntry1533	0.7469	1	1	1
WeinellEntry1534	1	1	1	1
WeinellEntry1535	0.7469	1	1	1
WeinellEntry1536	1	1	1	1
WeinellEntry1537	1	1	1	1
WeinellEntry1538	1	1	1	1
WeinellEntry1540	0.7469	1	1	1
WeinellEntry1541	1	1	1	1
WeinellEntry1542	1	1	1	1
WeinellEntry1543	0.8794	1	1	1
WeinellEntry1544	1	1	1	1
WeinellEntry1545	1	1	1	1
WeinellEntry1546	1	1	1	1
WeinellEntry1547	1	1	1	1
WeinellEntry1548	1	1	1	1
WeinellEntry1549	1	1	1	1
WeinellEntry1550	1	1	1	1
WeinellEntry1551	0.8836	1	1	1
WeinellEntry1552	1	1	1	1
WeinellEntry1553	1	1	1	1
WeinellEntry1554	1	1	1	1
WeinellEntry1555	0.8732	1	1	1
WeinellEntry1556	0.8377	1	1	1
WeinellEntry1557	1	1	1	1
WeinellEntry1559	1	1	1	1
WeinellEntry1560	0.9011	1	1	1
WeinellEntry1561	1	1	1	1
WeinellEntry1563	1	1	1	1
WeinellEntry1564	1	1	1	1
WeinellEntry1565	0.831	1	1	1
WeinellEntry1567	0.9101	1	1	1
WeinellEntry1568	0.2212	0.459	0.7289	0.9667
WeinellEntry1569	1	1	1	1
WeinellEntry1570	1	1	1	1
WeinellEntry1571	1	1	1	1
WeinellEntry1573	1	1	1	1
WeinellEntry1574	0.8952	1	1	1
WeinellEntry1576	0.9641	1	1	1
WeinellEntry1577	1	1	1	1
WeinellEntry1578	1	1	1	1
WeinellEntry1580	1	1	1	1
WeinellEntry1581	0.751	1	1	1
WeinellEntry1582	1	1	1	1
WeinellEntry1583	1	1	1	1
WeinellEntry1584	1	1	1	1
WeinellEntry1585	1	1	1	1
WeinellEntry1586	0.9179	1	1	1
WeinellEntry1587	0.2371	0.5125	0.8667	1
WeinellEntry1588	1	1	1	1
WeinellEntry1589	1	1	1	1
WeinellEntry1590	0.831	1	1	1
WeinellEntry1592	1	1	1	1
WeinellEntry1593	0.7469	1	1	1
WeinellEntry1594	0.7469	1	1	1
WeinellEntry1595	0.751	1	1	1
WeinellEntry1596	1	1	1	1
WeinellEntry1598	1	1	1	1
WeinellEntry1599	0.751	1	1	1
WeinellEntry1600	0.3809	0.6608	0.8855	1
WeinellEntry1602	1	1	1	1
WeinellEntry1603	0.7908	0.9053	1	1
WeinellEntry1604	0.8705	1	1	1
WeinellEntry1605	1	1	1	1
WeinellEntry1606	1	1	1	1
WeinellEntry1607	1	1	1	1
WeinellEntry1609	1	1	1	1
WeinellEntry1610	1	1	1	1
WeinellEntry1611	1	1	1	1
WeinellEntry1612	0.8393	1	1	1
WeinellEntry1613	1	1	1	1
WeinellEntry1615	0.7469	1	1	1
WeinellEntry1616	0.7469	1	1	1
WeinellEntry1617	1	1	1	1
WeinellEntry1618	1	1	1	1
WeinellEntry1619	0.9959	1	1	1
WeinellEntry1621	1	1	1	1
WeinellEntry1622	0.9629	1	1	1
WeinellEntry1624	1	1	1	1
WeinellEntry1625	0.3006	0.5504	0.9067	1
WeinellEntry1626	1	1	1	1
WeinellEntry1627	0.831	1	1	1
WeinellEntry1628	1	1	1	1
WeinellEntry1629	1	1	1	1
WeinellEntry1630	0.831	1	1	1
WeinellEntry1631	1	1	1	1
WeinellEntry1632	1	1	1	1
WeinellEntry1633	1	1	1	1
WeinellEntry1634	1	1	1	1
WeinellEntry1635	1	1	1	1
WeinellEntry1636	0.8393	1	1	1
WeinellEntry1637	1	1	1	1
WeinellEntry1638	1	1	1	1
WeinellEntry1639	1	1	1	1
WeinellEntry1640	1	1	1	1
WeinellEntry1641	1	1	1	1
WeinellEntry1643	1	1	1	1
WeinellEntry1644	1	1	1	1
WeinellEntry1645	1	1	1	1
WeinellEntry1646	0.8255	1	1	1
WeinellEntry1647	1	1	1	1
WeinellEntry1648	1	1	1	1
WeinellEntry1649	0.3427	0.5311	0.6592	0.7873
WeinellEntry1650	0.828	1	1	1
WeinellEntry1651	1	1	1	1
WeinellEntry1652	1	1	1	1
WeinellEntry1653	1	1	1	1
WeinellEntry1654	1	1	1	1
WeinellEntry1656	1	1	1	1
WeinellEntry1657	1	1	1	1
WeinellEntry1658	0.9563	1	1	1
WeinellEntry1659	1	1	1	1
WeinellEntry1660	0.7469	1	1	1
WeinellEntry1663	0.9297	1	1	1
WeinellEntry1664	1	1	1	1
WeinellEntry1665	1	1	1	1
WeinellEntry1667	1	1	1	1
WeinellEntry1668	1	1	1	1
WeinellEntry1669	0.751	1	1	1
WeinellEntry1672	1	1	1	1
WeinellEntry1673	1	1	1	1
WeinellEntry1674	1	1	1	1
WeinellEntry1676	0.9896	1	1	1
WeinellEntry1677	0.998	1	1	1
WeinellEntry1679	1	1	1	1
WeinellEntry1680	0.3993	0.7604	1	1
WeinellEntry1681	0.5735	0.8649	1	1
WeinellEntry1682	1	1	1	1
WeinellEntry1683	1	1	1	1
WeinellEntry1684	1	1	1	1
WeinellEntry1685	1	1	1	1
WeinellEntry1686	0.9907	1	1	1
WeinellEntry1687	1	1	1	1
WeinellEntry1688	0.751	1	1	1
WeinellEntry1689	1	1	1	1
WeinellEntry1690	0.7469	1	1	1
WeinellEntry1693	1	1	1	1
WeinellEntry1694	1	1	1	1
WeinellEntry1695	0.7469	1	1	1
WeinellEntry1696	0.7469	1	1	1
WeinellEntry1698	1	1	1	1
WeinellEntry1700	1	1	1	1
WeinellEntry1701	1	1	1	1
WeinellEntry1702	1	1	1	1
WeinellEntry1703	1	1	1	1
WeinellEntry1704	0.7469	1	1	1
WeinellEntry1705	0.4422	0.8065	1	1
WeinellEntry1706	1	1	1	1
WeinellEntry1707	1	1	1	1
WeinellEntry1708	1	1	1	1
WeinellEntry1709	1	1	1	1
WeinellEntry1710	1	1	1	1
WeinellEntry1711	1	1	1	1
WeinellEntry1712	1	1	1	1
WeinellEntry1713	1	1	1	1
WeinellEntry1714	1	1	1	1
WeinellEntry1715	1	1	1	1
WeinellEntry1717	1	1	1	1
WeinellEntry1718	0.8985	1	1	1
WeinellEntry1719	0.8851	1	1	1
WeinellEntry1720	1	1	1	1
WeinellEntry1723	1	1	1	1
WeinellEntry1724	1	1	1	1
WeinellEntry1725	0.6299	0.9647	1	1
