locus.name	type	includes.genes	locus.altname1	locus.altname2	locus.altname3	Weinell2024.alignments
locus798	REE	LOC106542646	WeinellEntry978	REE_787	sample66_0000001857	TRUE
locus799	REE	ELP6	WeinellEntry980	REE_788	sample66_0000001858	TRUE
locus800	REE	LOC106539700	WeinellEntry981	REE_789	sample66_0000001860	TRUE
locus801	REE	PLEKHG3	WeinellEntry982	REE_790	sample66_0000001861	TRUE
locus802	REE	FMN2	WeinellEntry983	REE_791	sample66_0000001862	TRUE
locus803	REE	LOC106548426	WeinellEntry984	REE_792	sample66_0000001863	TRUE
locus804	REE	LOC106540850	WeinellEntry985	REE_793	sample66_0000001864	TRUE
locus805	REE	MPO	WeinellEntry987	REE_794	sample66_0000001865	TRUE
locus806	REE	LOC106550373	WeinellEntry988	REE_795	sample66_0000001866	TRUE
locus807	REE	LOC106546142	WeinellEntry989	REE_796	sample66_0000001867	TRUE
locus808	REE	LOC106550832	WeinellEntry990	REE_797	sample66_0000001868	TRUE
locus809	REE	LOC106551477	WeinellEntry991	REE_798	sample66_0000001869	TRUE
locus810	REE	SHE	WeinellEntry993	REE_799	sample66_0000001870	TRUE
locus811	REE	LOC106551223	WeinellEntry994	REE_800	sample66_0000001871	TRUE
locus812	REE	LOC106550659	WeinellEntry996	REE_801	sample66_0000001872	TRUE
locus813	REE	LOC106552112	WeinellEntry997	REE_802	sample66_0000001873	TRUE
locus814	REE	LOC106539393	WeinellEntry998	REE_803	sample66_0000001874	TRUE
locus815	REE	LOC106551024	WeinellEntry1000	REE_804	sample66_0000001875	TRUE
locus816	REE	LOC106547163	WeinellEntry1002	REE_805	sample66_0000001876	TRUE
locus817	REE	KMT2C	WeinellEntry1003	REE_806	sample66_0000001877	TRUE
locus818	REE	LOC106545633	WeinellEntry1004	REE_807	sample66_0000001878	TRUE
locus819	REE	LOC106543082	WeinellEntry1005	REE_808	sample66_0000001879	TRUE
locus820	REE	IRF7	WeinellEntry1006	REE_809	sample66_0000001880	TRUE
locus821	REE	LOC106540087	WeinellEntry1007	REE_810	sample66_0000001881	TRUE
locus822	REE	ATP1B1	WeinellEntry1008	REE_811	sample66_0000001882	TRUE
locus823	REE	LOC106537684	WeinellEntry1009	REE_812	sample66_0000001883	TRUE
locus824	REE	LOC106548428	WeinellEntry1010	REE_813	sample66_0000001884	TRUE
locus825	REE	LOC106554245	WeinellEntry1011	REE_814	sample66_0000001885	TRUE
locus826	REE	PAFAH2	WeinellEntry1012	REE_815	sample66_0000001886	TRUE
locus827	REE	LOC106554518	WeinellEntry1015	REE_816	sample66_0000001887	TRUE
locus828	REE	LOC106551934	WeinellEntry1016	REE_817	sample66_0000001888	TRUE
locus829	REE	LOC106539591	WeinellEntry1017	REE_818	sample66_0000001889	TRUE
locus830	REE	LOC106554731	WeinellEntry1018	REE_819	sample66_0000001890	TRUE
locus831	REE	FAM160A2	WeinellEntry1019	REE_820	sample66_0000001891	TRUE
locus832	REE	LOC106543641	WeinellEntry1021	REE_821	sample66_0000001892	TRUE
locus833	REE	LOC106548997	WeinellEntry1022	REE_822	sample66_0000001893	TRUE
locus834	REE	LOC106549997	WeinellEntry1023	REE_823	sample66_0000001894	TRUE
locus835	REE	LOC106538157	WeinellEntry1025	REE_824	sample66_0000001895	TRUE
locus836	REE	LOC106539453	WeinellEntry1026	REE_825	sample66_0000001896	TRUE
locus837	REE	LOC106551538	WeinellEntry1027	REE_826	sample66_0000001897	TRUE
locus838	REE	LOC106552248	WeinellEntry1028	REE_827	sample66_0000001898	TRUE
locus839	REE	TTC9C	WeinellEntry1029	REE_828	sample66_0000001899	TRUE
locus840	REE	LOC106546430	WeinellEntry1030	REE_829	sample66_0000001900	TRUE
locus841	REE	LOC106549808	WeinellEntry1031	REE_830	sample66_0000001901	TRUE
locus842	REE	TMEM108	WeinellEntry1032	REE_831	sample66_0000001902	TRUE
locus843	REE	LOC106553507	WeinellEntry1033	REE_832	sample66_0000001903	TRUE
locus844	REE	LOC106541662	WeinellEntry1034	REE_833	sample66_0000001904	TRUE
locus845	REE	LOC106538515	WeinellEntry1035	REE_834	sample66_0000001905	TRUE
locus846	REE	LOC106550099	WeinellEntry1036	REE_835	sample66_0000001906	TRUE
locus847	REE	TOR2A	WeinellEntry1038	REE_836	sample66_0000001907	TRUE
locus848	REE	TGM5	WeinellEntry1040	REE_837	sample66_0000001909	TRUE
locus849	REE	TCTN2	WeinellEntry1041	REE_838	sample66_0000001911	TRUE
locus850	REE	LOC106555637	WeinellEntry1042	REE_839	sample66_0000001912	TRUE
locus851	REE	LOC106546109	WeinellEntry1043	REE_840	sample66_0000001913	TRUE
locus852	REE	LOC106552762	WeinellEntry1045	REE_841	sample66_0000001914	TRUE
locus853	REE	LOC106553527	WeinellEntry1047	REE_842	sample66_0000001915	TRUE
locus854	REE	TTC6	WeinellEntry1048	REE_843	sample66_0000001916	TRUE
locus855	REE	LOC106549906	WeinellEntry1049	REE_844	sample66_0000001917	TRUE
locus856	REE	LOC106548588	WeinellEntry1050	REE_845	sample66_0000001919	TRUE
locus857	REE	LOC106549456	WeinellEntry1051	REE_846	sample66_0000001920	TRUE
locus858	REE	LOC106541438	WeinellEntry1052	REE_847	sample66_0000001921	TRUE
locus859	REE	LOC106547789	WeinellEntry1053	REE_848	sample66_0000001922	TRUE
locus860	REE	LOC106555001	WeinellEntry1054	REE_849	sample66_0000001923	TRUE
locus861	REE	LOC106538475	WeinellEntry1055	REE_850	sample66_0000001924	TRUE
locus862	REE	LOC106537971	WeinellEntry1056	REE_851	sample66_0000001925	TRUE
locus863	REE	UMODL1	WeinellEntry1057	REE_852	sample66_0000001926	TRUE
locus864	REE	SAMD7	WeinellEntry1058	REE_853	sample66_0000001927	TRUE
locus865	REE	LOC106555616	WeinellEntry1059	REE_854	sample66_0000001928	TRUE
locus866	REE	ZFR	WeinellEntry1060	REE_855	sample66_0000001929	TRUE
locus867	REE	LOC106538011	WeinellEntry1061	REE_856	sample66_0000001930	TRUE
locus868	REE	LOC106555438	WeinellEntry1062	REE_857	sample66_0000001931	TRUE
locus869	REE	ZNF628	WeinellEntry1063	REE_858	sample66_0000001932	TRUE
locus870	REE	LOC106555430	WeinellEntry1064	REE_859	sample66_0000001933	TRUE
locus871	REE	LOC106551866	WeinellEntry1065	REE_860	sample66_0000001934	TRUE
locus872	REE	MTNR1B	WeinellEntry1066	REE_861	sample66_0000001935	TRUE
locus873	REE	KIF18A	WeinellEntry1067	REE_862	sample66_0000001936	TRUE
locus874	REE	STAT2	WeinellEntry1068	REE_863	sample66_0000001937	TRUE
locus875	REE	LOC106549706	WeinellEntry1069	REE_864	sample66_0000001938	TRUE
locus876	REE	LOC106552619	WeinellEntry1070	REE_865	sample66_0000001939	TRUE
locus877	REE	LOC106550239	WeinellEntry1071	REE_866	sample66_0000001940	TRUE
locus878	REE	BSG	WeinellEntry1072	REE_867	sample66_0000001941	TRUE
locus879	REE	LOC106546388	WeinellEntry1073	REE_868	sample66_0000001942	TRUE
locus880	REE	LOC106550509	WeinellEntry1074	REE_869	sample66_0000001943	TRUE
locus881	REE	SLC12A2	WeinellEntry1075	REE_870	sample66_0000001944	TRUE
locus882	REE	CUZD1	WeinellEntry1076	REE_871	sample66_0000001945	TRUE
locus883	REE	LOC106555226	WeinellEntry1077	REE_872	sample66_0000001946	TRUE
locus884	REE	SFTPD	WeinellEntry1078	REE_873	sample66_0000001947	TRUE
locus885	REE	SLC12A3	WeinellEntry1079	REE_874	sample66_0000001948	TRUE
locus886	REE	LOC106556998	WeinellEntry1081	REE_875	sample66_0000001949	TRUE
locus887	REE	NRK	WeinellEntry1082	REE_876	sample66_0000001950	TRUE
locus888	REE	LOC106539580	WeinellEntry1083	REE_877	sample66_0000001951	TRUE
locus889	REE	LOC106547939	WeinellEntry1084	REE_878	sample66_0000001952	TRUE
locus890	REE	LOC106550444	WeinellEntry1086	REE_879	sample66_0000001953	TRUE
locus891	REE	LOC106555452	WeinellEntry1087	REE_880	sample66_0000001954	TRUE
locus892	REE	LOC106543862	WeinellEntry1088	REE_881	sample66_0000001955	TRUE
locus893	REE	TDRD12	WeinellEntry1089	REE_882	sample66_0000001956	TRUE
locus894	REE	LOC106553882	WeinellEntry1090	REE_883	sample66_0000001957	TRUE
locus895	REE	CES1	WeinellEntry1091	REE_884	sample66_0000001958	TRUE
locus896	REE	KMT2D	WeinellEntry1092	REE_885	sample66_0000001959	TRUE
locus897	REE	LOC106545464	WeinellEntry1093	REE_886	sample66_0000001960	TRUE
locus898	REE	LOC106552971	WeinellEntry1094	REE_887	sample66_0000001961	TRUE
locus899	REE	LOC106541957	WeinellEntry1095	REE_888	sample66_0000001962	TRUE
locus900	REE	LOC106538269	WeinellEntry1096	REE_889	sample66_0000001963	TRUE
locus901	REE	LOC106554356	WeinellEntry1097	REE_890	sample66_0000001964	TRUE
locus902	REE	KNDC1	WeinellEntry1098	REE_891	sample66_0000001965	TRUE
locus903	REE	LOC106549708	WeinellEntry1099	REE_892	sample66_0000001966	TRUE
locus904	REE	LOC106543651	WeinellEntry1100	REE_893	sample66_0000001967	TRUE
locus905	REE	KANSL3	WeinellEntry1101	REE_894	sample66_0000001968	TRUE
locus906	REE	NUPL2	WeinellEntry1102	REE_895	sample66_0000001969	TRUE
locus907	REE	LOC106541205	WeinellEntry1103	REE_896	sample66_0000001970	TRUE
locus908	REE	LOC106541549	WeinellEntry1104	REE_897	sample66_0000001971	TRUE
locus909	REE	EXPH5	WeinellEntry1105	REE_898	sample66_0000001973	TRUE
locus910	REE	LOC106547164	WeinellEntry1106	REE_899	sample66_0000001974	TRUE
locus911	REE	DNHD1	WeinellEntry1107	REE_900	sample66_0000001975	TRUE
locus912	REE	CNTRL	WeinellEntry1108	REE_901	sample66_0000001976	TRUE
locus913	REE	LOC106539747	WeinellEntry1109	REE_902	sample66_0000001977	TRUE
locus914	REE	TDRKH	WeinellEntry1111	REE_903	sample66_0000001978	TRUE
locus915	REE	NSUN7	WeinellEntry1112	REE_904	sample66_0000001979	TRUE
locus916	REE	LOC106548772	WeinellEntry1113	REE_905	sample66_0000001980	TRUE
locus917	REE	LOC106553599	WeinellEntry1114	REE_906	sample66_0000001981	TRUE
locus918	REE	LOC106551064	WeinellEntry1115	REE_907	sample66_0000001983	TRUE
locus919	REE	FAM160B2	WeinellEntry1116	REE_908	sample66_0000001984	TRUE
locus920	REE	RITA1	WeinellEntry1117	REE_909	sample66_0000001986	TRUE
locus921	REE	LOC106554824	WeinellEntry1118	REE_910	sample66_0000001987	TRUE
locus922	REE	LOC106542407	WeinellEntry1119	REE_911	sample66_0000001988	TRUE
locus923	REE	SERPING1	WeinellEntry1120	REE_912	sample66_0000001989	TRUE
locus924	REE	TCEB3	WeinellEntry1121	REE_913	sample66_0000001990	TRUE
locus925	REE	ADA	WeinellEntry1122	REE_914	sample66_0000001991	TRUE
locus926	REE	FYTTD1	WeinellEntry1123	REE_915	sample66_0000001992	TRUE
locus927	REE	LOC106538152	WeinellEntry1124	REE_916	sample66_0000001993	TRUE
locus928	REE	LOC106546315	WeinellEntry1125	REE_917	sample66_0000001994	TRUE
locus929	REE	LOC106557320	WeinellEntry1126	REE_918	sample66_0000001995	TRUE
locus930	REE	SEC22C	WeinellEntry1127	REE_919	sample66_0000001996	TRUE
locus931	REE	B4GALNT4	WeinellEntry1128	REE_920	sample66_0000001997	TRUE
locus932	REE	LOC106556215	WeinellEntry1129	REE_921	sample66_0000001998	TRUE
locus933	REE	LOC106539399	WeinellEntry1130	REE_922	sample66_0000001999	TRUE
locus934	REE	NKTR	WeinellEntry1132	REE_923	sample66_0000002000	TRUE
locus935	REE	LOC106551899	WeinellEntry1133	REE_924	sample66_0000002001	TRUE
locus936	REE	LOC106538784	WeinellEntry1134	REE_925	sample66_0000002002	TRUE
locus937	REE	LOC106552399	WeinellEntry1135	REE_926	sample66_0000002003	TRUE
locus938	REE	LOC106553255	WeinellEntry1136	REE_927	sample66_0000002004	TRUE
locus939	REE	TATDN2	WeinellEntry1139	REE_928	sample66_0000002005	TRUE
locus940	REE	LOC106542676	WeinellEntry1141	REE_929	sample66_0000002006	TRUE
locus941	REE	LOC106550713	WeinellEntry1142	REE_930	sample66_0000002007	TRUE
locus942	REE	LOC106539215	WeinellEntry1143	REE_931	sample66_0000002008	TRUE
locus943	REE	LOC106538485	WeinellEntry1144	REE_932	sample66_0000002009	TRUE
locus944	REE	LOC106538457	WeinellEntry1146	REE_933	sample66_0000002010	TRUE
locus945	REE	LOC106542907	WeinellEntry1147	REE_934	sample66_0000002011	TRUE
locus946	REE	LOC106551680	WeinellEntry1148	REE_935	sample66_0000002012	TRUE
locus947	REE	LOC106555868	WeinellEntry1149	REE_936	sample66_0000002013	TRUE
locus948	REE	LOC106551480	WeinellEntry1150	REE_937	sample66_0000002014	TRUE
locus949	REE	LOC106537682	WeinellEntry1151	REE_938	sample66_0000002015	TRUE
locus950	REE	LOC106553007	WeinellEntry1152	REE_939	sample66_0000002016	TRUE
locus951	REE	ITGB4	WeinellEntry1154	REE_940	sample66_0000002017	TRUE
locus952	REE	MAP3K6	WeinellEntry1155	REE_941	sample66_0000002018	TRUE
locus953	REE	PRSS53	WeinellEntry1156	REE_942	sample66_0000002019	TRUE
locus954	REE	LOC106538797	WeinellEntry1157	REE_943	sample66_0000002020	TRUE
locus955	REE	LOC106539584	WeinellEntry1158	REE_944	sample66_0000002021	TRUE
locus956	REE	SETD5	WeinellEntry1159	REE_945	sample66_0000002022	TRUE
locus957	REE	LOC106539805	WeinellEntry1160	REE_946	sample66_0000002023	TRUE
locus958	REE	LOC106540083	WeinellEntry1161	REE_947	sample66_0000002024	TRUE
locus959	REE	NBN	WeinellEntry1162	REE_948	sample66_0000002025	TRUE
locus960	REE	LOC106539542	WeinellEntry1163	REE_949	sample66_0000002026	TRUE
locus961	REE	LOC106548054	WeinellEntry1164	REE_950	sample66_0000002027	TRUE
locus962	REE	LRRC47	WeinellEntry1165	REE_951	sample66_0000002028	TRUE
locus963	REE	LOC106553763	WeinellEntry1166	REE_952	sample66_0000002029	TRUE
locus964	REE	LRMP	WeinellEntry1167	REE_953	sample66_0000002030	TRUE
locus965	REE	LOC106538516	WeinellEntry1168	REE_954	sample66_0000002031	TRUE
locus966	REE	FIBCD1	WeinellEntry1169	REE_955	sample66_0000002032	TRUE
locus967	REE	LOC106554333	WeinellEntry1170	REE_956	sample66_0000002033	TRUE
locus968	REE	MAP10	WeinellEntry1172	REE_957	sample66_0000002034	TRUE
locus969	REE	LOC106538212	WeinellEntry1173	REE_958	sample66_0000002035	TRUE
locus970	REE	PIH1D2	WeinellEntry1174	REE_959	sample66_0000002036	TRUE
locus971	REE	LOC106553358	WeinellEntry1175	REE_960	sample66_0000002037	TRUE
locus972	REE	MGST1	WeinellEntry1177	REE_961	sample66_0000002038	TRUE
locus973	REE	LOC106543133	WeinellEntry1179	REE_962	sample66_0000002039	TRUE
locus974	REE	LOC106546531	WeinellEntry1180	REE_963	sample66_0000002040	TRUE
locus975	REE	LOC106552592	WeinellEntry1181	REE_964	sample66_0000002041	TRUE
locus976	REE	LOC106552296	WeinellEntry1182	REE_965	sample66_0000002042	TRUE
locus977	REE	LOC106545959	WeinellEntry1184	REE_966	sample66_0000002043	TRUE
locus978	REE	LOC106552300	WeinellEntry1185	REE_967	sample66_0000002044	TRUE
locus979	REE	LOC106554465	WeinellEntry1186	REE_968	sample66_0000002045	TRUE
locus980	REE	IL12RB2	WeinellEntry1187	REE_969	sample66_0000002046	TRUE
locus981	REE	LOC106544978	WeinellEntry1188	REE_970	sample66_0000002047	TRUE
locus982	REE	LOC106538130	WeinellEntry1189	REE_971	sample66_0000002048	TRUE
locus983	REE	LOC106544933	WeinellEntry1190	REE_972	sample66_0000002050	TRUE
locus984	REE	AUNIP	WeinellEntry1191	REE_973	sample66_0000002051	TRUE
locus985	REE	HEPH	WeinellEntry1192	REE_974	sample66_0000002052	TRUE
locus986	REE	WHSC1	WeinellEntry1193	REE_975	sample66_0000002053	TRUE
locus987	REE	LOC106538492	WeinellEntry1194	REE_976	sample66_0000002054	TRUE
locus988	REE	FBXL22	WeinellEntry1195	REE_977	sample66_0000002055	TRUE
locus989	REE	LOC106549301	WeinellEntry1196	REE_978	sample66_0000002056	TRUE
locus990	REE	ETAA1	WeinellEntry1197	REE_979	sample66_0000002057	TRUE
locus991	REE	LOC106546568	WeinellEntry1198	REE_980	sample66_0000002058	TRUE
locus992	REE	KCNE3	WeinellEntry1199	REE_981	sample66_0000002059	TRUE
locus993	REE	CCDC87	WeinellEntry1200	REE_982	sample66_0000002061	TRUE
locus994	REE	PEAK1	WeinellEntry1201	REE_983	sample66_0000002062	TRUE
locus995	REE	IDS	WeinellEntry1202	REE_984	sample66_0000002063	TRUE
locus996	REE	LOC106540383	WeinellEntry1203	REE_985	sample66_0000002064	TRUE
locus997	REE	DPP7	WeinellEntry1204	REE_986	sample66_0000002065	TRUE
locus998	REE	THOP1	WeinellEntry1205	REE_987	sample66_0000002066	TRUE
locus999	REE	DMXL2	WeinellEntry1206	REE_988	sample66_0000002067	TRUE
locus1000	REE	LOC106542674	WeinellEntry1207	REE_989	sample66_0000002069	TRUE
locus1001	REE	MKI67	WeinellEntry1208	REE_990	sample66_0000002070	TRUE
locus1002	REE	RNH1	WeinellEntry1209	REE_991	sample66_0000002071	TRUE
locus1003	REE	TNFRSF11A	WeinellEntry1210	REE_992	sample66_0000002072	TRUE
locus1004	REE	ITGB1BP2	WeinellEntry1212	REE_993	sample66_0000002074	TRUE
locus1005	REE	LOC106539016	WeinellEntry1214	REE_994	sample66_0000002075	TRUE
locus1006	REE	USP54	WeinellEntry1215	REE_995	sample66_0000002076	TRUE
locus1007	REE	LOC106556133	WeinellEntry1216	REE_996	sample66_0000002077	TRUE
locus1008	REE	LOC106540604	WeinellEntry1217	REE_997	sample66_0000002079	TRUE
locus1009	REE	OLFML2A	WeinellEntry1219	REE_998	sample66_0000002080	TRUE
locus1010	REE	LOC106543786	WeinellEntry1221	REE_999	sample66_0000002081	TRUE
locus1011	REE	LOC106538034	WeinellEntry1222	REE_1000	sample66_0000002082	TRUE
locus1012	REE	VMO1	WeinellEntry1223	REE_1001	sample66_0000002083	TRUE
locus1013	REE	LOC106538418	WeinellEntry1224	REE_1002	sample66_0000002084	TRUE
locus1014	REE	LOC106539632	WeinellEntry1225	REE_1003	sample66_0000002085	TRUE
locus1015	REE	LOC106550641	WeinellEntry1226	REE_1004	sample66_0000002087	TRUE
locus1016	REE	LOC106553340	WeinellEntry1227	REE_1005	sample66_0000002088	TRUE
locus1017	REE	LOC106556561	WeinellEntry1228	REE_1006	sample66_0000002089	TRUE
locus1018	REE	LOC106547295	WeinellEntry1229	REE_1007	sample66_0000002090	TRUE
locus1019	REE	MRPL40	WeinellEntry1230	REE_1008	sample66_0000002091	TRUE
locus1020	REE	POLG2	WeinellEntry1231	REE_1009	sample66_0000002093	TRUE
locus1021	REE	NECTIN4	WeinellEntry1233	REE_1010	sample66_0000002094	TRUE
locus1022	REE	CATSPER4	WeinellEntry1234	REE_1011	sample66_0000002095	TRUE
locus1023	REE	ITPRIPL1	WeinellEntry1235	REE_1012	sample66_0000002096	TRUE
locus1024	REE	PLD3	WeinellEntry1236	REE_1013	sample66_0000002097	TRUE
locus1025	REE	LOC106549998	WeinellEntry1237	REE_1014	sample66_0000002098	TRUE
locus1026	REE	FAM227A	WeinellEntry1238	REE_1015	sample66_0000002099	TRUE
locus1027	REE	LOC106552687	WeinellEntry1239	REE_1016	sample66_0000002100	TRUE
locus1028	REE	LOC106555378	WeinellEntry1240	REE_1017	sample66_0000002101	TRUE
locus1029	REE	LOC106547798	WeinellEntry1241	REE_1018	sample66_0000002102	TRUE
locus1030	REE	LOC106557014	WeinellEntry1242	REE_1019	sample66_0000002103	TRUE
locus1031	REE	TBX3	WeinellEntry1246	REE_1020	sample66_0000002104	TRUE
locus1032	REE	LOC106542578	WeinellEntry1247	REE_1021	sample66_0000002105	TRUE
locus1033	REE	LOC106555507	WeinellEntry1249	REE_1022	sample66_0000002106	TRUE
locus1034	REE	LOC106555122	WeinellEntry1251	REE_1023	sample66_0000002107	TRUE
locus1035	REE	HSPG2	WeinellEntry1252	REE_1024	sample66_0000002108	TRUE
locus1036	REE	LOC106547431	WeinellEntry1253	REE_1025	sample66_0000002109	TRUE
locus1037	REE	IL17RC	WeinellEntry1254	REE_1026	sample66_0000002110	TRUE
locus1038	REE	LOC106557005	WeinellEntry1255	REE_1027	sample66_0000002111	TRUE
locus1039	REE	LOC106537964	WeinellEntry1256	REE_1028	sample66_0000002112	TRUE
locus1040	REE	IL10RA	WeinellEntry1257	REE_1029	sample66_0000002113	TRUE
locus1041	REE	WDR72	WeinellEntry1258	REE_1030	sample66_0000002114	TRUE
locus1042	REE	LOC106553241	WeinellEntry1259	REE_1031	sample66_0000002115	TRUE
locus1043	REE	LOC106554759	WeinellEntry1260	REE_1032	sample66_0000002116	TRUE
locus1044	REE	LOC106549331	WeinellEntry1261	REE_1033	sample66_0000002117	TRUE
locus1045	REE	LOC106555535	WeinellEntry1263	REE_1034	sample66_0000002118	TRUE
locus1046	REE	LOC106545462	WeinellEntry1264	REE_1035	sample66_0000002119	TRUE
locus1047	REE	ZNF488	WeinellEntry1265	REE_1036	sample66_0000002120	TRUE
locus1048	REE	LOC106548766	WeinellEntry1266	REE_1037	sample66_0000002121	TRUE
locus1049	REE	LOC106547841	WeinellEntry1267	REE_1038	sample66_0000002122	TRUE
locus1050	REE	LOC106548587	WeinellEntry1268	REE_1039	sample66_0000002123	TRUE
locus1051	REE	HIVEP3	WeinellEntry1269	REE_1040	sample66_0000002124	TRUE
locus1052	REE	LOC106556529	WeinellEntry1270	REE_1041	sample66_0000002126	TRUE
locus1053	REE	LOC106554991	WeinellEntry1271	REE_1042	sample66_0000002127	TRUE
locus1054	REE	LOC106541579	WeinellEntry1272	REE_1043	sample66_0000002128	TRUE
locus1055	REE	CNST	WeinellEntry1273	REE_1044	sample66_0000002129	TRUE
locus1056	REE	LOC106555949	WeinellEntry1275	REE_1045	sample66_0000002130	TRUE
locus1057	REE	PON2	WeinellEntry1276	REE_1046	sample66_0000002131	TRUE
locus1058	REE	CCBL1	WeinellEntry1277	REE_1047	sample66_0000002132	TRUE
locus1059	REE	FASTKD2	WeinellEntry1278	REE_1048	sample66_0000002133	TRUE
locus1060	REE	ADAMTS4	WeinellEntry1280	REE_1049	sample66_0000002134	TRUE
locus1061	REE	LOC106553706	WeinellEntry1281	REE_1050	sample66_0000002135	TRUE
locus1062	REE	LOC106543944	WeinellEntry1282	REE_1051	sample66_0000002136	TRUE
locus1063	REE	LOC106551112	WeinellEntry1283	REE_1052	sample66_0000002137	TRUE
locus1064	REE	LOC106557303	WeinellEntry1284	REE_1053	sample66_0000002138	TRUE
locus1065	REE	LOC106552143	WeinellEntry1285	REE_1054	sample66_0000002139	TRUE
locus1066	REE	LOC106549592	WeinellEntry1286	REE_1055	sample66_0000002140	TRUE
locus1067	REE	LOC106550829	WeinellEntry1287	REE_1056	sample66_0000002141	TRUE
locus1068	REE	TOP3A	WeinellEntry1288	REE_1057	sample66_0000002142	TRUE
locus1069	REE	PARP14	WeinellEntry1289	REE_1058	sample66_0000002143	TRUE
locus1070	REE	R3HCC1L	WeinellEntry1290	REE_1059	sample66_0000002144	TRUE
locus1071	REE	LOC106549369	WeinellEntry1291	REE_1060	sample66_0000002145	TRUE
locus1072	REE	LOXL1	WeinellEntry1292	REE_1061	sample66_0000002146	TRUE
locus1073	REE	DAPK3	WeinellEntry1293	REE_1062	sample66_0000002147	TRUE
locus1074	REE	CFDP1	WeinellEntry1294	REE_1063	sample66_0000002148	TRUE
locus1075	REE	FSIP2	WeinellEntry1295	REE_1064	sample66_0000002149	TRUE
locus1076	REE	TMEM150B	WeinellEntry1296	REE_1065	sample66_0000002150	TRUE
locus1077	REE	ZG16	WeinellEntry1298	REE_1066	sample66_0000002151	TRUE
locus1078	REE	LOC106555339	WeinellEntry1299	REE_1067	sample66_0000002152	TRUE
locus1079	REE	LOC106547976	WeinellEntry1300	REE_1068	sample66_0000002153	TRUE
locus1080	REE	LOC106555327	WeinellEntry1302	REE_1069	sample66_0000002154	TRUE
locus1081	REE	LOC106553508	WeinellEntry1303	REE_1070	sample66_0000002155	TRUE
locus1082	REE	LDLR	WeinellEntry1304	REE_1071	sample66_0000002156	TRUE
locus1083	REE	NDUFB2	WeinellEntry1305	REE_1072	sample66_0000002157	TRUE
locus1084	REE	LOC106544560	WeinellEntry1307	REE_1073	sample66_0000002158	TRUE
locus1085	REE	CCDC9	WeinellEntry1308	REE_1074	sample66_0000002159	TRUE
locus1086	REE	LOC106556481	WeinellEntry1309	REE_1075	sample66_0000002160	TRUE
locus1087	REE	ADAMTSL5	WeinellEntry1310	REE_1076	sample66_0000002161	TRUE
locus1088	REE	LOC106542143	WeinellEntry1311	REE_1077	sample66_0000002162	TRUE
locus1089	REE	LOC106546484	WeinellEntry1312	REE_1078	sample66_0000002163	TRUE
locus1090	REE	LOC106549946	WeinellEntry1313	REE_1079	sample66_0000002164	TRUE
locus1091	REE	C2CD3	WeinellEntry1314	REE_1080	sample66_0000002165	TRUE
locus1092	REE	LOC106552217	WeinellEntry1315	REE_1081	sample66_0000002166	TRUE
locus1093	REE	LOC106547081	WeinellEntry1316	REE_1082	sample66_0000002167	TRUE
locus1094	REE	ANKRD24	WeinellEntry1317	REE_1083	sample66_0000002168	TRUE
locus1095	REE	LOC106557349	WeinellEntry1318	REE_1084	sample66_0000002169	TRUE
locus1096	REE	LOC106554742	WeinellEntry1319	REE_1085	sample66_0000002170	TRUE
locus1097	REE	LOC106546426	WeinellEntry1320	REE_1086	sample66_0000002171	TRUE
locus1098	REE	TMEM217	WeinellEntry1321	REE_1087	sample66_0000002172	TRUE
locus1099	REE	RUSC1	WeinellEntry1322	REE_1088	sample66_0000002173	TRUE
locus1100	REE	LOC106538717	WeinellEntry1323	REE_1089	sample66_0000002174	TRUE
locus1101	REE	LOC106546982	WeinellEntry1324	REE_1090	sample66_0000002175	TRUE
locus1102	REE	CGNL1	WeinellEntry1325	REE_1091	sample66_0000002176	TRUE
locus1103	REE	LOC106545505	WeinellEntry1326	REE_1092	sample66_0000002177	TRUE
locus1104	REE	LOC106545746	WeinellEntry1327	REE_1093	sample66_0000002178	TRUE
locus1105	REE	NSUN4	WeinellEntry1328	REE_1094	sample66_0000002179	TRUE
locus1106	REE	PKP2	WeinellEntry1330	REE_1095	sample66_0000002180	TRUE
locus1107	REE	LOC106545313	WeinellEntry1331	REE_1096	sample66_0000002181	TRUE
locus1108	REE	LOC106554327	WeinellEntry1332	REE_1097	sample66_0000002182	TRUE
locus1109	REE	LOC106541235	WeinellEntry1333	REE_1098	sample66_0000002183	TRUE
locus1110	REE	LOC106548679	WeinellEntry1335	REE_1099	sample66_0000002184	TRUE
locus1111	REE	LOC106551037	WeinellEntry1336	REE_1100	sample66_0000002185	TRUE
locus1112	REE	DIXDC1	WeinellEntry1337	REE_1101	sample66_0000002186	TRUE
locus1113	REE	LOC106546263	WeinellEntry1339	REE_1102	sample66_0000002187	TRUE
locus1114	REE	LOC106540976	WeinellEntry1340	REE_1103	sample66_0000002188	TRUE
locus1115	REE	LOC106544688	WeinellEntry1341	REE_1104	sample66_0000002189	TRUE
locus1116	REE	LOC106538782	WeinellEntry1342	REE_1105	sample66_0000002190	TRUE
locus1117	REE	SLC25A43	WeinellEntry1344	REE_1106	sample66_0000002191	TRUE
locus1118	REE	LOC106548857	WeinellEntry1345	REE_1107	sample66_0000002192	TRUE
locus1119	REE	LXN	WeinellEntry1346	REE_1108	sample66_0000002193	TRUE
