blkID	gen1	gen2	chr1	chr2	startBp1	endBp1	startOrd1	endOrd1	firstGene1	lastGene1	nHits1	nHits2	orient	startBp2	endBp2	startOrd2	endOrd2	firstGene2	lastGene2
naja_thamnophis_naja_thamnophis_m10_16_1_1_0	naja	thamnophis	m10	16	9345641	11561951	21602	21640	0_21484	0_21522	28	31	-	28223786	25574812	19830	19768	1_15916	1_15865
naja_thamnophis_naja_thamnophis_m10_16_1_2_0	naja	thamnophis	m10	16	1035605	1832171	21336	21360	0_21218	0_21242	15	13	-	29796798	28463634	19863	19841	1_15939	1_15925
naja_thamnophis_naja_thamnophis_m10_16_1_5_0	naja	thamnophis	m10	16	3763	991990	21299	21335	0_21181	0_21217	27	24	-	37276474	36135920	20007	19982	1_16049	1_16026
naja_thamnophis_naja_thamnophis_m11_15_1_1_0	naja	thamnophis	m11	15	8681791	10020798	21877	21926	0_21759	0_21808	39	39	-	1643738	43198	18818	18764	1_15075	1_15028
naja_thamnophis_naja_thamnophis_m11_15_1_4_0	naja	thamnophis	m11	15	555300	2584001	21678	21734	0_21560	0_21616	45	46	-	10407418	7732349	19008	18943	1_15229	1_15173
naja_thamnophis_naja_thamnophis_m2_7_1_1_0	naja	thamnophis	m2	7	329330	30161287	10966	11309	0_10903	0_11244	259	210	-	85881478	55192916	13158	12884	1_10543	1_10318
naja_thamnophis_naja_thamnophis_m3_12_1_1_0	naja	thamnophis	m3	12	162369	29709534	13833	14540	0_13749	0_14452	531	516	-	32526715	7322	16696	16019	1_13390	1_12821
naja_thamnophis_naja_thamnophis_m5_12_1_1_0	naja	thamnophis	m5	12	3457951	4402491	17861	17877	0_17754	0_17770	14	9	-	34235860	32567846	16707	16698	1_13400	1_13392
naja_thamnophis_naja_thamnophis_m5_12_1_3_0	naja	thamnophis	m5	12	31168	1086762	17807	17829	0_17700	0_17722	20	17	-	38795798	37394431	16754	16736	1_13441	1_13425
naja_thamnophis_naja_thamnophis_m5_12_1_5_0	naja	thamnophis	m5	12	19842218	25088079	18057	18186	0_17950	0_18079	101	98	-	60626081	54481552	17044	16915	1_13681	1_13574
naja_thamnophis_naja_thamnophis_m7_14_1_1_0	naja	thamnophis	m7	14	13071674	19962476	20120	20358	0_20006	0_20244	166	158	-	7576582	29	18144	17921	1_14542	1_14361
naja_thamnophis_naja_thamnophis_m7_14_1_3_0	naja	thamnophis	m7	14	84931	12113486	19898	20101	0_19785	0_19987	134	122	-	22231690	8825141	18348	18166	1_14692	1_14561
naja_thamnophis_naja_thamnophis_m9_17_2_1_0	naja	thamnophis	m9	17	13140563	15294349	21162	21297	0_21045	0_21179	101	98	-	4807346	922001	20280	20138	1_16286	1_16163
naja_thamnophis_naja_thamnophis_m9_17_2_3_0	naja	thamnophis	m9	17	11084756	11883312	21113	21152	0_20996	0_21035	21	22	-	6328210	5329744	20359	20309	1_16346	1_16313
naja_thamnophis_naja_thamnophis_m9_17_2_4_0	naja	thamnophis	m9	17	6586451	10529957	20953	21073	0_20836	0_20956	88	95	-	10681142	6330997	20492	20360	1_16455	1_16347
naja_thamnophis_naja_thamnophis_m9_17_3_1_0	naja	thamnophis	m9	17	5121007	5730575	20928	20947	0_20811	0_20830	19	23	-	12284654	11445888	20552	20516	1_16503	1_16476
naja_thamnophis_naja_thamnophis_m9_17_3_3_0	naja	thamnophis	m9	17	3807421	4325874	20890	20910	0_20773	0_20793	13	12	-	17008226	16435712	20632	20613	1_16547	1_16534
naja_thamnophis_naja_thamnophis_1_1_1_1_0	thamnophis	naja	1	1	444316	185857386	2471	4537	1_2045	1_3709	1496	1801	+	181027879	372298386	4276	6531	0_4251	0_6494
naja_thamnophis_naja_thamnophis_1_1_2_1_0	thamnophis	naja	1	1	186193949	186683008	4545	4572	1_3717	1_3742	23	22	+	374263341	374759331	6584	6615	0_6547	0_6578
naja_thamnophis_naja_thamnophis_1_3_1_1_0	thamnophis	naja	3	1	333072	36491354	7273	7593	1_5907	1_6167	255	301	+	144629105	180799454	3884	4268	0_3861	0_4243
naja_thamnophis_naja_thamnophis_1_NW_022473609.1_1_1_0	thamnophis	naja	NW_022473609.1	1	5718	72343	20706	20712	1_16606	1_16612	7	7	+	374036243	374107698	6569	6575	0_6532	0_6538
naja_thamnophis_naja_thamnophis_2_2_1_1_0	thamnophis	naja	2	2	424795	776593	4581	4592	1_3748	1_3758	11	17	+	188946091	189949668	9713	9732	0_9659	0_9677
naja_thamnophis_naja_thamnophis_2_2_1_3_0	thamnophis	naja	2	2	20308669	24858275	4987	5053	1_4094	1_4151	55	62	+	163903679	168855578	9230	9303	0_9177	0_9250
naja_thamnophis_naja_thamnophis_2_3_1_1_0	thamnophis	naja	3	2	36593893	149478535	7595	8606	1_6169	1_6980	748	910	+	190451386	306952829	9739	10900	0_9684	0_10837
naja_thamnophis_naja_thamnophis_2_3_1_3_0	thamnophis	naja	3	2	149967212	150616846	8629	8647	1_6997	1_7015	16	15	+	308494650	308945369	10911	10929	0_10848	0_10866
naja_thamnophis_naja_thamnophis_3_11_1_1_0	thamnophis	naja	11	3	14377	16340034	15431	15607	1_12362	1_12498	124	150	+	102235846	119971650	12569	12790	0_12497	0_12715
naja_thamnophis_naja_thamnophis_3_6_1_1_0	thamnophis	naja	6	3	67398757	85789302	12010	12201	1_9610	1_9757	144	153	+	120399078	139262010	12795	12991	0_12720	0_12916
naja_thamnophis_naja_thamnophis_3_8_1_1_0	thamnophis	naja	8	3	1212076	80807616	13164	13971	1_10545	1_11188	584	645	+	142297804	223829449	12996	13826	0_12921	0_13742
naja_thamnophis_naja_thamnophis_4_10_1_1_0	thamnophis	naja	10	4	102266	71704715	14644	15430	1_11724	1_12361	595	681	+	116059736	189623584	15749	16589	0_15652	0_16487
naja_thamnophis_naja_thamnophis_4_15_1_2_0	thamnophis	naja	15	4	14689895	17738111	19065	19083	1_15279	1_15294	15	18	+	91137692	93798259	15488	15512	0_15393	0_15417
naja_thamnophis_naja_thamnophis_4_15_1_3_0	thamnophis	naja	15	4	17754824	21705600	19084	19108	1_15295	1_15314	19	22	+	95913692	99924404	15539	15569	0_15444	0_15474
naja_thamnophis_naja_thamnophis_4_15_1_5_0	thamnophis	naja	15	4	30220014	33046378	19177	19200	1_15371	1_15393	20	21	+	93831061	95847590	15514	15537	0_15419	0_15442
naja_thamnophis_naja_thamnophis_4_15_1_6_0	thamnophis	naja	15	4	37432353	48741279	19211	19323	1_15398	1_15494	93	102	+	104142593	115454053	15621	15745	0_15526	0_15648
naja_thamnophis_naja_thamnophis_4_9_1_2_0	thamnophis	naja	9	4	6493387	56467276	14043	14449	1_11250	1_11558	288	330	+	9455268	57377773	14662	15136	0_14574	0_15043
naja_thamnophis_naja_thamnophis_4_9_1_4_0	thamnophis	naja	9	4	58867557	62099179	14476	14497	1_11583	1_11603	19	20	+	79398019	82717348	15357	15381	0_15263	0_15287
naja_thamnophis_naja_thamnophis_4_9_1_6_0	thamnophis	naja	9	4	66313803	68273092	14533	14558	1_11629	1_11653	21	20	+	68056915	70054191	15230	15252	0_15137	0_15158
naja_thamnophis_naja_thamnophis_6_11_1_1_0	thamnophis	naja	11	6	16732885	71291724	15608	16018	1_12499	1_12820	298	359	+	2767194	53825279	18216	18674	0_18109	0_18565
naja_thamnophis_naja_thamnophis_7_7_1_2_0	thamnophis	naja	7	7	48454668	54713193	12831	12881	1_10279	1_10316	36	47	+	85526	4890914	19129	19207	0_19018	0_19096
naja_thamnophis_naja_thamnophis_SOZL01000198.1_Z_1_1_0	thamnophis	naja	Z	SOZL01000198.1	144245550	144271745	2385	2391	1_1971	1_1976	6	6	+	2980	32253	22220	22225	0_22094	0_22099
naja_thamnophis_naja_thamnophis_Z_Z_1_1_0	thamnophis	naja	Z	Z	2010247	85484673	79	739	1_63	1_597	481	656	+	416905	90407510	11	1036	0_10	0_1024
naja_thamnophis_naja_thamnophis_Z_Z_1_2_0	thamnophis	naja	Z	Z	92628339	143601056	873	2363	1_708	1_1953	1051	855	+	96995359	150926698	1196	2264	0_1183	0_2247
naja_thamnophis_naja_thamnophis_m10_16_1_3_0	thamnophis	naja	16	m10	29810271	33326113	19864	19906	1_15940	1_15976	33	36	+	1832919	4420324	21361	21417	0_21243	0_21299
naja_thamnophis_naja_thamnophis_m10_16_1_4_0	thamnophis	naja	16	m10	33364782	36127513	19908	19981	1_15978	1_16025	43	44	+	6810642	9217907	21523	21599	0_21405	0_21481
naja_thamnophis_naja_thamnophis_m10_16_1_6_0	thamnophis	naja	16	m10	37285166	39635818	20009	20112	1_16050	1_16144	85	84	+	4416145	6671728	21418	21520	0_21300	0_21402
naja_thamnophis_naja_thamnophis_m11_15_1_2_0	thamnophis	naja	15	m11	1651199	1873669	18819	18827	1_15076	1_15083	7	8	+	359156	532744	21666	21677	0_21548	0_21559
naja_thamnophis_naja_thamnophis_m11_15_1_3_0	thamnophis	naja	15	m11	1957419	7729540	18832	18942	1_15086	1_15172	81	85	+	4041693	8551688	21735	21865	0_21617	0_21747
naja_thamnophis_naja_thamnophis_m1_13_1_1_0	thamnophis	naja	13	m1	18954590	50566046	17471	17920	1_13981	1_14360	347	381	+	184894	31951949	6624	7129	0_6587	0_7090
naja_thamnophis_naja_thamnophis_m4_14_1_1_0	thamnophis	naja	14	m4	22639908	49386711	18350	18758	1_14693	1_15022	308	330	+	411250	25486189	16609	17013	0_16507	0_16909
naja_thamnophis_naja_thamnophis_m4_1_1_1_0	thamnophis	naja	1	m4	2408	424303	2450	2470	1_2027	1_2044	13	14	+	25495437	25963048	17014	17030	0_16910	0_16926
naja_thamnophis_naja_thamnophis_m5_12_1_2_0	thamnophis	naja	12	m5	34301660	36146547	16708	16731	1_13401	1_13421	19	22	+	1105176	3274270	17831	17857	0_17724	0_17750
naja_thamnophis_naja_thamnophis_m5_12_1_4_0	thamnophis	naja	12	m5	39015887	54375986	16755	16910	1_13442	1_13573	114	129	+	4714877	19749804	17884	18052	0_17777	0_17945
naja_thamnophis_naja_thamnophis_m6_16_1_1_0	thamnophis	naja	16	m6	4	25451829	19325	19765	1_15495	1_15862	340	348	+	62109	23262710	18677	19127	0_18568	0_19016
naja_thamnophis_naja_thamnophis_m7_14_1_2_0	thamnophis	naja	14	m7	7577908	8688016	18145	18163	1_14543	1_14559	17	16	+	12155563	13054913	20104	20119	0_19990	0_20005
naja_thamnophis_naja_thamnophis_m8_13_1_1_0	thamnophis	naja	13	m8	17727	18914532	17046	17470	1_13682	1_13980	279	309	+	268852	16123953	20379	20820	0_20265	0_20703
naja_thamnophis_naja_thamnophis_m9_17_1_1_0	thamnophis	naja	17	m9	36221	488737	20118	20131	1_16147	1_16159	12	13	+	2737929	3298608	20856	20873	0_20739	0_20756
naja_thamnophis_naja_thamnophis_m9_17_2_2_0	thamnophis	naja	17	m9	4845902	5175900	20282	20303	1_16288	1_16309	10	12	+	10838302	11072303	21091	21111	0_20974	0_20994
naja_thamnophis_naja_thamnophis_m9_17_3_2_0	thamnophis	naja	17	m9	12500452	13111826	20556	20570	1_16506	1_16517	12	12	+	4446163	4983301	20912	20926	0_20795	0_20809
naja_thamnophis_naja_thamnophis_m9_17_5_1_0	thamnophis	naja	17	m9	10758310	10930038	20494	20505	1_16456	1_16467	9	8	+	445556	633921	20832	20840	0_20715	0_20723
naja_thamnophis_naja_thamnophis_1_4_1_1_0	thamnophis	naja	4	1	142711423	191787	10150	8663	1_8152	1_7027	1044	1224	-	450073	143729201	2301	3881	0_2284	0_3858
naja_thamnophis_naja_thamnophis_2_2_1_2_0	thamnophis	naja	2	2	20260202	907417	4986	4596	1_4093	1_3761	309	337	-	168868907	188823417	9304	9712	0_9251	0_9658
naja_thamnophis_naja_thamnophis_2_2_1_4_0	thamnophis	naja	2	2	171733699	24986070	7191	5055	1_5839	1_4152	1432	1579	-	8851999	163714768	7239	9228	0_7200	0_9175
naja_thamnophis_naja_thamnophis_2_3_1_2_0	thamnophis	naja	3	2	149857112	149483534	8625	8608	1_6996	1_6982	14	15	-	308950837	309298334	10931	10951	0_10868	0_10888
naja_thamnophis_naja_thamnophis_2_3_1_4_0	thamnophis	naja	3	2	151904722	150654344	8658	8648	1_7025	1_7016	6	6	-	306970823	308368701	10902	10908	0_10839	0_10845
naja_thamnophis_naja_thamnophis_2_NW_022473899.1_1_1_0	thamnophis	naja	NW_022473899.1	2	438093	332255	20988	20980	1_16847	1_16839	9	16	-	1859971	2774857	7168	7187	0_7129	0_7148
naja_thamnophis_naja_thamnophis_3_5_1_1_0	thamnophis	naja	5	3	100837749	259129	11290	10154	1_9038	1_8153	830	935	-	403503	101895576	11327	12561	0_11262	0_12489
naja_thamnophis_naja_thamnophis_4_15_1_1_0	thamnophis	naja	15	4	14676250	10700917	19064	19021	1_15278	1_15241	36	45	-	99961408	103901407	15570	15619	0_15475	0_15524
naja_thamnophis_naja_thamnophis_4_15_1_4_0	thamnophis	naja	15	4	30206469	21957246	19176	19110	1_15370	1_15316	53	81	-	82760225	90607206	15383	15480	0_15289	0_15385
naja_thamnophis_naja_thamnophis_4_9_1_1_0	thamnophis	naja	9	4	5333006	4463	14042	13972	1_11249	1_11189	49	54	-	2767500	9301857	14576	14659	0_14488	0_14571
naja_thamnophis_naja_thamnophis_4_9_1_3_0	thamnophis	naja	9	4	58671964	56989975	14473	14456	1_11580	1_11564	14	19	-	75669936	77798737	15292	15328	0_15198	0_15234
naja_thamnophis_naja_thamnophis_4_9_1_5_0	thamnophis	naja	9	4	66201100	63095835	14530	14503	1_11627	1_11605	23	25	-	70308294	74111743	15258	15285	0_15164	0_15191
naja_thamnophis_naja_thamnophis_4_9_1_7_0	thamnophis	naja	9	4	77052913	68399778	14630	14561	1_11711	1_11655	53	62	-	57881495	67819409	15140	15228	0_15047	0_15135
naja_thamnophis_naja_thamnophis_4_9_1_8_0	thamnophis	naja	9	4	77610641	77297504	14642	14631	1_11723	1_11712	12	12	-	78556164	78888698	15340	15351	0_15246	0_15257
naja_thamnophis_naja_thamnophis_5_6_1_1_0	thamnophis	naja	6	5	63854554	4	12000	11291	1_9603	1_9039	515	581	-	178529	62402776	17034	17793	0_16930	0_17686
naja_thamnophis_naja_thamnophis_7_7_1_1_0	thamnophis	naja	7	7	48317370	30482	12829	12205	1_10278	1_9761	467	542	-	4964249	53642419	19208	19893	0_19097	0_19780
naja_thamnophis_naja_thamnophis_Z_Z_1_3_0	thamnophis	naja	Z	Z	90882447	85539561	843	741	1_684	1_598	78	84	-	90537520	95295539	1041	1160	0_1029	0_1147
naja_thamnophis_naja_thamnophis_Z_Z_1_4_0	thamnophis	naja	Z	Z	92280138	90843293	869	843	1_705	1_684	22	26	-	95428048	96961306	1163	1194	0_1150	0_1181
naja_thamnophis_naja_thamnophis_m10_16_1_1_0	thamnophis	naja	16	m10	28223786	25574812	19830	19768	1_15916	1_15865	31	28	-	9345641	11561951	21602	21640	0_21484	0_21522
naja_thamnophis_naja_thamnophis_m10_16_1_2_0	thamnophis	naja	16	m10	29796798	28463634	19863	19841	1_15939	1_15925	13	15	-	1035605	1832171	21336	21360	0_21218	0_21242
naja_thamnophis_naja_thamnophis_m10_16_1_5_0	thamnophis	naja	16	m10	37276474	36135920	20007	19982	1_16049	1_16026	24	27	-	3763	991990	21299	21335	0_21181	0_21217
naja_thamnophis_naja_thamnophis_m11_15_1_1_0	thamnophis	naja	15	m11	1643738	43198	18818	18764	1_15075	1_15028	39	39	-	8681791	10020798	21877	21926	0_21759	0_21808
naja_thamnophis_naja_thamnophis_m11_15_1_4_0	thamnophis	naja	15	m11	10407418	7732349	19008	18943	1_15229	1_15173	46	45	-	555300	2584001	21678	21734	0_21560	0_21616
naja_thamnophis_naja_thamnophis_m2_7_1_1_0	thamnophis	naja	7	m2	85881478	55192916	13158	12884	1_10543	1_10318	210	259	-	329330	30161287	10966	11309	0_10903	0_11244
naja_thamnophis_naja_thamnophis_m3_12_1_1_0	thamnophis	naja	12	m3	32526715	7322	16696	16019	1_13390	1_12821	516	531	-	162369	29709534	13833	14540	0_13749	0_14452
naja_thamnophis_naja_thamnophis_m5_12_1_1_0	thamnophis	naja	12	m5	34235860	32567846	16707	16698	1_13400	1_13392	9	14	-	3457951	4402491	17861	17877	0_17754	0_17770
naja_thamnophis_naja_thamnophis_m5_12_1_3_0	thamnophis	naja	12	m5	38795798	37394431	16754	16736	1_13441	1_13425	17	20	-	31168	1086762	17807	17829	0_17700	0_17722
naja_thamnophis_naja_thamnophis_m5_12_1_5_0	thamnophis	naja	12	m5	60626081	54481552	17044	16915	1_13681	1_13574	98	101	-	19842218	25088079	18057	18186	0_17950	0_18079
naja_thamnophis_naja_thamnophis_m7_14_1_1_0	thamnophis	naja	14	m7	7576582	29	18144	17921	1_14542	1_14361	158	166	-	13071674	19962476	20120	20358	0_20006	0_20244
naja_thamnophis_naja_thamnophis_m7_14_1_3_0	thamnophis	naja	14	m7	22231690	8825141	18348	18166	1_14692	1_14561	122	134	-	84931	12113486	19898	20101	0_19785	0_19987
naja_thamnophis_naja_thamnophis_m9_17_2_1_0	thamnophis	naja	17	m9	4807346	922001	20280	20138	1_16286	1_16163	98	101	-	13140563	15294349	21162	21297	0_21045	0_21179
naja_thamnophis_naja_thamnophis_m9_17_2_3_0	thamnophis	naja	17	m9	6328210	5329744	20359	20309	1_16346	1_16313	22	21	-	11084756	11883312	21113	21152	0_20996	0_21035
naja_thamnophis_naja_thamnophis_m9_17_2_4_0	thamnophis	naja	17	m9	10681142	6330997	20492	20360	1_16455	1_16347	95	88	-	6586451	10529957	20953	21073	0_20836	0_20956
naja_thamnophis_naja_thamnophis_m9_17_3_1_0	thamnophis	naja	17	m9	12284654	11445888	20552	20516	1_16503	1_16476	23	19	-	5121007	5730575	20928	20947	0_20811	0_20830
naja_thamnophis_naja_thamnophis_m9_17_3_3_0	thamnophis	naja	17	m9	17008226	16435712	20632	20613	1_16547	1_16534	12	13	-	3807421	4325874	20890	20910	0_20773	0_20793
