locus	chr	location
group1874	m8	chrm8_outer
group2137	m8	chrm8_outer
group2184	m8	chrm8_outer
group2395	m8	chrm8_outer
group2429	m8	chrm8_outer
group2504	m8	chrm8_outer
group2697	m8	chrm8_outer
group2992	m8	chrm8_outer
group3002	m8	chrm8_outer
group3033	m8	chrm8_outer
group3036	m8	chrm8_outer
group3101	m8	chrm8_outer
group1650	m8	chrm8_outer
group1729	m8	chrm8_outer
group1853	m8	chrm8_outer
group1982	m8	chrm8_outer
group2086	m8	chrm8_outer
group2530	m8	chrm8_outer
group3041	m8	chrm8_outer
group140	m9	chrm9_outer
group2374	m9	chrm9_outer
group3087	m9	chrm9_outer
group20	m9	chrm9_outer
group111	m9	chrm9_outer
group223	m9	chrm9_outer
group266	m9	chrm9_outer
group372	m9	chrm9_outer
group473	m9	chrm9_outer
group475	m9	chrm9_outer
group1487	m9	chrm9_outer
group1488	m9	chrm9_outer
group1489	m9	chrm9_outer
group1490	m9	chrm9_outer
group1491	m9	chrm9_outer
group1492	m9	chrm9_outer
group1494	m9	chrm9_outer
group1498	m9	chrm9_outer
group1505	m9	chrm9_outer
group1639	m9	chrm9_outer
group1754	m9	chrm9_outer
group1813	m9	chrm9_outer
group1861	m9	chrm9_outer
group1862	m9	chrm9_outer
group1889	m9	chrm9_outer
group1899	m9	chrm9_outer
group1927	m9	chrm9_outer
group1950	m9	chrm9_outer
group1975	m9	chrm9_outer
group1987	m9	chrm9_outer
group1998	m9	chrm9_outer
group2002	m9	chrm9_outer
group2038	m9	chrm9_outer
group2107	m9	chrm9_outer
group2126	m9	chrm9_outer
group2128	m9	chrm9_outer
group2130	m9	chrm9_outer
group2205	m9	chrm9_outer
group2221	m9	chrm9_outer
group2252	m9	chrm9_outer
group2257	m9	chrm9_outer
group2304	m9	chrm9_outer
group2308	m9	chrm9_outer
group2356	m9	chrm9_outer
group2368	m9	chrm9_outer
group2385	m9	chrm9_outer
group2433	m9	chrm9_outer
group2462	m9	chrm9_outer
group2465	m9	chrm9_outer
group2483	m9	chrm9_outer
group2508	m9	chrm9_outer
group2557	m9	chrm9_outer
group2617	m9	chrm9_outer
group2618	m9	chrm9_outer
group2619	m9	chrm9_outer
group2620	m9	chrm9_outer
group2621	m9	chrm9_outer
group2624	m9	chrm9_outer
group2625	m9	chrm9_outer
group2657	m9	chrm9_outer
group2666	m9	chrm9_outer
group2675	m9	chrm9_outer
group2680	m9	chrm9_outer
group2687	m9	chrm9_outer
group2692	m9	chrm9_outer
group2704	m9	chrm9_outer
group2705	m9	chrm9_outer
group2797	m9	chrm9_outer
group2844	m9	chrm9_outer
group2846	m9	chrm9_outer
group2848	m9	chrm9_outer
group2867	m9	chrm9_outer
group2876	m9	chrm9_outer
group2878	m9	chrm9_outer
group2973	m9	chrm9_outer
group3043	m9	chrm9_outer
group3053	m9	chrm9_outer
group39	Z	chrZ_outer
group217	Z	chrZ_outer
group278	Z	chrZ_outer
group329	Z	chrZ_outer
group348	Z	chrZ_outer
group535	Z	chrZ_outer
group807	Z	chrZ_outer
group825	Z	chrZ_outer
group1101	Z	chrZ_outer
group1109	Z	chrZ_outer
group1134	Z	chrZ_outer
group1150	Z	chrZ_outer
group1182	Z	chrZ_outer
group1234	Z	chrZ_outer
group1240	Z	chrZ_outer
group1279	Z	chrZ_outer
group1306	Z	chrZ_outer
group1317	Z	chrZ_outer
group1534	Z	chrZ_outer
group1567	Z	chrZ_outer
group1614	Z	chrZ_outer
group1703	Z	chrZ_outer
group1704	Z	chrZ_outer
group1742	Z	chrZ_outer
group1814	Z	chrZ_outer
group1928	Z	chrZ_outer
group1934	Z	chrZ_outer
group2000	Z	chrZ_outer
group2021	Z	chrZ_outer
group2180	Z	chrZ_outer
group2251	Z	chrZ_outer
group2261	Z	chrZ_outer
group2275	Z	chrZ_outer
group2349	Z	chrZ_outer
group2476	Z	chrZ_outer
group2486	Z	chrZ_outer
group2521	Z	chrZ_outer
group2562	Z	chrZ_outer
group2610	Z	chrZ_outer
group2671	Z	chrZ_outer
group2811	Z	chrZ_outer
group2850	Z	chrZ_outer
group2868	Z	chrZ_outer
group2884	Z	chrZ_outer
group2887	Z	chrZ_outer
group2894	Z	chrZ_outer
group3000	Z	chrZ_outer
group3003	Z	chrZ_outer
group3038	Z	chrZ_outer
group3060	Z	chrZ_outer
group3074	Z	chrZ_outer
group29	Z	chrZ_outer
group30	Z	chrZ_outer
group52	Z	chrZ_outer
group98	Z	chrZ_outer
group139	Z	chrZ_outer
group173	Z	chrZ_outer
group207	Z	chrZ_outer
group247	Z	chrZ_outer
group251	Z	chrZ_outer
group290	Z	chrZ_outer
group314	Z	chrZ_outer
group330	Z	chrZ_outer
group349	Z	chrZ_outer
group436	Z	chrZ_outer
group538	Z	chrZ_outer
group1545	Z	chrZ_outer
group1741	Z	chrZ_outer
group1820	Z	chrZ_outer
group1823	Z	chrZ_outer
group1876	Z	chrZ_outer
group1881	Z	chrZ_outer
group1929	Z	chrZ_outer
group1937	Z	chrZ_outer
group1996	Z	chrZ_outer
group2009	Z	chrZ_outer
group2037	Z	chrZ_outer
group2065	Z	chrZ_outer
group2067	Z	chrZ_outer
group2078	Z	chrZ_outer
group2091	Z	chrZ_outer
group2094	Z	chrZ_outer
group2122	Z	chrZ_outer
group2146	Z	chrZ_outer
group2155	Z	chrZ_outer
group2218	Z	chrZ_outer
group2241	Z	chrZ_outer
group2280	Z	chrZ_outer
group2333	Z	chrZ_outer
group2391	Z	chrZ_outer
group2417	Z	chrZ_outer
group2458	Z	chrZ_outer
group2470	Z	chrZ_outer
group2484	Z	chrZ_outer
group2487	Z	chrZ_outer
group2505	Z	chrZ_outer
group2509	Z	chrZ_outer
group2517	Z	chrZ_outer
group2532	Z	chrZ_outer
group2533	Z	chrZ_outer
group2540	Z	chrZ_outer
group2573	Z	chrZ_outer
group2606	Z	chrZ_outer
group2644	Z	chrZ_outer
group2651	Z	chrZ_outer
group2661	Z	chrZ_outer
group2670	Z	chrZ_outer
group2674	Z	chrZ_outer
group2686	Z	chrZ_outer
group2693	Z	chrZ_outer
group2711	Z	chrZ_outer
group2742	Z	chrZ_outer
group2786	Z	chrZ_outer
group2798	Z	chrZ_outer
group2807	Z	chrZ_outer
group2821	Z	chrZ_outer
group2824	Z	chrZ_outer
group2825	Z	chrZ_outer
group2833	Z	chrZ_outer
group2864	Z	chrZ_outer
group2912	Z	chrZ_outer
group2939	Z	chrZ_outer
group2958	Z	chrZ_outer
group3071	Z	chrZ_outer
group3076	Z	chrZ_outer
group1	1	chr1_inner
group17	1	chr1_inner
group48	1	chr1_inner
group92	1	chr1_inner
group103	1	chr1_inner
group133	1	chr1_inner
group146	1	chr1_inner
group155	1	chr1_inner
group175	1	chr1_inner
group232	1	chr1_inner
group233	1	chr1_inner
group255	1	chr1_inner
group267	1	chr1_inner
group272	1	chr1_inner
group301	1	chr1_inner
group321	1	chr1_inner
group323	1	chr1_inner
group354	1	chr1_inner
group360	1	chr1_inner
group382	1	chr1_inner
group400	1	chr1_inner
group426	1	chr1_inner
group435	1	chr1_inner
group447	1	chr1_inner
group480	1	chr1_inner
group496	1	chr1_inner
group506	1	chr1_inner
group509	1	chr1_inner
group529	1	chr1_inner
group544	1	chr1_inner
group556	1	chr1_inner
group561	1	chr1_inner
group594	1	chr1_inner
group608	1	chr1_inner
group618	1	chr1_inner
group634	1	chr1_inner
group635	1	chr1_inner
group648	1	chr1_inner
group649	1	chr1_inner
group664	1	chr1_inner
group666	1	chr1_inner
group669	1	chr1_inner
group678	1	chr1_inner
group681	1	chr1_inner
group683	1	chr1_inner
group705	1	chr1_inner
group711	1	chr1_inner
group723	1	chr1_inner
group724	1	chr1_inner
group725	1	chr1_inner
group732	1	chr1_inner
group737	1	chr1_inner
group739	1	chr1_inner
group746	1	chr1_inner
group768	1	chr1_inner
group772	1	chr1_inner
group775	1	chr1_inner
group781	1	chr1_inner
group798	1	chr1_inner
group813	1	chr1_inner
group829	1	chr1_inner
group836	1	chr1_inner
group842	1	chr1_inner
group853	1	chr1_inner
group854	1	chr1_inner
group861	1	chr1_inner
group863	1	chr1_inner
group868	1	chr1_inner
group871	1	chr1_inner
group874	1	chr1_inner
group875	1	chr1_inner
group877	1	chr1_inner
group879	1	chr1_inner
group881	1	chr1_inner
group888	1	chr1_inner
group893	1	chr1_inner
group898	1	chr1_inner
group906	1	chr1_inner
group908	1	chr1_inner
group914	1	chr1_inner
group920	1	chr1_inner
group925	1	chr1_inner
group933	1	chr1_inner
group947	1	chr1_inner
group959	1	chr1_inner
group965	1	chr1_inner
group968	1	chr1_inner
group970	1	chr1_inner
group975	1	chr1_inner
group976	1	chr1_inner
group977	1	chr1_inner
group978	1	chr1_inner
group980	1	chr1_inner
group986	1	chr1_inner
group987	1	chr1_inner
group989	1	chr1_inner
group1002	1	chr1_inner
group1008	1	chr1_inner
group1014	1	chr1_inner
group1016	1	chr1_inner
group1028	1	chr1_inner
group1031	1	chr1_inner
group1036	1	chr1_inner
group1039	1	chr1_inner
group1040	1	chr1_inner
group1064	1	chr1_inner
group1066	1	chr1_inner
group1071	1	chr1_inner
group1078	1	chr1_inner
group1083	1	chr1_inner
group1086	1	chr1_inner
group1092	1	chr1_inner
group1106	1	chr1_inner
group1111	1	chr1_inner
group1113	1	chr1_inner
group1120	1	chr1_inner
group1122	1	chr1_inner
group1124	1	chr1_inner
group1133	1	chr1_inner
group1137	1	chr1_inner
group1144	1	chr1_inner
group1147	1	chr1_inner
group1156	1	chr1_inner
group1162	1	chr1_inner
group1163	1	chr1_inner
group1168	1	chr1_inner
group1173	1	chr1_inner
group1187	1	chr1_inner
group1189	1	chr1_inner
group1191	1	chr1_inner
group1195	1	chr1_inner
group1196	1	chr1_inner
group1200	1	chr1_inner
group1212	1	chr1_inner
group1217	1	chr1_inner
group1221	1	chr1_inner
group1227	1	chr1_inner
group1229	1	chr1_inner
group1254	1	chr1_inner
group1266	1	chr1_inner
group1275	1	chr1_inner
group1277	1	chr1_inner
group1282	1	chr1_inner
group1284	1	chr1_inner
group1291	1	chr1_inner
group1292	1	chr1_inner
group1294	1	chr1_inner
group1304	1	chr1_inner
group1327	1	chr1_inner
group1328	1	chr1_inner
group1330	1	chr1_inner
group1332	1	chr1_inner
group1334	1	chr1_inner
group1342	1	chr1_inner
group1344	1	chr1_inner
group1350	1	chr1_inner
group1358	1	chr1_inner
group1365	1	chr1_inner
group1372	1	chr1_inner
group1375	1	chr1_inner
group1376	1	chr1_inner
group1378	1	chr1_inner
group1384	1	chr1_inner
group1385	1	chr1_inner
group1394	1	chr1_inner
group1396	1	chr1_inner
group1411	1	chr1_inner
group1419	1	chr1_inner
group1423	1	chr1_inner
group1425	1	chr1_inner
group1426	1	chr1_inner
group1435	1	chr1_inner
group1438	1	chr1_inner
group1441	1	chr1_inner
group1444	1	chr1_inner
group1446	1	chr1_inner
group1447	1	chr1_inner
group1449	1	chr1_inner
group1464	1	chr1_inner
group1468	1	chr1_inner
group1477	1	chr1_inner
group1478	1	chr1_inner
group1479	1	chr1_inner
group1484	1	chr1_inner
group1500	1	chr1_inner
group1507	1	chr1_inner
group1513	1	chr1_inner
group1550	1	chr1_inner
group1561	1	chr1_inner
group1568	1	chr1_inner
group1598	1	chr1_inner
group1610	1	chr1_inner
group1611	1	chr1_inner
group1618	1	chr1_inner
group1652	1	chr1_inner
group1680	1	chr1_inner
group1690	1	chr1_inner
group1693	1	chr1_inner
group1710	1	chr1_inner
group1738	1	chr1_inner
group1740	1	chr1_inner
group1746	1	chr1_inner
group1778	1	chr1_inner
group1796	1	chr1_inner
group1855	1	chr1_inner
group1856	1	chr1_inner
group1892	1	chr1_inner
group1903	1	chr1_inner
group1909	1	chr1_inner
group1931	1	chr1_inner
group1968	1	chr1_inner
group1979	1	chr1_inner
group2064	1	chr1_inner
group2099	1	chr1_inner
group2105	1	chr1_inner
group2141	1	chr1_inner
group2150	1	chr1_inner
group2166	1	chr1_inner
group2190	1	chr1_inner
group2210	1	chr1_inner
group2245	1	chr1_inner
group2284	1	chr1_inner
group2300	1	chr1_inner
group2364	1	chr1_inner
group2434	1	chr1_inner
group2436	1	chr1_inner
group2440	1	chr1_inner
group2441	1	chr1_inner
group2459	1	chr1_inner
group2479	1	chr1_inner
group2488	1	chr1_inner
group2569	1	chr1_inner
group2570	1	chr1_inner
group2571	1	chr1_inner
group2581	1	chr1_inner
group2594	1	chr1_inner
group2595	1	chr1_inner
group2596	1	chr1_inner
group2604	1	chr1_inner
group2609	1	chr1_inner
group2635	1	chr1_inner
group2652	1	chr1_inner
group2658	1	chr1_inner
group2676	1	chr1_inner
group2716	1	chr1_inner
group2735	1	chr1_inner
group2751	1	chr1_inner
group2754	1	chr1_inner
group2756	1	chr1_inner
group2762	1	chr1_inner
group2808	1	chr1_inner
group2818	1	chr1_inner
group2855	1	chr1_inner
group2880	1	chr1_inner
group2925	1	chr1_inner
group2964	1	chr1_inner
group2974	1	chr1_inner
group3039	1	chr1_inner
group3056	1	chr1_inner
group3086	1	chr1_inner
group26	2	chr2_inner
group32	2	chr2_inner
group35	2	chr2_inner
group87	2	chr2_inner
group114	2	chr2_inner
group130	2	chr2_inner
group148	2	chr2_inner
group181	2	chr2_inner
group184	2	chr2_inner
group239	2	chr2_inner
group240	2	chr2_inner
group263	2	chr2_inner
group294	2	chr2_inner
group302	2	chr2_inner
group312	2	chr2_inner
group333	2	chr2_inner
group392	2	chr2_inner
group414	2	chr2_inner
group429	2	chr2_inner
group440	2	chr2_inner
group442	2	chr2_inner
group449	2	chr2_inner
group466	2	chr2_inner
group500	2	chr2_inner
group522	2	chr2_inner
group547	2	chr2_inner
group549	2	chr2_inner
group585	2	chr2_inner
group592	2	chr2_inner
group650	2	chr2_inner
group677	2	chr2_inner
group777	2	chr2_inner
group866	2	chr2_inner
group867	2	chr2_inner
group916	2	chr2_inner
group929	2	chr2_inner
group938	2	chr2_inner
group1055	2	chr2_inner
group1077	2	chr2_inner
group1081	2	chr2_inner
group1087	2	chr2_inner
group1090	2	chr2_inner
group1100	2	chr2_inner
group1108	2	chr2_inner
group1117	2	chr2_inner
group1164	2	chr2_inner
group1194	2	chr2_inner
group1216	2	chr2_inner
group1222	2	chr2_inner
group1235	2	chr2_inner
group1243	2	chr2_inner
group1264	2	chr2_inner
group1265	2	chr2_inner
group1270	2	chr2_inner
group1290	2	chr2_inner
group1309	2	chr2_inner
group1310	2	chr2_inner
group1339	2	chr2_inner
group1371	2	chr2_inner
group1377	2	chr2_inner
group1380	2	chr2_inner
group1421	2	chr2_inner
group1439	2	chr2_inner
group1465	2	chr2_inner
group1502	2	chr2_inner
group1509	2	chr2_inner
group1519	2	chr2_inner
group1525	2	chr2_inner
group1526	2	chr2_inner
group1543	2	chr2_inner
group1546	2	chr2_inner
group1573	2	chr2_inner
group1574	2	chr2_inner
group1578	2	chr2_inner
group1583	2	chr2_inner
group1595	2	chr2_inner
group1604	2	chr2_inner
group1608	2	chr2_inner
group1616	2	chr2_inner
group1627	2	chr2_inner
group1631	2	chr2_inner
group1672	2	chr2_inner
group1673	2	chr2_inner
group1674	2	chr2_inner
group1688	2	chr2_inner
group1689	2	chr2_inner
group1702	2	chr2_inner
group1707	2	chr2_inner
group1709	2	chr2_inner
group1724	2	chr2_inner
group1728	2	chr2_inner
group1743	2	chr2_inner
group1752	2	chr2_inner
group1756	2	chr2_inner
group1800	2	chr2_inner
group1802	2	chr2_inner
group1803	2	chr2_inner
group1828	2	chr2_inner
group1839	2	chr2_inner
group1840	2	chr2_inner
group1850	2	chr2_inner
group1854	2	chr2_inner
group1878	2	chr2_inner
group1882	2	chr2_inner
group1917	2	chr2_inner
group1978	2	chr2_inner
group2003	2	chr2_inner
group2081	2	chr2_inner
group2090	2	chr2_inner
group2113	2	chr2_inner
group2116	2	chr2_inner
group2145	2	chr2_inner
group2148	2	chr2_inner
group2158	2	chr2_inner
group2172	2	chr2_inner
group2182	2	chr2_inner
group2193	2	chr2_inner
group2200	2	chr2_inner
group2208	2	chr2_inner
group2215	2	chr2_inner
group2229	2	chr2_inner
group2351	2	chr2_inner
group2366	2	chr2_inner
group2437	2	chr2_inner
group2523	2	chr2_inner
group2528	2	chr2_inner
group2566	2	chr2_inner
group2585	2	chr2_inner
group2679	2	chr2_inner
group2707	2	chr2_inner
group2750	2	chr2_inner
group2820	2	chr2_inner
group2829	2	chr2_inner
group2957	2	chr2_inner
group3005	2	chr2_inner
group3006	2	chr2_inner
group3008	2	chr2_inner
group3051	2	chr2_inner
group3099	2	chr2_inner
group60	3	chr3_inner
group85	3	chr3_inner
group147	3	chr3_inner
group241	3	chr3_inner
group345	3	chr3_inner
group357	3	chr3_inner
group402	3	chr3_inner
group487	3	chr3_inner
group488	3	chr3_inner
group554	3	chr3_inner
group617	3	chr3_inner
group620	3	chr3_inner
group637	3	chr3_inner
group641	3	chr3_inner
group643	3	chr3_inner
group658	3	chr3_inner
group670	3	chr3_inner
group676	3	chr3_inner
group693	3	chr3_inner
group698	3	chr3_inner
group699	3	chr3_inner
group703	3	chr3_inner
group717	3	chr3_inner
group728	3	chr3_inner
group731	3	chr3_inner
group735	3	chr3_inner
group753	3	chr3_inner
group757	3	chr3_inner
group760	3	chr3_inner
group771	3	chr3_inner
group789	3	chr3_inner
group802	3	chr3_inner
group811	3	chr3_inner
group838	3	chr3_inner
group841	3	chr3_inner
group858	3	chr3_inner
group862	3	chr3_inner
group864	3	chr3_inner
group922	3	chr3_inner
group927	3	chr3_inner
group939	3	chr3_inner
group945	3	chr3_inner
group954	3	chr3_inner
group983	3	chr3_inner
group996	3	chr3_inner
group1005	3	chr3_inner
group1009	3	chr3_inner
group1012	3	chr3_inner
group1033	3	chr3_inner
group1041	3	chr3_inner
group1056	3	chr3_inner
group1060	3	chr3_inner
group1076	3	chr3_inner
group1093	3	chr3_inner
group1094	3	chr3_inner
group1110	3	chr3_inner
group1118	3	chr3_inner
group1129	3	chr3_inner
group1143	3	chr3_inner
group1153	3	chr3_inner
group1166	3	chr3_inner
group1176	3	chr3_inner
group1179	3	chr3_inner
group1180	3	chr3_inner
group1192	3	chr3_inner
group1205	3	chr3_inner
group1206	3	chr3_inner
group1209	3	chr3_inner
group1213	3	chr3_inner
group1218	3	chr3_inner
group1237	3	chr3_inner
group1262	3	chr3_inner
group1272	3	chr3_inner
group1286	3	chr3_inner
group1296	3	chr3_inner
group1297	3	chr3_inner
group1299	3	chr3_inner
group1302	3	chr3_inner
group1307	3	chr3_inner
group1316	3	chr3_inner
group1320	3	chr3_inner
group1329	3	chr3_inner
group1338	3	chr3_inner
group1345	3	chr3_inner
group1353	3	chr3_inner
group1361	3	chr3_inner
group1379	3	chr3_inner
group1395	3	chr3_inner
group1398	3	chr3_inner
group1401	3	chr3_inner
group1402	3	chr3_inner
group1408	3	chr3_inner
group1422	3	chr3_inner
group1429	3	chr3_inner
group1432	3	chr3_inner
group1433	3	chr3_inner
group1437	3	chr3_inner
group1442	3	chr3_inner
group1455	3	chr3_inner
group1459	3	chr3_inner
group1466	3	chr3_inner
group1480	3	chr3_inner
group1501	3	chr3_inner
group1511	3	chr3_inner
group1527	3	chr3_inner
group1552	3	chr3_inner
group1553	3	chr3_inner
group1585	3	chr3_inner
group1593	3	chr3_inner
group1613	3	chr3_inner
group1625	3	chr3_inner
group1638	3	chr3_inner
group1655	3	chr3_inner
group1671	3	chr3_inner
group1717	3	chr3_inner
group1721	3	chr3_inner
group1726	3	chr3_inner
group1750	3	chr3_inner
group1758	3	chr3_inner
group1760	3	chr3_inner
group1768	3	chr3_inner
group1777	3	chr3_inner
group1945	3	chr3_inner
group1951	3	chr3_inner
group1967	3	chr3_inner
group1985	3	chr3_inner
group2014	3	chr3_inner
group2027	3	chr3_inner
group2036	3	chr3_inner
group2048	3	chr3_inner
group2049	3	chr3_inner
group2057	3	chr3_inner
group2062	3	chr3_inner
group2073	3	chr3_inner
group2100	3	chr3_inner
group2211	3	chr3_inner
group2377	3	chr3_inner
group2550	3	chr3_inner
group2580	3	chr3_inner
group2627	3	chr3_inner
group2629	3	chr3_inner
group2722	3	chr3_inner
group2724	3	chr3_inner
group2725	3	chr3_inner
group2814	3	chr3_inner
group2861	3	chr3_inner
group2941	3	chr3_inner
group2986	3	chr3_inner
group3050	3	chr3_inner
group3067	3	chr3_inner
group3094	3	chr3_inner
group5	4	chr4_inner
group34	4	chr4_inner
group37	4	chr4_inner
group134	4	chr4_inner
group177	4	chr4_inner
group185	4	chr4_inner
group204	4	chr4_inner
group205	4	chr4_inner
group216	4	chr4_inner
group221	4	chr4_inner
group244	4	chr4_inner
group253	4	chr4_inner
group262	4	chr4_inner
group306	4	chr4_inner
group308	4	chr4_inner
group318	4	chr4_inner
group384	4	chr4_inner
group421	4	chr4_inner
group446	4	chr4_inner
group602	4	chr4_inner
group640	4	chr4_inner
group642	4	chr4_inner
group644	4	chr4_inner
group645	4	chr4_inner
group657	4	chr4_inner
group710	4	chr4_inner
group716	4	chr4_inner
group718	4	chr4_inner
group734	4	chr4_inner
group744	4	chr4_inner
group748	4	chr4_inner
group787	4	chr4_inner
group792	4	chr4_inner
group803	4	chr4_inner
group809	4	chr4_inner
group814	4	chr4_inner
group815	4	chr4_inner
group821	4	chr4_inner
group826	4	chr4_inner
group831	4	chr4_inner
group840	4	chr4_inner
group857	4	chr4_inner
group880	4	chr4_inner
group883	4	chr4_inner
group886	4	chr4_inner
group895	4	chr4_inner
group936	4	chr4_inner
group942	4	chr4_inner
group943	4	chr4_inner
group951	4	chr4_inner
group961	4	chr4_inner
group998	4	chr4_inner
group1001	4	chr4_inner
group1003	4	chr4_inner
group1022	4	chr4_inner
group1046	4	chr4_inner
group1049	4	chr4_inner
group1050	4	chr4_inner
group1068	4	chr4_inner
group1088	4	chr4_inner
group1142	4	chr4_inner
group1152	4	chr4_inner
group1177	4	chr4_inner
group1184	4	chr4_inner
group1193	4	chr4_inner
group1199	4	chr4_inner
group1207	4	chr4_inner
group1208	4	chr4_inner
group1219	4	chr4_inner
group1276	4	chr4_inner
group1323	4	chr4_inner
group1355	4	chr4_inner
group1360	4	chr4_inner
group1370	4	chr4_inner
group1406	4	chr4_inner
group1410	4	chr4_inner
group1427	4	chr4_inner
group1451	4	chr4_inner
group1467	4	chr4_inner
group1469	4	chr4_inner
group1533	4	chr4_inner
group1547	4	chr4_inner
group1558	4	chr4_inner
group1609	4	chr4_inner
group1722	4	chr4_inner
group1761	4	chr4_inner
group1764	4	chr4_inner
group1830	4	chr4_inner
group1844	4	chr4_inner
group1848	4	chr4_inner
group1859	4	chr4_inner
group1891	4	chr4_inner
group1953	4	chr4_inner
group2006	4	chr4_inner
group2032	4	chr4_inner
group2056	4	chr4_inner
group2084	4	chr4_inner
group2118	4	chr4_inner
group2127	4	chr4_inner
group2133	4	chr4_inner
group2139	4	chr4_inner
group2194	4	chr4_inner
group2199	4	chr4_inner
group2226	4	chr4_inner
group2227	4	chr4_inner
group2254	4	chr4_inner
group2297	4	chr4_inner
group2302	4	chr4_inner
group2320	4	chr4_inner
group2329	4	chr4_inner
group2337	4	chr4_inner
group2382	4	chr4_inner
group2422	4	chr4_inner
group2428	4	chr4_inner
group2500	4	chr4_inner
group2527	4	chr4_inner
group2542	4	chr4_inner
group2549	4	chr4_inner
group2567	4	chr4_inner
group2634	4	chr4_inner
group2712	4	chr4_inner
group2810	4	chr4_inner
group2842	4	chr4_inner
group2845	4	chr4_inner
group2910	4	chr4_inner
group2960	4	chr4_inner
group2998	4	chr4_inner
group3017	4	chr4_inner
group3073	4	chr4_inner
group50	5	chr5_inner
group102	5	chr5_inner
group112	5	chr5_inner
group118	5	chr5_inner
group158	5	chr5_inner
group161	5	chr5_inner
group364	5	chr5_inner
group412	5	chr5_inner
group439	5	chr5_inner
group891	5	chr5_inner
group1085	5	chr5_inner
group1169	5	chr5_inner
group1185	5	chr5_inner
group1204	5	chr5_inner
group1289	5	chr5_inner
group1462	5	chr5_inner
group1516	5	chr5_inner
group1626	5	chr5_inner
group1648	5	chr5_inner
group1757	5	chr5_inner
group1790	5	chr5_inner
group1977	5	chr5_inner
group2234	5	chr5_inner
group2293	5	chr5_inner
group2590	5	chr5_inner
group2699	5	chr5_inner
group2715	5	chr5_inner
group2904	5	chr5_inner
group21	6	chr6_inner
group99	6	chr6_inner
group390	6	chr6_inner
group420	6	chr6_inner
group774	6	chr6_inner
group850	6	chr6_inner
group882	6	chr6_inner
group924	6	chr6_inner
group935	6	chr6_inner
group971	6	chr6_inner
group1025	6	chr6_inner
group1065	6	chr6_inner
group1103	6	chr6_inner
group1123	6	chr6_inner
group1158	6	chr6_inner
group1161	6	chr6_inner
group1181	6	chr6_inner
group1298	6	chr6_inner
group1303	6	chr6_inner
group1367	6	chr6_inner
group1382	6	chr6_inner
group1424	6	chr6_inner
group1434	6	chr6_inner
group1485	6	chr6_inner
group1569	6	chr6_inner
group1605	6	chr6_inner
group1733	6	chr6_inner
group2019	6	chr6_inner
group2096	6	chr6_inner
group2614	6	chr6_inner
group2822	6	chr6_inner
group2839	6	chr6_inner
group2840	6	chr6_inner
group2966	6	chr6_inner
group167	7	chr7_inner
group174	7	chr7_inner
group178	7	chr7_inner
group195	7	chr7_inner
group369	7	chr7_inner
group403	7	chr7_inner
group472	7	chr7_inner
group514	7	chr7_inner
group766	7	chr7_inner
group1138	7	chr7_inner
group1159	7	chr7_inner
group1171	7	chr7_inner
group1351	7	chr7_inner
group1412	7	chr7_inner
group1579	7	chr7_inner
group1713	7	chr7_inner
group1739	7	chr7_inner
group1798	7	chr7_inner
group2170	7	chr7_inner
group2217	7	chr7_inner
group2325	7	chr7_inner
group2401	7	chr7_inner
group2407	7	chr7_inner
group2525	7	chr7_inner
group1089	m1	chrm1_inner
group1669	m1	chrm1_inner
group1734	m1	chrm1_inner
group1773	m1	chrm1_inner
group2535	m1	chrm1_inner
group2682	m1	chrm1_inner
group2736	m1	chrm1_inner
group2933	m1	chrm1_inner
group3077	m1	chrm1_inner
group18	m10	chrm10_inner
group228	m10	chrm10_inner
group293	m10	chrm10_inner
group305	m10	chrm10_inner
group484	m10	chrm10_inner
group1388	m10	chrm10_inner
group1686	m10	chrm10_inner
group1776	m10	chrm10_inner
group1817	m10	chrm10_inner
group1864	m10	chrm10_inner
group2138	m10	chrm10_inner
group2220	m10	chrm10_inner
group2267	m10	chrm10_inner
group2468	m10	chrm10_inner
group2503	m10	chrm10_inner
group2572	m10	chrm10_inner
group2823	m10	chrm10_inner
group2976	m10	chrm10_inner
group3026	m10	chrm10_inner
group315	m11	chrm11_inner
group1772	m11	chrm11_inner
group1782	m11	chrm11_inner
group1910	m11	chrm11_inner
group1957	m11	chrm11_inner
group2216	m11	chrm11_inner
group2248	m11	chrm11_inner
group2279	m11	chrm11_inner
group2451	m11	chrm11_inner
group2588	m11	chrm11_inner
group2744	m11	chrm11_inner
group2806	m11	chrm11_inner
group171	m2	chrm2_inner
group437	m2	chrm2_inner
group636	m2	chrm2_inner
group1073	m2	chrm2_inner
group1804	m2	chrm2_inner
group1984	m2	chrm2_inner
group2124	m2	chrm2_inner
group2597	m2	chrm2_inner
group3068	m2	chrm2_inner
group74	m3	chrm3_inner
group192	m3	chrm3_inner
group346	m3	chrm3_inner
group367	m3	chrm3_inner
group379	m3	chrm3_inner
group451	m3	chrm3_inner
group558	m3	chrm3_inner
group562	m3	chrm3_inner
group572	m3	chrm3_inner
group587	m3	chrm3_inner
group591	m3	chrm3_inner
group1346	m3	chrm3_inner
group1537	m3	chrm3_inner
group1679	m3	chrm3_inner
group1744	m3	chrm3_inner
group1904	m3	chrm3_inner
group1919	m3	chrm3_inner
group1952	m3	chrm3_inner
group2012	m3	chrm3_inner
group2260	m3	chrm3_inner
