locus	genome	seqname	strand	start	end	chromosome
group787	Thamnophis-elegans	NC_045555.1	+	18134994	18139114	15
group788	Thamnophis-elegans	NC_045548.1	+	58068766	58079999	8
group789	Thamnophis-elegans	NC_045545.1	+	14360510	14369183	5
group790	Thamnophis-elegans	NC_045554.1	+	38120002	38123716	14
group791	Thamnophis-elegans	NC_045558.1	-	81141728	81145075	Z
group792	Thamnophis-elegans	NA	NA	NA	NA	NA
group793	Thamnophis-elegans	NC_045548.1	+	31120001	31126496	8
group794	Thamnophis-elegans	NC_045542.1	-	141442139	141451325	2
group795	Thamnophis-elegans	NC_045544.1	+	95554824	95556306	4
group796	Thamnophis-elegans	NC_045543.1	-	105503222	105515480	3
group797	Thamnophis-elegans	NC_045554.1	-	38817210	38819688	14
group798	Thamnophis-elegans	NC_045541.1	-	92320158	92326521	1
group799	Thamnophis-elegans	NC_045547.1	-	57474839	57476374	7
group800	Thamnophis-elegans	NC_045541.1	-	40042494	40045366	1
group801	Thamnophis-elegans	NC_045548.1	+	47237244	47240000	8
group802	Thamnophis-elegans	NC_045546.1	-	75806540	75807936	6
group803	Thamnophis-elegans	NC_045550.1	-	2484519	2494807	10
group804	Thamnophis-elegans	NC_045544.1	-	60755544	60756885	4
group805	Thamnophis-elegans	NC_045541.1	-	129546404	129549078	1
group806	Thamnophis-elegans	NC_045558.1	-	45020001	45028559	Z
group807	Thamnophis-elegans	NC_045558.1	+	24080010	24091628	Z
group808	Thamnophis-elegans	NC_045543.1	-	80216169	80220000	3
group809	Thamnophis-elegans	NC_045550.1	-	7775125	7779999	10
group810	Thamnophis-elegans	NC_045544.1	-	86361986	86364864	4
group811	Thamnophis-elegans	NC_045548.1	+	17892548	17897266	8
group812	Thamnophis-elegans	NW_022473589.1	-	82882	98663	na
group813	Thamnophis-elegans	NC_045541.1	-	92740209	92742536	1
group814	Thamnophis-elegans	NC_045550.1	-	2168719	2171540	10
group815	Thamnophis-elegans	NC_045555.1	-	22620350	22632858	15
group816	Thamnophis-elegans	NC_045544.1	-	106388952	106390402	4
group817	Thamnophis-elegans	NC_045547.1	+	12786660	12795951	7
group818	Thamnophis-elegans	NC_045543.1	-	103081519	103096702	3
group819	Thamnophis-elegans	NC_045548.1	+	34960216	34971874	8
group820	Thamnophis-elegans	NA	NA	NA	NA	NA
group821	Thamnophis-elegans	NC_045550.1	-	2160040	2168715	10
group822	Thamnophis-elegans	NA	NA	NA	NA	NA
group823	Thamnophis-elegans	NC_045554.1	+	43896385	43898160	14
group824	Thamnophis-elegans	NC_045541.1	+	121203935	121220000	1
group825	Thamnophis-elegans	NC_045558.1	-	34087799	34099704	Z
group826	Thamnophis-elegans	NC_045550.1	-	12800831	12810385	10
group827	Thamnophis-elegans	NC_045554.1	+	42136075	42139461	14
group828	Thamnophis-elegans	NC_045554.1	-	43641867	43660000	14
group829	Thamnophis-elegans	NC_045541.1	-	34681506	34697303	1
group830	Thamnophis-elegans	NA	NA	NA	NA	NA
group831	Thamnophis-elegans	NC_045550.1	+	2255619	2257336	10
group832	Thamnophis-elegans	NC_045544.1	-	108569132	108577419	4
group833	Thamnophis-elegans	NA	NA	NA	NA	NA
group834	Thamnophis-elegans	NC_045554.1	+	38580052	38590626	14
group835	Thamnophis-elegans	NC_045541.1	-	141842528	141843945	1
group836	Thamnophis-elegans	NC_045541.1	-	91963738	91965853	1
group837	Thamnophis-elegans	NC_045542.1	-	131720001	131733234	2
group838	Thamnophis-elegans	NC_045548.1	-	25764232	25775622	8
group839	Thamnophis-elegans	NC_045550.1	-	48100001	48103849	10
group840	Thamnophis-elegans	NC_045555.1	+	18600807	18607104	15
group841	Thamnophis-elegans	NC_045548.1	+	17342931	17348263	8
group842	Thamnophis-elegans	NC_045541.1	-	50087987	50094059	1
group843	Thamnophis-elegans	NC_045543.1	+	105780001	105782814	3
group844	Thamnophis-elegans	NC_045541.1	+	126902839	126910388	1
group845	Thamnophis-elegans	NC_045547.1	+	57553269	57554920	7
group846	Thamnophis-elegans	NC_045548.1	-	38083924	38099301	8
group847	Thamnophis-elegans	NC_045543.1	-	108124868	108136628	3
group848	Thamnophis-elegans	NC_045547.1	+	56831398	56840000	7
group849	Thamnophis-elegans	NC_045544.1	-	75514190	75516273	4
group850	Thamnophis-elegans	NC_045551.1	+	36447855	36451819	11
group851	Thamnophis-elegans	NA	NA	NA	NA	NA
group852	Thamnophis-elegans	NC_045547.1	+	57588290	57597161	7
group853	Thamnophis-elegans	NC_045544.1	-	33933308	33934802	4
group854	Thamnophis-elegans	NC_045541.1	+	24190495	24198726	1
group855	Thamnophis-elegans	NC_045554.1	-	39040001	39052596	14
group856	Thamnophis-elegans	NC_045558.1	-	45071975	45080000	Z
group857	Thamnophis-elegans	NC_045550.1	+	3264480	3266282	10
group858	Thamnophis-elegans	NC_045548.1	-	15291371	15299973	8
group859	Thamnophis-elegans	NC_045548.1	+	57678662	57680000	8
group860	Thamnophis-elegans	NC_045541.1	-	144328578	144338524	1
group861	Thamnophis-elegans	NC_045541.1	-	9749974	9759862	1
group862	Thamnophis-elegans	NC_045548.1	+	7066285	7079136	8
group863	Thamnophis-elegans	NC_045541.1	-	41237861	41240000	1
group864	Thamnophis-elegans	NC_045545.1	+	13567519	13578226	5
group865	Thamnophis-elegans	NC_045558.1	+	42681162	42683985	Z
group866	Thamnophis-elegans	NC_045542.1	-	71889352	71900000	2
group867	Thamnophis-elegans	NC_045543.1	+	69415388	69419998	3
group868	Thamnophis-elegans	NC_045541.1	+	92158025	92160000	1
group869	Thamnophis-elegans	NC_045541.1	-	125304948	125310346	1
group870	Thamnophis-elegans	NA	NA	NA	NA	NA
group871	Thamnophis-elegans	NC_045541.1	+	92226470	92228239	1
group872	Thamnophis-elegans	NC_045544.1	-	90860001	90866275	4
group873	Thamnophis-elegans	NC_045547.1	+	56851669	56854565	7
group874	Thamnophis-elegans	NC_045543.1	+	15591188	15599850	3
group875	Thamnophis-elegans	NC_045544.1	-	45421481	45423084	4
group876	Thamnophis-elegans	NC_045543.1	-	80160001	80169157	3
group877	Thamnophis-elegans	NC_045544.1	-	46151132	46155577	4
group878	Thamnophis-elegans	NA	NA	NA	NA	NA
group879	Thamnophis-elegans	NC_045541.1	+	35174009	35175322	1
group880	Thamnophis-elegans	NC_045550.1	+	2782378	2785304	10
group881	Thamnophis-elegans	NC_045544.1	-	25730546	25740000	4
group882	Thamnophis-elegans	NC_045551.1	-	42289642	42298404	11
group883	Thamnophis-elegans	NC_045550.1	+	2741185	2745870	10
group884	Thamnophis-elegans	NC_045551.1	-	57563728	57580000	11
group885	Thamnophis-elegans	NC_045549.1	-	32896403	32899225	9
group886	Thamnophis-elegans	NC_045555.1	-	23420422	23425454	15
group887	Thamnophis-elegans	NC_045544.1	-	88734085	88738881	4
group888	Thamnophis-elegans	NC_045543.1	-	26540001	26546593	3
group889	Thamnophis-elegans	NC_045544.1	-	89504661	89515649	4
group890	Thamnophis-elegans	NC_045554.1	-	38468331	38477950	14
group891	Thamnophis-elegans	NC_045546.1	-	22752013	22760000	6
group892	Thamnophis-elegans	NC_045545.1	+	81241949	81256130	5
group893	Thamnophis-elegans	NC_045544.1	-	46242796	46251744	4
group894	Thamnophis-elegans	NC_045551.1	-	40180001	40193340	11
group895	Thamnophis-elegans	NC_045555.1	+	48869973	48876432	15
group896	Thamnophis-elegans	NC_045558.1	-	41729603	41740000	Z
group897	Thamnophis-elegans	NA	NA	NA	NA	NA
group898	Thamnophis-elegans	NC_045541.1	-	30407151	30409103	1
group899	Thamnophis-elegans	NC_045547.1	+	8788242	8799439	7
group900	Thamnophis-elegans	NC_045545.1	-	72620265	72630353	5
group901	Thamnophis-elegans	NC_045548.1	-	57996359	57998148	8
group902	Thamnophis-elegans	NA	NA	NA	NA	NA
group903	Thamnophis-elegans	NC_045550.1	+	43140932	43147051	10
group904	Thamnophis-elegans	NC_045543.1	-	106222057	106223481	3
group905	Thamnophis-elegans	NC_045554.1	-	38571075	38578143	14
group906	Thamnophis-elegans	NC_045541.1	-	30666980	30674421	1
group907	Thamnophis-elegans	NC_045543.1	-	115494902	115498318	3
group908	Thamnophis-elegans	NC_045543.1	+	26186130	26188283	3
group909	Thamnophis-elegans	NC_045543.1	+	118272262	118279927	3
group910	Thamnophis-elegans	NC_045558.1	-	39355703	39360000	Z
group911	Thamnophis-elegans	NC_045541.1	-	130456110	130459844	1
group912	Thamnophis-elegans	NC_045548.1	-	58102367	58105965	8
group913	Thamnophis-elegans	NC_045547.1	+	12189769	12199999	7
group914	Thamnophis-elegans	NC_045543.1	-	2400084	2411699	3
group915	Thamnophis-elegans	NC_045544.1	+	70969168	70980000	4
group916	Thamnophis-elegans	NC_045543.1	-	68902008	68918780	3
group917	Thamnophis-elegans	NC_045543.1	+	93069734	93079372	3
group918	Thamnophis-elegans	NC_045544.1	-	107674408	107677054	4
group919	Thamnophis-elegans	NC_045542.1	-	131504586	131509099	2
group920	Thamnophis-elegans	NC_045543.1	-	31011191	31019977	3
group921	Thamnophis-elegans	NA	NA	NA	NA	NA
group922	Thamnophis-elegans	NC_045545.1	+	27260122	27271467	5
group923	Thamnophis-elegans	NC_045544.1	-	89495984	89498391	4
group924	Thamnophis-elegans	NC_045551.1	+	55521983	55539836	11
group925	Thamnophis-elegans	NC_045541.1	-	25802361	25817319	1
group926	Thamnophis-elegans	NC_045548.1	+	31214138	31220000	8
group927	Thamnophis-elegans	NC_045551.1	+	2530871	2532316	11
group928	Thamnophis-elegans	NC_045543.1	-	82480001	82487806	3
group929	Thamnophis-elegans	NC_045542.1	-	96265328	96266613	2
group930	Thamnophis-elegans	NC_045554.1	-	38820896	38839907	14
group931	Thamnophis-elegans	NC_045544.1	-	71136281	71138416	4
group932	Thamnophis-elegans	NC_045541.1	-	126822463	126831064	1
group933	Thamnophis-elegans	NC_045544.1	+	25500001	25506627	4
group934	Thamnophis-elegans	NC_045551.1	-	57524619	57539560	11
group935	Thamnophis-elegans	NC_045551.1	+	35934105	35938726	11
group936	Thamnophis-elegans	NC_045555.1	+	23530638	23538880	15
group937	Thamnophis-elegans	NC_045554.1	+	39461138	39478996	14
group938	Thamnophis-elegans	NC_045543.1	+	69515202	69519999	3
group939	Thamnophis-elegans	NC_045545.1	+	28096534	28099993	5
group940	Thamnophis-elegans	NC_045545.1	-	57425286	57432241	5
group941	Thamnophis-elegans	NC_045551.1	+	58195703	58197865	11
group942	Thamnophis-elegans	NC_045550.1	+	11709921	11720000	10
group943	Thamnophis-elegans	NC_045550.1	+	3337718	3340000	10
group944	Thamnophis-elegans	NC_045544.1	+	106710119	106711873	4
group945	Thamnophis-elegans	NC_045545.1	+	41880274	41892899	5
group946	Thamnophis-elegans	NC_045541.1	+	121540006	121546207	1
group947	Thamnophis-elegans	NC_045541.1	-	23361870	23371520	1
group948	Thamnophis-elegans	NC_045541.1	-	122425523	122427159	1
group949	Thamnophis-elegans	NC_045544.1	+	106972156	106974120	4
group950	Thamnophis-elegans	NC_045558.1	-	45440001	45441259	Z
group951	Thamnophis-elegans	NC_045549.1	+	48960001	48964468	9
group952	Thamnophis-elegans	NC_045548.1	+	58060052	58069801	8
group953	Thamnophis-elegans	NC_045544.1	-	88660457	88673924	4
group954	Thamnophis-elegans	NC_045548.1	+	17780001	17780806	8
group955	Thamnophis-elegans	NC_045542.1	-	131414969	131420000	2
group956	Thamnophis-elegans	NC_045541.1	+	121110602	121118493	1
group957	Thamnophis-elegans	NA	NA	NA	NA	NA
group958	Thamnophis-elegans	NC_045550.1	-	61402327	61413461	10
group959	Thamnophis-elegans	NC_045541.1	-	91553275	91558357	1
group960	Thamnophis-elegans	NC_045541.1	+	127130081	127139999	1
group961	Thamnophis-elegans	NC_045550.1	-	3240331	3247135	10
group962	Thamnophis-elegans	NC_045548.1	+	52540001	52546635	8
group963	Thamnophis-elegans	NC_045541.1	-	125430296	125434933	1
group964	Thamnophis-elegans	NC_045547.1	+	56716312	56720000	7
group965	Thamnophis-elegans	NC_045541.1	+	41909076	41916258	1
group966	Thamnophis-elegans	NC_045541.1	-	144342841	144350090	1
group967	Thamnophis-elegans	NC_045547.1	+	56944799	56952518	7
group968	Thamnophis-elegans	NC_045541.1	-	39867299	39869670	1
group969	Thamnophis-elegans	NC_045541.1	-	130462992	130475694	1
group970	Thamnophis-elegans	NC_045541.1	+	42123860	42129535	1
group971	Thamnophis-elegans	NC_045551.1	+	36002203	36009621	11
group972	Thamnophis-elegans	NA	NA	NA	NA	NA
group973	Thamnophis-elegans	NA	NA	NA	NA	NA
group974	Thamnophis-elegans	NC_045548.1	-	62343858	62353866	8
group975	Thamnophis-elegans	NC_045541.1	-	23532453	23539977	1
group976	Thamnophis-elegans	NC_045541.1	+	84040473	84047017	1
group977	Thamnophis-elegans	NC_045541.1	+	88811447	88819606	1
group978	Thamnophis-elegans	NC_045543.1	-	35593064	35594827	3
group979	Thamnophis-elegans	NC_045547.1	+	56558043	56559981	7
group980	Thamnophis-elegans	NC_045541.1	-	1391488	1398779	1
group981	Thamnophis-elegans	NC_045541.1	+	121753159	121754703	1
group982	Thamnophis-elegans	NC_045544.1	-	88532943	88536294	4
group983	Thamnophis-elegans	NC_045548.1	-	7292208	7300000	8
group984	Thamnophis-elegans	NC_045543.1	+	92112910	92114512	3
group985	Thamnophis-elegans	NC_045547.1	+	9306725	9312414	7
group986	Thamnophis-elegans	NC_045543.1	-	35305140	35316990	3
group987	Thamnophis-elegans	NC_045541.1	-	75005387	75020000	1
group988	Thamnophis-elegans	NC_045558.1	-	36460001	36464666	Z
group989	Thamnophis-elegans	NC_045543.1	-	18677104	18679968	3
group990	Thamnophis-elegans	NC_045542.1	-	131980002	131986221	2
group991	Thamnophis-elegans	NC_045543.1	-	107063219	107073901	3
group992	Thamnophis-elegans	NC_045549.1	+	30109542	30111077	9
group993	Thamnophis-elegans	NC_045544.1	-	71054285	71059872	4
group994	Thamnophis-elegans	NC_045549.1	+	30020001	30023676	9
group995	Thamnophis-elegans	NC_045548.1	-	45404064	45417379	8
group996	Thamnophis-elegans	NC_045545.1	-	34566044	34579945	5
group997	Thamnophis-elegans	NA	NA	NA	NA	NA
group998	Thamnophis-elegans	NC_045550.1	-	5754987	5759999	10
group999	Thamnophis-elegans	NC_045541.1	+	127620002	127623645	1
group1000	Thamnophis-elegans	NC_045548.1	+	30913655	30915471	8
group1001	Thamnophis-elegans	NC_045555.1	+	23125302	23135592	15
group1002	Thamnophis-elegans	NC_045541.1	+	23100408	23117286	1
group1003	Thamnophis-elegans	NC_045550.1	-	15510212	15519999	10
group1004	Thamnophis-elegans	NC_045544.1	-	95983119	95988233	4
group1005	Thamnophis-elegans	NC_045545.1	+	14500044	14516443	5
group1006	Thamnophis-elegans	NC_045558.1	-	45436424	45437850	Z
group1007	Thamnophis-elegans	NC_045548.1	+	57923229	57934140	8
group1008	Thamnophis-elegans	NC_045541.1	+	34842380	34849190	1
group1009	Thamnophis-elegans	NC_045545.1	+	14327727	14338516	5
group1010	Thamnophis-elegans	NC_045547.1	-	12886300	12888265	7
group1011	Thamnophis-elegans	NC_045546.1	+	10620607	10640000	6
group1012	Thamnophis-elegans	NC_045545.1	-	15066254	15069720	5
group1013	Thamnophis-elegans	NC_045558.1	-	42550921	42555244	Z
group1014	Thamnophis-elegans	NC_045541.1	+	24457786	24460000	1
group1015	Thamnophis-elegans	NC_045550.1	-	37753023	37760000	10
group1016	Thamnophis-elegans	NC_045543.1	-	35352958	35358938	3
group1017	Thamnophis-elegans	NC_045541.1	-	156523972	156525847	1
group1018	Thamnophis-elegans	NC_045554.1	+	44580384	44581762	14
group1019	Thamnophis-elegans	NC_045544.1	-	91420001	91428271	4
group1020	Thamnophis-elegans	NC_045551.1	-	20574083	20579994	11
group1021	Thamnophis-elegans	NC_045548.1	+	35474597	35476280	8
group1022	Thamnophis-elegans	NC_045555.1	-	48840001	48842024	15
group1023	Thamnophis-elegans	NC_045553.1	+	5030293	5039977	13
group1024	Thamnophis-elegans	NC_045558.1	-	41832679	41835622	Z
group1025	Thamnophis-elegans	NC_045551.1	-	30177439	30180000	11
group1026	Thamnophis-elegans	NC_045548.1	+	47330116	47331491	8
group1027	Thamnophis-elegans	NC_045543.1	-	115524370	115531136	3
group1028	Thamnophis-elegans	NC_045541.1	-	85301269	85307916	1
group1029	Thamnophis-elegans	NC_045541.1	+	143680001	143686194	1
group1030	Thamnophis-elegans	NC_045547.1	-	57401312	57403305	7
group1031	Thamnophis-elegans	NC_045541.1	+	35260001	35266211	1
group1032	Thamnophis-elegans	NC_045554.1	+	42600041	42604151	14
group1033	Thamnophis-elegans	NC_045545.1	+	41821041	41834934	5
group1034	Thamnophis-elegans	NC_045543.1	-	145351115	145360000	3
group1035	Thamnophis-elegans	NA	NA	NA	NA	NA
group1036	Thamnophis-elegans	NC_045541.1	+	41931768	41940000	1
group1037	Thamnophis-elegans	NC_045558.1	-	47806586	47808224	Z
group1038	Thamnophis-elegans	NC_045547.1	+	56820001	56824105	7
group1039	Thamnophis-elegans	NC_045544.1	-	25381951	25399235	4
group1040	Thamnophis-elegans	NC_045543.1	+	12332341	12337629	3
group1041	Thamnophis-elegans	NC_045548.1	+	17386580	17398290	8
group1042	Thamnophis-elegans	NC_045541.1	+	121122761	121126114	1
group1043	Thamnophis-elegans	NC_045546.1	-	58300001	58311976	6
group1044	Thamnophis-elegans	NC_045544.1	-	89540001	89542981	4
group1045	Thamnophis-elegans	NC_045554.1	-	32143637	32153869	14
group1046	Thamnophis-elegans	NC_045550.1	-	7686708	7698668	10
group1047	Thamnophis-elegans	NC_045550.1	+	30336540	30338285	10
group1048	Thamnophis-elegans	NC_045541.1	-	128795949	128798811	1
group1049	Thamnophis-elegans	NC_045550.1	-	2480001	2491157	10
group1050	Thamnophis-elegans	NC_045549.1	+	51901191	51908933	9
group1051	Thamnophis-elegans	NC_045549.1	-	28581126	28592212	9
group1052	Thamnophis-elegans	NC_045549.1	+	43340001	43344867	9
group1053	Thamnophis-elegans	NC_045541.1	+	125490790	125494968	1
group1054	Thamnophis-elegans	NA	NA	NA	NA	NA
group1055	Thamnophis-elegans	NC_045542.1	-	54531237	54537940	2
group1056	Thamnophis-elegans	NC_045545.1	+	43151696	43159933	5
group1057	Thamnophis-elegans	NC_045543.1	+	99970120	99972585	3
group1058	Thamnophis-elegans	NC_045541.1	+	127287896	127294930	1
group1059	Thamnophis-elegans	NC_045546.1	-	52740733	52745870	6
group1060	Thamnophis-elegans	NC_045548.1	-	23383734	23385222	8
group1061	Thamnophis-elegans	NC_045541.1	+	144668397	144680000	1
group1062	Thamnophis-elegans	NC_045541.1	+	122162125	122176572	1
group1063	Thamnophis-elegans	NC_045552.1	-	44337930	44340000	12
group1064	Thamnophis-elegans	NC_045543.1	-	18713751	18715790	3
group1065	Thamnophis-elegans	NC_045551.1	-	35641998	35643738	11
group1066	Thamnophis-elegans	NC_045541.1	+	84436019	84439003	1
group1067	Thamnophis-elegans	NC_045542.1	-	135448508	135459999	2
group1068	Thamnophis-elegans	NC_045555.1	+	22601741	22617361	15
group1069	Thamnophis-elegans	NC_045558.1	-	44802870	44819870	Z
group1070	Thamnophis-elegans	NC_045548.1	-	79060163	79078791	8
group1071	Thamnophis-elegans	NC_045543.1	-	18683704	18700000	3
group1072	Thamnophis-elegans	NC_045542.1	-	116621571	116627996	2
group1073	Thamnophis-elegans	NC_045547.1	-	66405874	66412005	7
group1074	Thamnophis-elegans	NC_045544.1	-	88808530	88813838	4
group1075	Thamnophis-elegans	NC_045543.1	+	92400369	92402055	3
group1076	Thamnophis-elegans	NC_045545.1	-	41591276	41594353	5
group1077	Thamnophis-elegans	NC_045543.1	+	70189801	70200000	3
group1078	Thamnophis-elegans	NC_045544.1	+	30279146	30280000	4
group1079	Thamnophis-elegans	NC_045544.1	-	89363417	89364872	4
group1080	Thamnophis-elegans	NC_045550.1	-	45460002	45479366	10
group1081	Thamnophis-elegans	NC_045543.1	+	69202000	69208467	3
group1082	Thamnophis-elegans	NC_045545.1	+	65316368	65320000	5
group1083	Thamnophis-elegans	NC_045543.1	-	35707064	35717337	3
group1084	Thamnophis-elegans	NA	NA	NA	NA	NA
group1085	Thamnophis-elegans	NC_045546.1	+	23894433	23900000	6
group1086	Thamnophis-elegans	NC_045543.1	+	28109097	28113915	3
group1087	Thamnophis-elegans	NC_045542.1	+	39766385	39768096	2
group1088	Thamnophis-elegans	NC_045555.1	+	23308089	23320000	15
group1089	Thamnophis-elegans	NC_045553.1	+	32980001	32986227	13
group1090	Thamnophis-elegans	NC_045542.1	+	34945451	34947167	2
group1091	Thamnophis-elegans	NC_045544.1	+	60376754	60380000	4
group1092	Thamnophis-elegans	NC_045541.1	+	83920001	83923156	1
group1093	Thamnophis-elegans	NC_045548.1	-	15880001	15892224	8
group1094	Thamnophis-elegans	NC_045548.1	-	15560001	15567756	8
group1095	Thamnophis-elegans	NC_045543.1	-	115149075	115158574	3
group1096	Thamnophis-elegans	NC_045541.1	+	127506978	127508989	1
group1097	Thamnophis-elegans	NC_045548.1	+	57805327	57819618	8
group1098	Thamnophis-elegans	NC_045544.1	+	107793500	107797571	4
group1099	Thamnophis-elegans	NC_045544.1	+	65056889	65059087	4
group1100	Thamnophis-elegans	NC_045542.1	-	96329523	96335274	2
group1101	Thamnophis-elegans	NC_045558.1	-	12444912	12446590	Z
group1102	Thamnophis-elegans	NC_045544.1	-	89320001	89322635	4
group1103	Thamnophis-elegans	NC_045551.1	-	30466289	30469735	11
group1104	Thamnophis-elegans	NA	NA	NA	NA	NA
group1105	Thamnophis-elegans	NC_045556.1	+	5240002	5242302	16
group1106	Thamnophis-elegans	NC_045544.1	-	14142455	14155275	4
group1107	Thamnophis-elegans	NC_045543.1	-	105580002	105582268	3
group1108	Thamnophis-elegans	NC_045543.1	-	52969551	52972615	3
group1109	Thamnophis-elegans	NA	NA	NA	NA	NA
group1110	Thamnophis-elegans	NC_045545.1	-	40653816	40659838	5
group1111	Thamnophis-elegans	NC_045543.1	-	26486524	26488071	3
group1112	Thamnophis-elegans	NC_045542.1	-	76760021	76775496	2
group1113	Thamnophis-elegans	NC_045541.1	-	41344981	41349281	1
group1114	Thamnophis-elegans	NC_045541.1	-	134741579	134746663	1
group1115	Thamnophis-elegans	NC_045548.1	-	35136218	35140000	8
group1116	Thamnophis-elegans	NC_045542.1	+	116524584	116526204	2
group1117	Thamnophis-elegans	NC_045543.1	-	52936118	52940000	3
group1118	Thamnophis-elegans	NC_045545.1	+	9894013	9898236	5
group1119	Thamnophis-elegans	NC_045544.1	-	89706786	89720000	4
group1120	Thamnophis-elegans	NC_045541.1	+	26631380	26639673	1
group1121	Thamnophis-elegans	NC_045548.1	+	47749929	47754377	8
group1122	Thamnophis-elegans	NC_045541.1	-	41289070	41295079	1
group1123	Thamnophis-elegans	NC_045551.1	-	44251894	44257150	11
group1124	Thamnophis-elegans	NC_045544.1	-	23534599	23539898	4
group1125	Thamnophis-elegans	NA	NA	NA	NA	NA
group1126	Thamnophis-elegans	NC_045544.1	+	95569968	95578982	4
group1127	Thamnophis-elegans	NA	NA	NA	NA	NA
group1128	Thamnophis-elegans	NC_045544.1	-	78585061	78596229	4
group1129	Thamnophis-elegans	NC_045548.1	+	13764163	13768759	8
group1130	Thamnophis-elegans	NC_045543.1	+	124100001	124109025	3
group1131	Thamnophis-elegans	NC_045543.1	-	84906892	84908480	3
group1132	Thamnophis-elegans	NC_045542.1	+	132100001	132109983	2
group1133	Thamnophis-elegans	NC_045544.1	+	30766437	30778747	4
group1134	Thamnophis-elegans	NC_045558.1	-	12004636	12012213	Z
group1135	Thamnophis-elegans	NC_045543.1	-	29314668	29316640	3
group1136	Thamnophis-elegans	NC_045544.1	-	91189016	91190809	4
group1137	Thamnophis-elegans	NC_045544.1	+	44035396	44037989	4
group1138	Thamnophis-elegans	NC_045547.1	+	32331340	32340000	7
group1139	Thamnophis-elegans	NC_045541.1	+	127675409	127680000	1
group1140	Thamnophis-elegans	NA	NA	NA	NA	NA
group1141	Thamnophis-elegans	NC_045544.1	+	90047429	90052202	4
group1142	Thamnophis-elegans	NC_045550.1	+	3081543	3087426	10
group1143	Thamnophis-elegans	NC_045548.1	+	15113898	15119824	8
group1144	Thamnophis-elegans	NC_045543.1	+	35393786	35399749	3
group1145	Thamnophis-elegans	NC_045543.1	+	81761889	81773228	3
group1146	Thamnophis-elegans	NC_045550.1	+	40974813	40976535	10
group1147	Thamnophis-elegans	NC_045544.1	-	26854053	26860000	4
group1148	Thamnophis-elegans	NC_045544.1	-	71075238	71080000	4
group1149	Thamnophis-elegans	NC_045556.1	+	19364161	19379900	16
group1150	Thamnophis-elegans	NC_045558.1	-	36220001	36223139	Z
group1151	Thamnophis-elegans	NC_045543.1	-	106149907	106154179	3
group1152	Thamnophis-elegans	NC_045550.1	-	7593550	7599999	10
group1153	Thamnophis-elegans	NC_045548.1	-	25435402	25437196	8
group1154	Thamnophis-elegans	NC_045543.1	+	93113354	93115502	3
group1155	Thamnophis-elegans	NC_045549.1	+	30428327	30432847	9
group1156	Thamnophis-elegans	NC_045541.1	-	49981871	49994817	1
group1157	Thamnophis-elegans	NA	NA	NA	NA	NA
group1158	Thamnophis-elegans	NC_045551.1	-	30306053	30320000	11
group1159	Thamnophis-elegans	NC_045547.1	-	34552519	34554055	7
group1160	Thamnophis-elegans	NC_045549.1	+	38370427	38378639	9
group1161	Thamnophis-elegans	NC_045551.1	+	30500001	30504436	11
group1162	Thamnophis-elegans	NC_045544.1	-	45103684	45118379	4
group1163	Thamnophis-elegans	NC_045544.1	-	33022421	33034108	4
group1164	Thamnophis-elegans	NC_045543.1	+	66037952	66039813	3
group1165	Thamnophis-elegans	NC_045545.1	-	66513208	66519913	5
group1166	Thamnophis-elegans	NC_045548.1	+	17571061	17579999	8
group1167	Thamnophis-elegans	NC_045543.1	-	28905849	28909815	3
group1168	Thamnophis-elegans	NC_045541.1	-	40164119	40179212	1
group1169	Thamnophis-elegans	NC_045546.1	-	22200001	22204027	6
group1170	Thamnophis-elegans	NC_045548.1	-	41238135	41240000	8
group1171	Thamnophis-elegans	NC_045547.1	+	22721677	22734938	7
group1172	Thamnophis-elegans	NC_045548.1	+	53325469	53338192	8
group1173	Thamnophis-elegans	NC_045541.1	+	34747801	34760000	1
group1174	Thamnophis-elegans	NC_045558.1	-	38508807	38510221	Z
group1175	Thamnophis-elegans	NC_045548.1	+	52830119	52831600	8
group1176	Thamnophis-elegans	NC_045551.1	+	9362374	9372062	11
group1177	Thamnophis-elegans	NC_045545.1	+	91368452	91373508	5
group1178	Thamnophis-elegans	NC_045554.1	-	38821898	38840000	14
group1179	Thamnophis-elegans	NC_045548.1	+	17301912	17315188	8
group1180	Thamnophis-elegans	NC_045548.1	+	17142439	17143751	8
group1181	Thamnophis-elegans	NC_045551.1	-	39693632	39700000	11
group1182	Thamnophis-elegans	NC_045558.1	-	36391379	36398422	Z
group1183	Thamnophis-elegans	NC_045542.1	-	131881471	131894892	2
group1184	Thamnophis-elegans	NC_045555.1	+	46386515	46392976	15
group1185	Thamnophis-elegans	NC_045546.1	-	44080001	44099180	6
group1186	Thamnophis-elegans	NC_045544.1	-	91220177	91228800	4
group1187	Thamnophis-elegans	NA	NA	NA	NA	NA
group1188	Thamnophis-elegans	NC_045541.1	-	125211750	125215555	1
group1189	Thamnophis-elegans	NC_045544.1	+	21571397	21580000	4
group1190	Thamnophis-elegans	NC_045558.1	-	49860001	49861009	Z
group1191	Thamnophis-elegans	NC_045543.1	-	26589695	26591024	3
group1192	Thamnophis-elegans	NC_045545.1	-	35287657	35289476	5
group1193	Thamnophis-elegans	NC_045549.1	+	50491204	50493161	9
group1194	Thamnophis-elegans	NC_045543.1	+	69716020	69720000	3
