locus	genome	chromosome	orthoblock
group565	Thamnophis-elegans	13	NA
group566	Thamnophis-elegans	14	OG0013724
group567	Thamnophis-elegans	4	OG0007266
group568	Thamnophis-elegans	2	OG0006757
group569	Thamnophis-elegans	NA	NA
group570	Thamnophis-elegans	15	OG0007651
group571	Thamnophis-elegans	2	OG0002015
group572	Thamnophis-elegans	12	OG0011309
group573	Thamnophis-elegans	1	OG0005342
group574	Thamnophis-elegans	14	OG0003400
group575	Thamnophis-elegans	2	OG0000072
group575	Thamnophis-elegans	2	OG0000072
group575	Thamnophis-elegans	2	OG0000072
group575	Thamnophis-elegans	2	OG0000646
group576	Thamnophis-elegans	2	OG0000072
group577	Thamnophis-elegans	NA	NA
group578	Thamnophis-elegans	NA	NA
group579	Thamnophis-elegans	2	OG0012359
group580	Thamnophis-elegans	2	OG0000013
group581	Thamnophis-elegans	NA	NA
group582	Thamnophis-elegans	NA	NA
group583	Thamnophis-elegans	7	OG0010405
group584	Thamnophis-elegans	9	OG0002306
group585	Thamnophis-elegans	2	OG0008101
group586	Thamnophis-elegans	16	OG0002332
group587	Thamnophis-elegans	12	OG0011269
group588	Thamnophis-elegans	5	OG0002010
group589	Thamnophis-elegans	NA	NA
group590	Thamnophis-elegans	16	OG0008162
group591	Thamnophis-elegans	NA	NA
group592	Thamnophis-elegans	2	OG0002228
group593	Thamnophis-elegans	1	OG0005519
group594	Thamnophis-elegans	1	OG0005148
group595	Thamnophis-elegans	NA	NA
group596	Thamnophis-elegans	13	OG0007535
group597	Thamnophis-elegans	NA	NA
group598	Thamnophis-elegans	10	OG0011001
group599	Thamnophis-elegans	Z	NA
group600	Thamnophis-elegans	13	OG0004878
group601	Thamnophis-elegans	NA	NA
group602	Thamnophis-elegans	9	OG0009642
group603	Thamnophis-elegans	10	OG0001955
group604	Thamnophis-elegans	16	OG0002458
group605	Thamnophis-elegans	13	NA
group606	Thamnophis-elegans	8	OG0003112
group607	Thamnophis-elegans	17	OG0010673
group608	Thamnophis-elegans	3	OG0001484
group609	Thamnophis-elegans	2	OG0004101
group610	Thamnophis-elegans	2	OG0012364
group611	Thamnophis-elegans	12	OG0000534
group612	Thamnophis-elegans	16	OG0010073
group613	Thamnophis-elegans	14	OG0007274
group614	Thamnophis-elegans	16	OG0001242
group615	Thamnophis-elegans	14	OG0007393
group616	Thamnophis-elegans	8	OG0003020
group616	Thamnophis-elegans	8	OG0003021
group617	Thamnophis-elegans	5	OG0001204
group618	Thamnophis-elegans	4	OG0007890
group619	Thamnophis-elegans	6	OG0009900
group620	Thamnophis-elegans	5	OG0006279
group621	Thamnophis-elegans	7	OG0009597
group622	Thamnophis-elegans	2	OG0007954
group623	Thamnophis-elegans	13	OG0010522
group624	Thamnophis-elegans	Z	OG0000420
group625	Thamnophis-elegans	2	OG0000216
group626	Thamnophis-elegans	13	OG0001056
group627	Thamnophis-elegans	NA	NA
group628	Thamnophis-elegans	Z	NOG4308
group628	Thamnophis-elegans	Z	OG0015975
group629	Thamnophis-elegans	NA	NA
group630	Thamnophis-elegans	13	OG0001992
group631	Thamnophis-elegans	1	NA
group632	Thamnophis-elegans	8	NA
group633	Thamnophis-elegans	4	OG0002377
group634	Thamnophis-elegans	4	NA
group635	Thamnophis-elegans	3	NA
group636	Thamnophis-elegans	7	NA
group637	Thamnophis-elegans	5	OG0000138
group638	Thamnophis-elegans	3	NA
group639	Thamnophis-elegans	NA	NA
group640	Thamnophis-elegans	10	NA
group641	Thamnophis-elegans	8	NA
group642	Thamnophis-elegans	15	OG0014335
group643	Thamnophis-elegans	8	NA
group644	Thamnophis-elegans	10	NA
group645	Thamnophis-elegans	10	OG0000281
group646	Thamnophis-elegans	4	NA
group647	Thamnophis-elegans	8	NA
group648	Thamnophis-elegans	3	OG0000605
group649	Thamnophis-elegans	1	OG0005637
group650	Thamnophis-elegans	3	NA
group651	Thamnophis-elegans	NA	NA
group652	Thamnophis-elegans	14	NA
group653	Thamnophis-elegans	4	NA
group654	Thamnophis-elegans	4	OG0015407
group655	Thamnophis-elegans	3	NA
group656	Thamnophis-elegans	NA	NA
group657	Thamnophis-elegans	10	OG0000281
group658	Thamnophis-elegans	5	OG0009220
group659	Thamnophis-elegans	14	NA
group660	Thamnophis-elegans	1	NA
group661	Thamnophis-elegans	1	OG0015492
group662	Thamnophis-elegans	3	NA
group663	Thamnophis-elegans	8	NA
group664	Thamnophis-elegans	1	NA
group665	Thamnophis-elegans	14	NA
group666	Thamnophis-elegans	4	NA
group667	Thamnophis-elegans	14	NA
group668	Thamnophis-elegans	8	NA
group669	Thamnophis-elegans	1	NA
group670	Thamnophis-elegans	5	NA
group671	Thamnophis-elegans	1	OG0015492
group672	Thamnophis-elegans	1	NA
group673	Thamnophis-elegans	NA	NA
group674	Thamnophis-elegans	9	NA
group675	Thamnophis-elegans	NA	NA
group676	Thamnophis-elegans	5	OG0001848
group677	Thamnophis-elegans	2	OG0010174
group678	Thamnophis-elegans	1	NA
group679	Thamnophis-elegans	Z	OG0004699
group680	Thamnophis-elegans	Z	NA
group681	Thamnophis-elegans	1	NA
group682	Thamnophis-elegans	2	NA
group683	Thamnophis-elegans	4	NA
group684	Thamnophis-elegans	6	NA
group685	Thamnophis-elegans	1	NA
group686	Thamnophis-elegans	8	OG0012295
group687	Thamnophis-elegans	Z	OG0004933
group688	Thamnophis-elegans	4	NA
group689	Thamnophis-elegans	11	NA
group690	Thamnophis-elegans	6	NA
group691	Thamnophis-elegans	Z	NA
group692	Thamnophis-elegans	4	OG0009404
group693	Thamnophis-elegans	8	NA
group694	Thamnophis-elegans	8	OG0009230
group695	Thamnophis-elegans	4	NA
group696	Thamnophis-elegans	10	NA
group697	Thamnophis-elegans	14	NA
group698	Thamnophis-elegans	8	NA
group699	Thamnophis-elegans	5	NA
group700	Thamnophis-elegans	4	OG0010251
group701	Thamnophis-elegans	3	NA
group702	Thamnophis-elegans	5	NA
group703	Thamnophis-elegans	5	NA
group704	Thamnophis-elegans	NA	NA
group705	Thamnophis-elegans	1	OG0002766
group706	Thamnophis-elegans	8	NA
group707	Thamnophis-elegans	8	OG0009241
group708	Thamnophis-elegans	16	OG0008161
group709	Thamnophis-elegans	NA	NA
group710	Thamnophis-elegans	9	OG0000823
group711	Thamnophis-elegans	1	NA
group712	Thamnophis-elegans	NA	NA
group713	Thamnophis-elegans	14	NA
group714	Thamnophis-elegans	4	NA
group715	Thamnophis-elegans	10	NA
group716	Thamnophis-elegans	10	OG0000281
group717	Thamnophis-elegans	6	NA
group718	Thamnophis-elegans	10	NA
group719	Thamnophis-elegans	4	NA
group720	Thamnophis-elegans	2	OG0000842
group721	Thamnophis-elegans	8	NA
group722	Thamnophis-elegans	7	NA
group723	Thamnophis-elegans	1	NA
group724	Thamnophis-elegans	1	NA
group725	Thamnophis-elegans	3	NA
group726	Thamnophis-elegans	3	OG0003608
group727	Thamnophis-elegans	1	NA
group728	Thamnophis-elegans	6	NA
group729	Thamnophis-elegans	3	NA
group730	Thamnophis-elegans	8	OG0000902
group731	Thamnophis-elegans	8	NA
group732	Thamnophis-elegans	1	NA
group733	Thamnophis-elegans	4	OG0007336
group734	Thamnophis-elegans	10	NA
group735	Thamnophis-elegans	8	OG0007015
group736	Thamnophis-elegans	NA	NA
group737	Thamnophis-elegans	3	NA
group738	Thamnophis-elegans	Z	NA
group739	Thamnophis-elegans	1	NA
group740	Thamnophis-elegans	NA	NA
group741	Thamnophis-elegans	7	OG0010394
group742	Thamnophis-elegans	NA	NA
group743	Thamnophis-elegans	7	OG0010123
group744	Thamnophis-elegans	10	NA
group745	Thamnophis-elegans	8	NA
group746	Thamnophis-elegans	3	NA
group747	Thamnophis-elegans	1	NA
group748	Thamnophis-elegans	10	NA
group749	Thamnophis-elegans	6	NA
group750	Thamnophis-elegans	1	NA
group751	Thamnophis-elegans	6	OG0011864
group752	Thamnophis-elegans	3	NA
group753	Thamnophis-elegans	5	NA
group754	Thamnophis-elegans	1	NA
group755	Thamnophis-elegans	7	NA
group756	Thamnophis-elegans	4	NA
group757	Thamnophis-elegans	5	NA
group758	Thamnophis-elegans	3	OG0011783
group759	Thamnophis-elegans	NA	NA
group760	Thamnophis-elegans	8	OG0007015
group761	Thamnophis-elegans	9	OG0011752
group762	Thamnophis-elegans	8	OG0001607
group763	Thamnophis-elegans	5	NA
group764	Thamnophis-elegans	4	OG0002377
group765	Thamnophis-elegans	16	NA
group766	Thamnophis-elegans	7	OG0006156
group767	Thamnophis-elegans	NA	NA
group768	Thamnophis-elegans	3	OG0006836
group769	Thamnophis-elegans	Z	NA
group770	Thamnophis-elegans	NA	NA
group771	Thamnophis-elegans	8	OG0007017
group772	Thamnophis-elegans	1	OG0005637
group773	Thamnophis-elegans	10	NA
group774	Thamnophis-elegans	11	NA
group775	Thamnophis-elegans	3	OG0006836
group776	Thamnophis-elegans	8	OG0009256
group777	Thamnophis-elegans	2	OG0008524
group778	Thamnophis-elegans	4	NA
group779	Thamnophis-elegans	Z	NA
group780	Thamnophis-elegans	8	NA
group781	Thamnophis-elegans	4	NA
group782	Thamnophis-elegans	8	OG0009001
group783	Thamnophis-elegans	2	NA
group784	Thamnophis-elegans	9	NA
group785	Thamnophis-elegans	NA	NA
group786	Thamnophis-elegans	8	NA
group787	Thamnophis-elegans	15	NA
group788	Thamnophis-elegans	8	OG0009241
group789	Thamnophis-elegans	5	NA
group790	Thamnophis-elegans	14	NA
group791	Thamnophis-elegans	Z	NA
group792	Thamnophis-elegans	NA	NA
group793	Thamnophis-elegans	8	OG0009000
group794	Thamnophis-elegans	2	NA
group795	Thamnophis-elegans	4	OG0008701
group796	Thamnophis-elegans	3	OG0015641
group797	Thamnophis-elegans	14	NA
group798	Thamnophis-elegans	1	OG0005638
group799	Thamnophis-elegans	7	NA
group800	Thamnophis-elegans	1	NA
group801	Thamnophis-elegans	8	NA
group802	Thamnophis-elegans	6	NA
group803	Thamnophis-elegans	10	NOG4518
group804	Thamnophis-elegans	4	OG0007331
group805	Thamnophis-elegans	1	NA
group806	Thamnophis-elegans	Z	NA
group807	Thamnophis-elegans	Z	NA
group808	Thamnophis-elegans	3	NA
group809	Thamnophis-elegans	10	NA
group810	Thamnophis-elegans	4	OG0004589
group810	Thamnophis-elegans	4	OG0012935
group811	Thamnophis-elegans	8	OG0007017
group812	Thamnophis-elegans	NW_022473589.1	NA
group813	Thamnophis-elegans	1	NA
group814	Thamnophis-elegans	10	OG0000281
group815	Thamnophis-elegans	15	NA
group816	Thamnophis-elegans	4	NA
group817	Thamnophis-elegans	7	OG0001278
group818	Thamnophis-elegans	3	OG0008157
group819	Thamnophis-elegans	8	NA
group820	Thamnophis-elegans	NA	NA
group821	Thamnophis-elegans	10	OG0000281
group822	Thamnophis-elegans	NA	NA
group823	Thamnophis-elegans	14	NA
group824	Thamnophis-elegans	1	NA
group825	Thamnophis-elegans	Z	NA
group826	Thamnophis-elegans	10	NA
group827	Thamnophis-elegans	14	OG0011910
group828	Thamnophis-elegans	14	NA
group829	Thamnophis-elegans	1	NA
group830	Thamnophis-elegans	NA	NA
group831	Thamnophis-elegans	10	OG0000281
group832	Thamnophis-elegans	4	NA
group833	Thamnophis-elegans	NA	NA
group834	Thamnophis-elegans	14	NA
group835	Thamnophis-elegans	1	NA
group836	Thamnophis-elegans	1	NA
group837	Thamnophis-elegans	2	OG0000842
group838	Thamnophis-elegans	8	NA
group839	Thamnophis-elegans	10	OG0011449
group840	Thamnophis-elegans	15	NA
group841	Thamnophis-elegans	8	NA
group842	Thamnophis-elegans	1	NA
group843	Thamnophis-elegans	3	NA
group844	Thamnophis-elegans	1	NA
group845	Thamnophis-elegans	7	NA
group846	Thamnophis-elegans	8	OG0011241
group847	Thamnophis-elegans	3	NA
group848	Thamnophis-elegans	7	OG0000842
group849	Thamnophis-elegans	4	OG0009816
group850	Thamnophis-elegans	11	NA
group851	Thamnophis-elegans	NA	NA
group852	Thamnophis-elegans	7	NA
group853	Thamnophis-elegans	4	NA
group854	Thamnophis-elegans	1	OG0013065
group855	Thamnophis-elegans	14	NA
group856	Thamnophis-elegans	Z	NA
group857	Thamnophis-elegans	10	NA
group858	Thamnophis-elegans	8	NA
group859	Thamnophis-elegans	8	NA
group860	Thamnophis-elegans	1	NA
group861	Thamnophis-elegans	1	NA
group862	Thamnophis-elegans	8	NA
group863	Thamnophis-elegans	1	OG0008949
group864	Thamnophis-elegans	5	NA
group865	Thamnophis-elegans	Z	OG0004682
group866	Thamnophis-elegans	2	NA
group867	Thamnophis-elegans	3	NA
group868	Thamnophis-elegans	1	NA
group869	Thamnophis-elegans	1	NA
group870	Thamnophis-elegans	NA	NA
group871	Thamnophis-elegans	1	OG0015479
group872	Thamnophis-elegans	4	OG0015407
group873	Thamnophis-elegans	7	OG0000842
group874	Thamnophis-elegans	3	OG0007840
group875	Thamnophis-elegans	4	NA
group876	Thamnophis-elegans	3	OG0001505
group877	Thamnophis-elegans	4	NA
group878	Thamnophis-elegans	NA	NA
group879	Thamnophis-elegans	1	NA
group880	Thamnophis-elegans	10	NA
group881	Thamnophis-elegans	4	NA
group882	Thamnophis-elegans	11	NA
group883	Thamnophis-elegans	10	NA
group884	Thamnophis-elegans	11	NA
group885	Thamnophis-elegans	9	NA
group886	Thamnophis-elegans	15	OG0014335
group887	Thamnophis-elegans	4	NA
group888	Thamnophis-elegans	3	NA
group889	Thamnophis-elegans	4	NA
group890	Thamnophis-elegans	14	NA
group891	Thamnophis-elegans	6	NA
group892	Thamnophis-elegans	5	NA
group893	Thamnophis-elegans	4	NA
group894	Thamnophis-elegans	11	NA
group895	Thamnophis-elegans	15	NA
group896	Thamnophis-elegans	Z	OG0000312
group897	Thamnophis-elegans	NA	NA
group898	Thamnophis-elegans	1	NA
group899	Thamnophis-elegans	7	NA
group900	Thamnophis-elegans	5	NA
group901	Thamnophis-elegans	8	NA
group902	Thamnophis-elegans	NA	NA
group903	Thamnophis-elegans	10	NA
group904	Thamnophis-elegans	3	NA
group905	Thamnophis-elegans	14	OG0008652
group906	Thamnophis-elegans	1	NA
group907	Thamnophis-elegans	3	NA
group908	Thamnophis-elegans	3	OG0000438
group909	Thamnophis-elegans	3	NA
group910	Thamnophis-elegans	Z	NA
group911	Thamnophis-elegans	1	NA
group912	Thamnophis-elegans	8	OG0009241
group913	Thamnophis-elegans	7	NA
group914	Thamnophis-elegans	3	NA
group915	Thamnophis-elegans	4	OG0009789
group916	Thamnophis-elegans	3	OG0001721
group917	Thamnophis-elegans	3	NA
group918	Thamnophis-elegans	4	NA
group919	Thamnophis-elegans	2	OG0000842
group920	Thamnophis-elegans	3	OG0003120
group921	Thamnophis-elegans	NA	NA
group922	Thamnophis-elegans	5	NA
group923	Thamnophis-elegans	4	NA
group924	Thamnophis-elegans	11	NA
group925	Thamnophis-elegans	1	OG0005150
group926	Thamnophis-elegans	8	OG0008999
group927	Thamnophis-elegans	11	OG0000405
group928	Thamnophis-elegans	3	NA
group929	Thamnophis-elegans	2	OG0000281
group930	Thamnophis-elegans	14	NA
group931	Thamnophis-elegans	4	OG0000345
group932	Thamnophis-elegans	1	NA
group933	Thamnophis-elegans	4	NA
group934	Thamnophis-elegans	11	NA
group935	Thamnophis-elegans	11	NA
group936	Thamnophis-elegans	15	OG0014335
group937	Thamnophis-elegans	14	NA
group938	Thamnophis-elegans	3	NA
group939	Thamnophis-elegans	5	OG0000138
group940	Thamnophis-elegans	5	NA
group941	Thamnophis-elegans	11	NA
group942	Thamnophis-elegans	10	NA
group943	Thamnophis-elegans	10	NA
group944	Thamnophis-elegans	4	NA
group945	Thamnophis-elegans	5	OG0009220
group946	Thamnophis-elegans	1	NA
group947	Thamnophis-elegans	1	NA
group948	Thamnophis-elegans	1	OG0015492
group949	Thamnophis-elegans	4	NA
group950	Thamnophis-elegans	Z	OG0004699
group951	Thamnophis-elegans	9	OG0011047
group952	Thamnophis-elegans	8	OG0009241
group953	Thamnophis-elegans	4	NA
group954	Thamnophis-elegans	8	OG0007017
group955	Thamnophis-elegans	2	NA
group956	Thamnophis-elegans	1	NA
group957	Thamnophis-elegans	NA	NA
group958	Thamnophis-elegans	10	NA
group959	Thamnophis-elegans	1	OG0010477
group960	Thamnophis-elegans	1	NA
group961	Thamnophis-elegans	10	NA
group962	Thamnophis-elegans	8	NA
group963	Thamnophis-elegans	1	NA
group964	Thamnophis-elegans	7	OG0000842
group965	Thamnophis-elegans	1	OG0002766
group966	Thamnophis-elegans	1	NA
group967	Thamnophis-elegans	7	NA
group968	Thamnophis-elegans	1	NA
group969	Thamnophis-elegans	1	NA
group970	Thamnophis-elegans	1	OG0002766
group971	Thamnophis-elegans	11	NA
group972	Thamnophis-elegans	NA	NA
group973	Thamnophis-elegans	NA	NA
group974	Thamnophis-elegans	8	OG0015728
group975	Thamnophis-elegans	1	NA
group976	Thamnophis-elegans	1	NOG4562
group977	Thamnophis-elegans	1	NA
group978	Thamnophis-elegans	3	NA
group979	Thamnophis-elegans	7	NA
group980	Thamnophis-elegans	1	OG0005894
group981	Thamnophis-elegans	1	OG0015491
group982	Thamnophis-elegans	4	NA
group983	Thamnophis-elegans	8	NA
group984	Thamnophis-elegans	3	NA
group985	Thamnophis-elegans	7	OG0002728
group986	Thamnophis-elegans	3	NA
group987	Thamnophis-elegans	1	OG0000706
group988	Thamnophis-elegans	Z	NA
group989	Thamnophis-elegans	3	OG0000605
group990	Thamnophis-elegans	2	OG0000842
group991	Thamnophis-elegans	3	NA
group992	Thamnophis-elegans	9	OG0011752
group993	Thamnophis-elegans	4	OG0000345
group994	Thamnophis-elegans	9	NA
group995	Thamnophis-elegans	8	NA
group996	Thamnophis-elegans	5	OG0003287
group997	Thamnophis-elegans	NA	NA
group998	Thamnophis-elegans	10	NA
group999	Thamnophis-elegans	1	NA
group1000	Thamnophis-elegans	8	NA
group1001	Thamnophis-elegans	15	OG0014335
group1002	Thamnophis-elegans	1	NA
group1003	Thamnophis-elegans	10	NA
group1004	Thamnophis-elegans	4	OG0002377
group1005	Thamnophis-elegans	5	NA
group1006	Thamnophis-elegans	Z	OG0004699
group1007	Thamnophis-elegans	8	NA
group1008	Thamnophis-elegans	1	OG0011956
group1009	Thamnophis-elegans	5	NA
group1010	Thamnophis-elegans	7	NA
group1011	Thamnophis-elegans	6	NA
group1012	Thamnophis-elegans	5	NA
group1013	Thamnophis-elegans	Z	NA
group1014	Thamnophis-elegans	1	NA
group1015	Thamnophis-elegans	10	NA
group1016	Thamnophis-elegans	3	NA
group1017	Thamnophis-elegans	1	NA
group1018	Thamnophis-elegans	14	NA
group1019	Thamnophis-elegans	4	OG0008732
group1020	Thamnophis-elegans	11	OG0005674
group1021	Thamnophis-elegans	8	OG0001435
group1022	Thamnophis-elegans	15	NA
group1023	Thamnophis-elegans	13	NA
group1024	Thamnophis-elegans	Z	NA
group1025	Thamnophis-elegans	11	NA
group1026	Thamnophis-elegans	8	NA
group1027	Thamnophis-elegans	3	OG0000523
group1028	Thamnophis-elegans	1	NA
group1029	Thamnophis-elegans	1	NA
group1030	Thamnophis-elegans	7	NA
group1031	Thamnophis-elegans	1	NA
group1032	Thamnophis-elegans	14	NA
group1033	Thamnophis-elegans	5	OG0009220
group1034	Thamnophis-elegans	3	NA
group1035	Thamnophis-elegans	NA	NA
group1036	Thamnophis-elegans	1	OG0002766
group1037	Thamnophis-elegans	Z	OG0002795
group1038	Thamnophis-elegans	7	OG0000842
group1039	Thamnophis-elegans	4	NA
group1040	Thamnophis-elegans	3	OG0015451
group1041	Thamnophis-elegans	8	NA
group1042	Thamnophis-elegans	1	NA
group1043	Thamnophis-elegans	6	OG0000876
group1044	Thamnophis-elegans	4	NA
group1045	Thamnophis-elegans	14	OG0003986
group1046	Thamnophis-elegans	10	NA
group1047	Thamnophis-elegans	10	NA
group1048	Thamnophis-elegans	1	NA
group1049	Thamnophis-elegans	10	NOG4518
group1050	Thamnophis-elegans	9	NA
group1051	Thamnophis-elegans	9	NA
group1052	Thamnophis-elegans	9	OG0006927
group1053	Thamnophis-elegans	1	NA
group1054	Thamnophis-elegans	NA	NA
group1055	Thamnophis-elegans	2	OG0010853
group1056	Thamnophis-elegans	5	OG0000230
group1057	Thamnophis-elegans	3	OG0005617
group1058	Thamnophis-elegans	1	NA
group1059	Thamnophis-elegans	6	NA
group1060	Thamnophis-elegans	8	NA
group1061	Thamnophis-elegans	1	NA
group1062	Thamnophis-elegans	1	NA
group1063	Thamnophis-elegans	12	NA
group1064	Thamnophis-elegans	3	OG0000605
group1065	Thamnophis-elegans	11	NA
group1066	Thamnophis-elegans	1	NA
group1067	Thamnophis-elegans	2	OG0011876
group1068	Thamnophis-elegans	15	NA
group1069	Thamnophis-elegans	Z	OG0004698
group1070	Thamnophis-elegans	8	OG0014339
group1071	Thamnophis-elegans	3	OG0000605
group1072	Thamnophis-elegans	2	NA
group1073	Thamnophis-elegans	7	OG0003139
group1074	Thamnophis-elegans	4	OG0015408
group1075	Thamnophis-elegans	3	NA
group1076	Thamnophis-elegans	5	OG0009220
group1077	Thamnophis-elegans	3	OG0003465
group1078	Thamnophis-elegans	4	OG0006964
group1079	Thamnophis-elegans	4	NA
group1080	Thamnophis-elegans	10	OG0000333
group1081	Thamnophis-elegans	3	NA
group1082	Thamnophis-elegans	5	OG0005382
group1083	Thamnophis-elegans	3	NA
group1084	Thamnophis-elegans	NA	NA
group1085	Thamnophis-elegans	6	OG0011625
group1086	Thamnophis-elegans	3	OG0006836
group1087	Thamnophis-elegans	2	OG0000726
group1088	Thamnophis-elegans	15	OG0014335
group1089	Thamnophis-elegans	13	NA
group1090	Thamnophis-elegans	2	OG0008529
group1091	Thamnophis-elegans	4	OG0015427
group1092	Thamnophis-elegans	1	NOG4562
group1093	Thamnophis-elegans	8	NA
group1094	Thamnophis-elegans	8	NA
group1095	Thamnophis-elegans	3	NA
group1096	Thamnophis-elegans	1	NA
group1097	Thamnophis-elegans	8	OG0015727
group1098	Thamnophis-elegans	4	NA
group1099	Thamnophis-elegans	4	NA
group1100	Thamnophis-elegans	2	OG0000281
group1101	Thamnophis-elegans	Z	OG0011156
group1102	Thamnophis-elegans	4	NA
group1103	Thamnophis-elegans	11	NA
group1104	Thamnophis-elegans	NA	NA
group1105	Thamnophis-elegans	16	NA
group1106	Thamnophis-elegans	4	OG0000376
group1107	Thamnophis-elegans	3	OG0003606
group1108	Thamnophis-elegans	3	OG0003613
group1109	Thamnophis-elegans	NA	NA
group1110	Thamnophis-elegans	5	OG0011689
group1111	Thamnophis-elegans	3	NA
group1112	Thamnophis-elegans	2	OG0004454
group1113	Thamnophis-elegans	1	OG0008949
group1114	Thamnophis-elegans	1	OG0003099
group1115	Thamnophis-elegans	8	OG0007876
group1116	Thamnophis-elegans	2	NA
group1117	Thamnophis-elegans	3	OG0003613
group1118	Thamnophis-elegans	5	NA
group1119	Thamnophis-elegans	4	NA
group1120	Thamnophis-elegans	1	NA
group1121	Thamnophis-elegans	8	OG0000902
group1122	Thamnophis-elegans	1	OG0008949
group1123	Thamnophis-elegans	11	OG0010341
group1124	Thamnophis-elegans	4	NA
group1125	Thamnophis-elegans	NA	NA
group1126	Thamnophis-elegans	4	OG0008701
group1127	Thamnophis-elegans	NA	NA
group1128	Thamnophis-elegans	4	NA
group1129	Thamnophis-elegans	8	OG0006999
group1130	Thamnophis-elegans	3	NA
group1131	Thamnophis-elegans	3	OG0003627
group1132	Thamnophis-elegans	2	NA
group1133	Thamnophis-elegans	4	NA
group1134	Thamnophis-elegans	Z	OG0011158
group1135	Thamnophis-elegans	3	NA
group1136	Thamnophis-elegans	4	NA
group1137	Thamnophis-elegans	4	NA
group1138	Thamnophis-elegans	7	OG0002133
group1139	Thamnophis-elegans	1	NA
group1140	Thamnophis-elegans	NA	NA
group1141	Thamnophis-elegans	4	NA
group1142	Thamnophis-elegans	10	NA
group1143	Thamnophis-elegans	8	NA
group1144	Thamnophis-elegans	3	NA
group1145	Thamnophis-elegans	3	NA
group1146	Thamnophis-elegans	10	OG0011480
group1147	Thamnophis-elegans	4	OG0009435
group1148	Thamnophis-elegans	4	OG0000345
group1149	Thamnophis-elegans	16	NA
group1150	Thamnophis-elegans	Z	NA
group1151	Thamnophis-elegans	3	NA
group1152	Thamnophis-elegans	10	NA
group1153	Thamnophis-elegans	8	NA
group1154	Thamnophis-elegans	3	NA
group1155	Thamnophis-elegans	9	OG0011753
group1156	Thamnophis-elegans	1	NA
group1157	Thamnophis-elegans	NA	NA
group1158	Thamnophis-elegans	11	OG0003581
group1159	Thamnophis-elegans	7	OG0010767
group1160	Thamnophis-elegans	9	NA
group1161	Thamnophis-elegans	11	NA
group1162	Thamnophis-elegans	4	NA
group1163	Thamnophis-elegans	4	NA
group1164	Thamnophis-elegans	3	NA
group1165	Thamnophis-elegans	5	NA
group1166	Thamnophis-elegans	8	NA
group1167	Thamnophis-elegans	3	NA
group1168	Thamnophis-elegans	1	NA
group1169	Thamnophis-elegans	6	OG0000920
group1170	Thamnophis-elegans	8	OG0001607
group1171	Thamnophis-elegans	7	OG0006122
group1172	Thamnophis-elegans	8	NA
group1173	Thamnophis-elegans	1	NA
group1174	Thamnophis-elegans	Z	NA
group1175	Thamnophis-elegans	8	NA
group1176	Thamnophis-elegans	11	NA
group1177	Thamnophis-elegans	5	NA
group1178	Thamnophis-elegans	14	NA
group1179	Thamnophis-elegans	8	NA
group1180	Thamnophis-elegans	8	NA
group1181	Thamnophis-elegans	11	NA
group1182	Thamnophis-elegans	Z	NA
group1183	Thamnophis-elegans	2	OG0000842
group1184	Thamnophis-elegans	15	OG0003765
group1185	Thamnophis-elegans	6	NA
group1186	Thamnophis-elegans	4	NA
group1187	Thamnophis-elegans	NA	NA
group1188	Thamnophis-elegans	1	NA
group1189	Thamnophis-elegans	4	NA
group1190	Thamnophis-elegans	Z	OG0015342
group1191	Thamnophis-elegans	3	NA
group1192	Thamnophis-elegans	5	NA
group1193	Thamnophis-elegans	9	NA
group1194	Thamnophis-elegans	3	OG0001720
group1195	Thamnophis-elegans	4	OG0003835
group1196	Thamnophis-elegans	4	OG0006964
group1197	Thamnophis-elegans	10	NA
group1198	Thamnophis-elegans	Z	NA
group1199	Thamnophis-elegans	15	OG0014335
group1200	Thamnophis-elegans	1	OG0008949
group1201	Thamnophis-elegans	NA	NA
group1202	Thamnophis-elegans	14	NA
group1203	Thamnophis-elegans	8	NA
group1204	Thamnophis-elegans	6	OG0007552
group1205	Thamnophis-elegans	5	NA
group1206	Thamnophis-elegans	5	OG0000138
group1207	Thamnophis-elegans	10	NOG4518
group1208	Thamnophis-elegans	NA	NA
group1209	Thamnophis-elegans	8	NA
group1210	Thamnophis-elegans	3	NA
group1211	Thamnophis-elegans	Z	OG0012949
group1212	Thamnophis-elegans	4	NA
group1213	Thamnophis-elegans	6	NA
group1214	Thamnophis-elegans	3	OG0007508
group1215	Thamnophis-elegans	10	NA
group1216	Thamnophis-elegans	2	OG0000281
group1217	Thamnophis-elegans	1	OG0002401
group1218	Thamnophis-elegans	8	NA
group1219	Thamnophis-elegans	10	NA
group1220	Thamnophis-elegans	3	NA
group1221	Thamnophis-elegans	1	NA
group1222	Thamnophis-elegans	2	OG0010096
group1223	Thamnophis-elegans	NA	NA
group1224	Thamnophis-elegans	4	OG0007336
group1225	Thamnophis-elegans	1	NA
group1226	Thamnophis-elegans	14	NA
group1227	Thamnophis-elegans	3	OG0006836
group1228	Thamnophis-elegans	1	NA
group1229	Thamnophis-elegans	1	OG0002738
group1230	Thamnophis-elegans	4	NA
group1231	Thamnophis-elegans	8	NA
group1232	Thamnophis-elegans	NA	NA
group1233	Thamnophis-elegans	10	OG0011036
group1234	Thamnophis-elegans	Z	NA
group1235	Thamnophis-elegans	3	NA
