locus	species	contig	sense	start	end	chr	chr.id2	locus.id2
group1383	Naja-naja	CM019148.1	-	281720001	281733328	1	1	C1L381
group1470	Naja-naja	CM019148.1	-	284689246	284693487	1	1	C1L382
group2174	Naja-naja	CM019148.1	+	285060161	285073007	1	1	C1L383
group2427	Naja-naja	CM019148.1	+	285280381	285292539	1	1	C1L384
group1636	Naja-naja	CM019148.1	-	286000196	286012811	1	1	C1L385
group1540	Naja-naja	CM019148.1	+	287340001	287346143	1	1	C1L386
group1682	Naja-naja	CM019148.1	+	294770332	294772689	1	1	C1L387
group2206	Naja-naja	CM019148.1	+	297627706	297639312	1	1	C1L388
group1450	Naja-naja	CM019148.1	+	301140203	301150689	1	1	C1L389
group593	Naja-naja	CM019148.1	+	301530930	301540000	1	1	C1L390
group190	Naja-naja	CM019148.1	-	302060001	302071604	1	1	C1L391
group2415	Naja-naja	CM019148.1	-	302301079	302318329	1	1	C1L392
group394	Naja-naja	CM019148.1	+	302942054	302959714	1	1	C1L393
group1319	Naja-naja	CM019148.1	-	304000005	304005393	1	1	C1L394
group1745	Naja-naja	CM019148.1	-	304780001	304799999	1	1	C1L395
group107	Naja-naja	CM019148.1	+	306940001	306946949	1	1	C1L396
group956	Naja-naja	CM019148.1	+	307648809	307654403	1	1	C1L397
group1042	Naja-naja	CM019148.1	+	307658932	307660000	1	1	C1L398
group660	Naja-naja	CM019148.1	+	307760001	307764517	1	1	C1L399
group824	Naja-naja	CM019148.1	+	307764093	307780000	1	1	C1L400
group685	Naja-naja	CM019148.1	+	307850251	307858053	1	1	C1L401
group750	Naja-naja	CM019148.1	+	307960002	307966473	1	1	C1L402
group754	Naja-naja	CM019148.1	+	308113731	308116900	1	1	C1L403
group946	Naja-naja	CM019148.1	+	308140001	308144800	1	1	C1L404
group981	Naja-naja	CM019148.1	+	308343514	308345060	1	1	C1L405
group1062	Naja-naja	CM019148.1	+	308822678	308835340	1	1	C1L406
group671	Naja-naja	CM019148.1	-	309113769	309119967	1	1	C1L407
group948	Naja-naja	CM019148.1	-	309124556	309126196	1	1	C1L408
group661	Naja-naja	CM019148.1	+	309140002	309143492	1	1	C1L409
group1188	Naja-naja	CM019148.1	-	312093122	312100000	1	1	C1L410
group869	Naja-naja	CM019148.1	-	312221143	312226478	1	1	C1L411
group963	Naja-naja	CM019148.1	-	312369540	312374130	1	1	C1L412
group1053	Naja-naja	CM019148.1	+	312429400	312433671	1	1	C1L413
group932	Naja-naja	CM019148.1	-	313860007	313871630	1	1	C1L414
group631	Naja-naja	CM019148.1	-	313910816	313912276	1	1	C1L415
group844	Naja-naja	CM019148.1	+	313940001	313947068	1	1	C1L416
group1228	Naja-naja	CM019148.1	+	314195702	314197961	1	1	C1L417
group960	Naja-naja	CM019148.1	+	314222524	314231528	1	1	C1L418
group1058	Naja-naja	CM019148.1	+	314387199	314399049	1	1	C1L419
group1248	Naja-naja	CM019148.1	+	314452399	314459154	1	1	C1L420
group1461	Naja-naja	CM019148.1	+	314500977	314502733	1	1	C1L421
group1430	Naja-naja	CM019148.1	+	314593460	314599998	1	1	C1L422
group1096	Naja-naja	CM019148.1	+	314604780	314606771	1	1	C1L423
group999	Naja-naja	CM019148.1	+	314720001	314724221	1	1	C1L424
group1139	Naja-naja	CM019148.1	+	314772990	314780000	1	1	C1L425
group1642	Naja-naja	CM019148.1	+	315783261	315794026	1	1	C1L426
group727	Naja-naja	CM019148.1	-	315885923	315895335	1	1	C1L427
group1048	Naja-naja	CM019148.1	-	315986138	315988630	1	1	C1L428
group805	Naja-naja	CM019148.1	-	316780001	316781052	1	1	C1L429
group264	Naja-naja	CM019148.1	+	317274413	317278470	1	1	C1L430
group911	Naja-naja	CM019148.1	-	317749265	317753148	1	1	C1L431
group969	Naja-naja	CM019148.1	-	317760001	317772427	1	1	C1L432
group1301	Naja-naja	CM019148.1	+	319413678	319417957	1	1	C1L433
group1711	Naja-naja	CM019148.1	+	319506562	319508922	1	1	C1L434
group1366	Naja-naja	CM019148.1	-	319741946	319753773	1	1	C1L435
group1629	Naja-naja	CM019148.1	+	320409990	320419999	1	1	C1L436
group1245	Naja-naja	CM019148.1	-	322360002	322368489	1	1	C1L437
group1114	Naja-naja	CM019148.1	-	322374299	322379310	1	1	C1L438
group491	Naja-naja	CM019148.1	-	328012032	328013354	1	1	C1L439
group2630	Naja-naja	CM019148.1	+	328064792	328080000	1	1	C1L440
group1508	Naja-naja	CM019148.1	+	328166907	328179503	1	1	C1L441
group1824	Naja-naja	CM019148.1	-	329260001	329273317	1	1	C1L442
group2108	Naja-naja	CM019148.1	-	329780301	329796170	1	1	C1L443
group835	Naja-naja	CM019148.1	-	330050309	330051736	1	1	C1L444
group2501	Naja-naja	CM019148.1	-	330301195	330315473	1	1	C1L445
group1225	Naja-naja	CM019148.1	-	330540698	330544102	1	1	C1L446
group1261	Naja-naja	CM019148.1	-	330555906	330558851	1	1	C1L447
group1780	Naja-naja	CM019148.1	-	330724839	330737272	1	1	C1L448
group747	Naja-naja	CM019148.1	+	331595741	331599999	1	1	C1L449
group1325	Naja-naja	CM019148.1	+	331794907	331796573	1	1	C1L450
group1311	Naja-naja	CM019148.1	+	331946366	331956394	1	1	C1L451
group1029	Naja-naja	CM019148.1	+	332023046	332039788	1	1	C1L452
group2637	Naja-naja	CM019148.1	-	332469381	332480000	1	1	C1L453
group860	Naja-naja	CM019148.1	-	332659109	332660000	1	1	C1L454
group966	Naja-naja	CM019148.1	-	332673135	332677939	1	1	C1L455
group1061	Naja-naja	CM019148.1	+	333064603	333079948	1	1	C1L456
group1268	Naja-naja	CM019148.1	+	333298020	333300000	1	1	C1L457
group2042	Naja-naja	CM019148.1	-	333460001	333466250	1	1	C1L458
group1253	Naja-naja	CM019148.1	-	333642973	333645796	1	1	C1L459
group2443	Naja-naja	CM019148.1	-	337300001	337308072	1	1	C1L460
group534	Naja-naja	CM019148.1	+	339520200	339529057	1	1	C1L461
group1992	Naja-naja	CM019148.1	+	339642652	339659641	1	1	C1L462
group1017	Naja-naja	CM019148.1	-	345591733	345593462	1	1	C1L463
group1727	Naja-naja	CM019148.1	+	345721404	345737728	1	1	C1L464
group24	Naja-naja	CM019148.1	+	346406634	346419807	1	1	C1L465
group191	Naja-naja	CM019148.1	-	347783757	347795734	1	1	C1L466
group2955	Naja-naja	CM019148.1	-	348361958	348379962	1	1	C1L467
group1870	Naja-naja	CM019148.1	+	349080242	349087621	1	1	C1L468
group49	Naja-naja	CM019148.1	+	351204161	351211707	1	1	C1L469
group2466	Naja-naja	CM019148.1	+	351226647	351227963	1	1	C1L470
group222	Naja-naja	CM019148.1	-	353820001	353830061	1	1	C1L471
group2134	Naja-naja	CM019148.1	+	354603788	354615049	1	1	C1L472
group1867	Naja-naja	CM019148.1	+	355169495	355180000	1	1	C1L473
group2924	Naja-naja	CM019148.1	+	356568826	356580000	1	1	C1L474
group1607	Naja-naja	CM019148.1	-	356915443	356919999	1	1	C1L475
group2240	Naja-naja	CM019148.1	+	357983925	357996005	1	1	C1L476
group2456	Naja-naja	CM019148.1	-	359662312	359680000	1	1	C1L477
group1341	Naja-naja	CM019148.1	+	362172954	362179917	1	1	C1L478
group2271	Naja-naja	CM019148.1	+	363820002	363830576	1	1	C1L479
group212	Naja-naja	CM019148.1	+	367267219	367280000	1	1	C1L480
group398	Naja-naja	CM019148.1	-	368281288	368300000	1	1	C1L481
group2771	Naja-naja	CM019148.1	+	368780001	368787434	1	1	C1L482
group2645	Naja-naja	CM019148.1	-	370361352	370379946	1	1	C1L483
group2977	Naja-naja	CM019148.1	-	370960001	370965701	1	1	C1L484
group2490	Naja-naja	CM019148.1	+	372545732	372549584	1	1	C1L485
group10	Naja-naja	CM019148.1	-	373501183	373510032	1	1	C1L486
group136	Naja-naja	CM019148.1	-	374040001	374048835	1	1	C1L487
group2089	Naja-naja	CM019148.1	-	374063694	374075813	1	1	C1L488
group355	Naja-naja	CM019148.1	+	374648477	374660000	1	1	C1L489
group2951	Naja-naja	CM019148.1	-	374752439	374756870	1	1	C1L490
group1843	Naja-naja	CM019149.1	+	600002	618667	2	2	C2L1
group13	Naja-naja	CM019149.1	-	1390859	1399998	2	2	C2L2
group2357	Naja-naja	CM019149.1	-	1929646	1939405	2	2	C2L3
group2328	Naja-naja	CM019149.1	-	2765151	2774920	2	2	C2L4
group2776	Naja-naja	CM019149.1	+	3586423	3595057	2	2	C2L5
group1976	Naja-naja	CM019149.1	-	4727703	4739394	2	2	C2L6
group1871	Naja-naja	CM019149.1	-	4761703	4771429	2	2	C2L7
group2249	Naja-naja	CM019149.1	-	5132280	5140000	2	2	C2L8
group2911	Naja-naja	CM019149.1	-	5204010	5218046	2	2	C2L9
group2015	Naja-naja	CM019149.1	+	5215312	5218592	2	2	C2L10
group625	Naja-naja	CM019149.1	-	5546501	5560000	2	2	C2L11
group1980	Naja-naja	CM019149.1	+	5660001	5679376	2	2	C2L12
group2713	Naja-naja	CM019149.1	+	5880170	5897549	2	2	C2L13
group2996	Naja-naja	CM019149.1	+	6100001	6116572	2	2	C2L14
group2494	Naja-naja	CM019149.1	-	6187097	6192909	2	2	C2L15
group2507	Naja-naja	CM019149.1	-	7661826	7673892	2	2	C2L16
group2907	Naja-naja	CM019149.1	+	8380624	8389040	2	2	C2L17
group401	Naja-naja	CM019149.1	-	8470938	8478969	2	2	C2L18
group2449	Naja-naja	CM019149.1	+	8728489	8739009	2	2	C2L19
group518	Naja-naja	CM019149.1	-	8760001	8770563	2	2	C2L20
group2340	Naja-naja	CM019149.1	+	8787493	8794294	2	2	C2L21
group125	Naja-naja	CM019149.1	+	8800009	8814971	2	2	C2L22
group483	Naja-naja	CM019149.1	+	8864251	8879671	2	2	C2L23
group2882	Naja-naja	CM019149.1	-	8920458	8939996	2	2	C2L24
group2870	Naja-naja	CM019149.1	+	9022055	9033753	2	2	C2L25
group2700	Naja-naja	CM019149.1	-	9226187	9235978	2	2	C2L26
group2008	Naja-naja	CM019149.1	+	9551342	9560000	2	2	C2L27
group69	Naja-naja	CM019149.1	+	10040476	10050769	2	2	C2L28
group3106	Naja-naja	CM019149.1	+	11240164	11254348	2	2	C2L29
group580	Naja-naja	CM019149.1	+	11325987	11333498	2	2	C2L30
group579	Naja-naja	CM019149.1	+	12889130	12898741	2	2	C2L31
group2648	Naja-naja	CM019149.1	+	12889218	12899286	2	2	C2L32
group2600	Naja-naja	CM019149.1	+	12908550	12915299	2	2	C2L33
group2720	Naja-naja	CM019149.1	+	13140877	13160000	2	2	C2L34
group2010	Naja-naja	CM019149.1	+	13173207	13180000	2	2	C2L35
group3048	Naja-naja	CM019149.1	+	14581589	14598819	2	2	C2L36
group3089	Naja-naja	CM019149.1	+	14590192	14600000	2	2	C2L37
group2688	Naja-naja	CM019149.1	-	14666309	14670019	2	2	C2L38
group1765	Naja-naja	CM019149.1	-	14800003	14804264	2	2	C2L39
group2001	Naja-naja	CM019149.1	-	14882703	14900000	2	2	C2L40
group2053	Naja-naja	CM019149.1	+	14920002	14933126	2	2	C2L41
group1973	Naja-naja	CM019149.1	+	14980201	14985867	2	2	C2L42
group2112	Naja-naja	CM019149.1	+	15060143	15063425	2	2	C2L43
group1918	Naja-naja	CM019149.1	+	15940295	15952961	2	2	C2L44
group186	Naja-naja	CM019149.1	-	16165957	16179924	2	2	C2L45
group2681	Naja-naja	CM019149.1	-	17520497	17539892	2	2	C2L46
group2928	Naja-naja	CM019149.1	+	18066028	18067737	2	2	C2L47
group2922	Naja-naja	CM019149.1	-	18400003	18404956	2	2	C2L48
group1749	Naja-naja	CM019149.1	-	18560001	18571517	2	2	C2L49
group281	Naja-naja	CM019149.1	-	18703332	18716634	2	2	C2L50
group2162	Naja-naja	CM019149.1	+	18785924	18796714	2	2	C2L51
group1964	Naja-naja	CM019149.1	+	18976765	18980000	2	2	C2L52
group519	Naja-naja	CM019149.1	+	19340001	19347987	2	2	C2L53
group47	Naja-naja	CM019149.1	+	19900593	19916363	2	2	C2L54
group2098	Naja-naja	CM019149.1	+	19923084	19928014	2	2	C2L55
group1868	Naja-naja	CM019149.1	+	20007202	20020000	2	2	C2L56
group3034	Naja-naja	CM019149.1	-	20085964	20088475	2	2	C2L57
group2914	Naja-naja	CM019149.1	+	20200001	20205169	2	2	C2L58
group2815	Naja-naja	CM019149.1	-	21043964	21058463	2	2	C2L59
group285	Naja-naja	CM019149.1	-	21051859	21060000	2	2	C2L60
group622	Naja-naja	CM019149.1	+	21068966	21079999	2	2	C2L61
group2926	Naja-naja	CM019149.1	+	21300131	21315686	2	2	C2L62
group2046	Naja-naja	CM019149.1	-	21767134	21779825	2	2	C2L63
group2777	Naja-naja	CM019149.1	+	21960830	21978781	2	2	C2L64
group3080	Naja-naja	CM019149.1	+	23164950	23176228	2	2	C2L65
group2432	Naja-naja	CM019149.1	-	23485568	23500000	2	2	C2L66
group568	Naja-naja	CM019149.1	-	23780144	23791673	2	2	C2L67
group1751	Naja-naja	CM019149.1	-	23880001	23898272	2	2	C2L68
group2784	Naja-naja	CM019149.1	-	23913138	23916059	2	2	C2L69
group1956	Naja-naja	CM019149.1	-	23965816	23972285	2	2	C2L70
group2044	Naja-naja	CM019149.1	-	24740366	24748082	2	2	C2L71
group505	Naja-naja	CM019149.1	-	25700001	25718848	2	2	C2L72
group2416	Naja-naja	CM019149.1	-	25704445	25718848	2	2	C2L73
group2988	Naja-naja	CM019149.1	+	25868407	25873145	2	2	C2L74
group2792	Naja-naja	CM019149.1	+	25900001	25914559	2	2	C2L75
group2389	Naja-naja	CM019149.1	+	26064427	26073104	2	2	C2L76
group144	Naja-naja	CM019149.1	+	26363282	26374026	2	2	C2L77
group2654	Naja-naja	CM019149.1	+	26424506	26439981	2	2	C2L78
group2663	Naja-naja	CM019149.1	-	27467754	27477284	2	2	C2L79
group3028	Naja-naja	CM019149.1	+	28544109	28555646	2	2	C2L80
group2537	Naja-naja	CM019149.1	+	28560696	28580000	2	2	C2L81
group2250	Naja-naja	CM019149.1	-	29568844	29577199	2	2	C2L82
group143	Naja-naja	CM019149.1	+	31536650	31538697	2	2	C2L83
group2669	Naja-naja	CM019149.1	-	31800825	31814125	2	2	C2L84
group428	Naja-naja	CM019149.1	-	32420001	32427480	2	2	C2L85
group2563	Naja-naja	CM019149.1	+	34380328	34394884	2	2	C2L86
group2079	Naja-naja	CM019149.1	+	34401525	34413117	2	2	C2L87
group2584	Naja-naja	CM019149.1	+	34773398	34779562	2	2	C2L88
group1755	Naja-naja	CM019149.1	-	35874691	35880000	2	2	C2L89
group610	Naja-naja	CM019149.1	+	35981669	35999997	2	2	C2L90
group1811	Naja-naja	CM019149.1	+	36240002	36260000	2	2	C2L91
group3042	Naja-naja	CM019149.1	+	37067355	37078620	2	2	C2L92
group374	Naja-naja	CM019149.1	+	37100001	37118984	2	2	C2L93
group1786	Naja-naja	CM019149.1	+	37201790	37218358	2	2	C2L94
group1873	Naja-naja	CM019149.1	+	37426189	37439510	2	2	C2L95
group2335	Naja-naja	CM019149.1	+	37992461	3.8e+07	2	2	C2L96
group319	Naja-naja	CM019149.1	+	38642999	38657918	2	2	C2L97
group794	Naja-naja	CM019149.1	+	39620001	39638480	2	2	C2L98
group1067	Naja-naja	CM019149.1	+	46152613	46160000	2	2	C2L99
group2093	Naja-naja	CM019149.1	-	49424203	49427592	2	2	C2L100
group783	Naja-naja	CM019149.1	-	49589201	49600000	2	2	C2L101
group1132	Naja-naja	CM019149.1	-	49806159	49819639	2	2	C2L102
group682	Naja-naja	CM019149.1	+	49937460	49940000	2	2	C2L103
group990	Naja-naja	CM019149.1	+	50000001	50004490	2	2	C2L104
group1183	Naja-naja	CM019149.1	+	50083318	50099268	2	2	C2L105
group720	Naja-naja	CM019149.1	+	50101948	50117965	2	2	C2L106
group837	Naja-naja	CM019149.1	+	50240962	50259057	2	2	C2L107
group919	Naja-naja	CM019149.1	+	50502677	50506787	2	2	C2L108
group955	Naja-naja	CM019149.1	+	50600229	50608299	2	2	C2L109
group2948	Naja-naja	CM019149.1	+	60342892	60359605	2	2	C2L110
group2866	Naja-naja	CM019149.1	+	60435646	60439849	2	2	C2L111
group1549	Naja-naja	CM019149.1	+	60540061	60548360	2	2	C2L112
group1397	Naja-naja	CM019149.1	-	62283934	62296504	2	2	C2L113
group1072	Naja-naja	CM019149.1	+	66762882	66768344	2	2	C2L114
group1116	Naja-naja	CM019149.1	-	66865189	66866611	2	2	C2L115
group1582	Naja-naja	CM019149.1	+	72074017	72076108	2	2	C2L116
group343	Naja-naja	CM019149.1	-	72241050	72253199	2	2	C2L117
group1287	Naja-naja	CM019149.1	+	72892202	72900000	2	2	C2L118
group1241	Naja-naja	CM019149.1	-	75925438	75934823	2	2	C2L119
group592	Naja-naja	CM019149.1	-	80268359	80279398	2	2	C2L120
group2158	Naja-naja	CM019149.1	+	82900605	82919997	2	2	C2L121
group32	Naja-naja	CM019149.1	-	83240701	83258618	2	2	C2L122
group3006	Naja-naja	CM019149.1	+	85207450	85218082	2	2	C2L123
group1800	Naja-naja	CM019149.1	+	85227811	85234132	2	2	C2L124
group1616	Naja-naja	CM019149.1	-	85772344	85780000	2	2	C2L125
group1828	Naja-naja	CM019149.1	+	86415948	86420000	2	2	C2L126
group500	Naja-naja	CM019149.1	+	86887595	86897735	2	2	C2L127
group181	Naja-naja	CM019149.1	-	87500097	87505612	2	2	C2L128
group1583	Naja-naja	CM019149.1	+	87840001	87846837	2	2	C2L129
group1100	Naja-naja	CM019149.1	+	88764466	88771001	2	2	C2L130
group929	Naja-naja	CM019149.1	+	88846188	88847467	2	2	C2L131
group2081	Naja-naja	CM019149.1	+	88920989	88924706	2	2	C2L132
group1309	Naja-naja	CM019149.1	+	88960002	88969554	2	2	C2L133
group1216	Naja-naja	CM019149.1	+	89053715	89055598	2	2	C2L134
group677	Naja-naja	CM019149.1	-	89700001	89707292	2	2	C2L135
group1595	Naja-naja	CM019149.1	+	93394137	93395202	2	2	C2L136
group2829	Naja-naja	CM019149.1	-	95808908	95813119	2	2	C2L137
group1728	Naja-naja	CM019149.1	+	107026280	107040000	2	2	C2L138
group1264	Naja-naja	CM019149.1	+	108880001	108885709	2	2	C2L139
group1339	Naja-naja	CM019149.1	+	109360574	109366511	2	2	C2L140
group1222	Naja-naja	CM019149.1	+	112320539	112322327	2	2	C2L141
group2148	Naja-naja	CM019149.1	+	113551970	113558226	2	2	C2L142
group1840	Naja-naja	CM019149.1	+	121692057	121699473	2	2	C2L143
group2437	Naja-naja	CM019149.1	+	122600002	122607022	2	2	C2L144
group1724	Naja-naja	CM019149.1	-	123060001	123077758	2	2	C2L145
group1707	Naja-naja	CM019149.1	+	123823231	123825331	2	2	C2L146
group1709	Naja-naja	CM019149.1	+	125928771	125936216	2	2	C2L147
group2229	Naja-naja	CM019149.1	-	126480076	126484309	2	2	C2L148
group2090	Naja-naja	CM019149.1	+	127560411	127571923	2	2	C2L149
group1377	Naja-naja	CM019149.1	-	131444512	131453173	2	2	C2L150
group87	Naja-naja	CM019149.1	+	132466646	132479883	2	2	C2L151
group1055	Naja-naja	CM019149.1	+	134020001	134024788	2	2	C2L152
group333	Naja-naja	CM019149.1	+	134172514	134177523	2	2	C2L153
group294	Naja-naja	CM019149.1	-	134461838	134476004	2	2	C2L154
group130	Naja-naja	CM019149.1	-	136184152	136199677	2	2	C2L155
group442	Naja-naja	CM019149.1	+	136459201	136460000	2	2	C2L156
group2679	Naja-naja	CM019149.1	+	138402651	138409736	2	2	C2L157
group1631	Naja-naja	CM019149.1	+	138491542	138500000	2	2	C2L158
group2145	Naja-naja	CM019149.1	+	139961473	139975818	2	2	C2L159
group2957	Naja-naja	CM019149.1	+	140980084	140989823	2	2	C2L160
group26	Naja-naja	CM019149.1	-	142160002	142170810	2	2	C2L161
group1502	Naja-naja	CM019149.1	-	142766569	142769897	2	2	C2L162
group1608	Naja-naja	CM019149.1	-	145141439	145158003	2	2	C2L163
group2523	Naja-naja	CM019149.1	+	147927750	147939651	2	2	C2L164
group1087	Naja-naja	CM019149.1	-	148232006	148233735	2	2	C2L165
group1421	Naja-naja	CM019149.1	-	148542553	148544933	2	2	C2L166
group3051	Naja-naja	CM019149.1	-	148781190	148788473	2	2	C2L167
group1290	Naja-naja	CM019149.1	+	149177574	149180000	2	2	C2L168
group2585	Naja-naja	CM019149.1	+	149274136	149278018	2	2	C2L169
group1270	Naja-naja	CM019149.1	+	149992212	149999918	2	2	C2L170
group2116	Naja-naja	CM019149.1	+	150628056	150639999	2	2	C2L171
group440	Naja-naja	CM019149.1	+	150720001	150739814	2	2	C2L172
group312	Naja-naja	CM019149.1	+	151862628	151868834	2	2	C2L173
group1573	Naja-naja	CM019149.1	-	151991904	151993530	2	2	C2L174
group1854	Naja-naja	CM019149.1	-	152160025	152171053	2	2	C2L175
group1546	Naja-naja	CM019149.1	+	152751854	152759158	2	2	C2L176
group1090	Naja-naja	CM019149.1	-	153008250	153009965	2	2	C2L177
group2208	Naja-naja	CM019149.1	+	153060658	153075270	2	2	C2L178
group449	Naja-naja	CM019149.1	+	153101865	153119999	2	2	C2L179
group777	Naja-naja	CM019149.1	+	153146716	153159391	2	2	C2L180
group1850	Naja-naja	CM019149.1	-	153840355	153852031	2	2	C2L181
group3099	Naja-naja	CM019149.1	-	153867891	153880000	2	2	C2L182
group1978	Naja-naja	CM019149.1	-	155003967	155006861	2	2	C2L183
group148	Naja-naja	CM019149.1	-	157761194	157771367	2	2	C2L184
group429	Naja-naja	CM019149.1	-	158882233	158891123	2	2	C2L185
group1688	Naja-naja	CM019149.1	-	159820001	159835527	2	2	C2L186
group1689	Naja-naja	CM019149.1	-	160120001	160122267	2	2	C2L187
group1604	Naja-naja	CM019149.1	+	160640059	160648826	2	2	C2L188
group3005	Naja-naja	CM019149.1	+	160710552	160717766	2	2	C2L189
group302	Naja-naja	CM019149.1	-	160760001	160766434	2	2	C2L190
group1752	Naja-naja	CM019149.1	-	161755505	161759999	2	2	C2L191
group2113	Naja-naja	CM019149.1	-	161860001	161868889	2	2	C2L192
group1756	Naja-naja	CM019149.1	-	161926010	161929192	2	2	C2L193
group239	Naja-naja	CM019149.1	+	162347273	162352420	2	2	C2L194
group114	Naja-naja	CM019149.1	+	162410159	162419629	2	2	C2L195
group1627	Naja-naja	CM019149.1	-	164791161	164800000	2	2	C2L196
group1526	Naja-naja	CM019149.1	+	166976309	166979660	2	2	C2L197
group1525	Naja-naja	CM019149.1	+	167001942	167008515	2	2	C2L198
group2351	Naja-naja	CM019149.1	+	168340964	168354811	2	2	C2L199
group35	Naja-naja	CM019149.1	-	168820001	168822805	2	2	C2L200
group2200	Naja-naja	CM019149.1	-	168965653	168979718	2	2	C2L201
group1543	Naja-naja	CM019149.1	-	169010774	169012013	2	2	C2L202
group2366	Naja-naja	CM019149.1	+	169681562	169695617	2	2	C2L203
group2528	Naja-naja	CM019149.1	-	175525783	175531814	2	2	C2L204
group3008	Naja-naja	CM019149.1	-	175564316	175571361	2	2	C2L205
group1743	Naja-naja	CM019149.1	-	179520001	179531433	2	2	C2L206
group2750	Naja-naja	CM019149.1	+	181905231	181909491	2	2	C2L207
group585	Naja-naja	CM019149.1	-	182040002	182057128	2	2	C2L208
group240	Naja-naja	CM019149.1	+	182338073	182340000	2	2	C2L209
group2182	Naja-naja	CM019149.1	-	184763378	184772088	2	2	C2L210
group549	Naja-naja	CM019149.1	+	186860001	186864752	2	2	C2L211
group1509	Naja-naja	CM019149.1	+	186953874	186957692	2	2	C2L212
group1674	Naja-naja	CM019149.1	-	187300235	187307219	2	2	C2L213
group263	Naja-naja	CM019149.1	-	188124434	188137157	2	2	C2L214
group392	Naja-naja	CM019149.1	-	188652984	188658290	2	2	C2L215
group2820	Naja-naja	CM019149.1	+	189410700	189419802	2	2	C2L216
group1235	Naja-naja	CM019149.1	-	190267489	190269319	2	2	C2L217
group1672	Naja-naja	CM019149.1	-	192760379	192773538	2	2	C2L218
group466	Naja-naja	CM019149.1	+	193147488	193160000	2	2	C2L219
group1839	Naja-naja	CM019149.1	-	196460836	196473453	2	2	C2L220
group1519	Naja-naja	CM019149.1	-	196742753	196753171	2	2	C2L221
group1574	Naja-naja	CM019149.1	-	197467429	197480000	2	2	C2L222
group1673	Naja-naja	CM019149.1	-	197988355	197998628	2	2	C2L223
group547	Naja-naja	CM019149.1	-	199111932	199119926	2	2	C2L224
group184	Naja-naja	CM019149.1	-	199232278	199238374	2	2	C2L225
group2215	Naja-naja	CM019149.1	+	199924971	199931373	2	2	C2L226
group1439	Naja-naja	CM019149.1	+	202702657	202707597	2	2	C2L227
group1371	Naja-naja	CM019149.1	+	202705476	202711057	2	2	C2L228
group1578	Naja-naja	CM019149.1	+	205164308	205179228	2	2	C2L229
group1803	Naja-naja	CM019149.1	-	206381323	206399682	2	2	C2L230
group2003	Naja-naja	CM019149.1	-	206571202	206580000	2	2	C2L231
group1117	Naja-naja	CM019149.1	-	208775033	208780000	2	2	C2L232
group1108	Naja-naja	CM019149.1	-	208798965	208800000	2	2	C2L233
group522	Naja-naja	CM019149.1	-	208980025	208986853	2	2	C2L234
group2707	Naja-naja	CM019149.1	+	213720003	213740000	2	2	C2L235
group1802	Naja-naja	CM019149.1	+	214010215	214018797	2	2	C2L236
group414	Naja-naja	CM019149.1	-	215144469	215153495	2	2	C2L237
group1164	Naja-naja	CM019149.1	+	220823692	220825574	2	2	C2L238
group1702	Naja-naja	CM019149.1	-	221651466	221660000	2	2	C2L239
group1878	Naja-naja	CM019149.1	-	221993261	2.22e+08	2	2	C2L240
group1917	Naja-naja	CM019149.1	-	222020285	222038326	2	2	C2L241
group2566	Naja-naja	CM019149.1	+	222192393	222199996	2	2	C2L242
group2193	Naja-naja	CM019149.1	+	222743124	222752254	2	2	C2L243
group2172	Naja-naja	CM019149.1	+	223080001	223089878	2	2	C2L244
group1380	Naja-naja	CM019149.1	+	223880001	223884696	2	2	C2L245
group916	Naja-naja	CM019149.1	-	224000392	224007037	2	2	C2L246
group650	Naja-naja	CM019149.1	+	224120921	224132175	2	2	C2L247
group1081	Naja-naja	CM019149.1	+	224302383	224309470	2	2	C2L248
group1243	Naja-naja	CM019149.1	+	224560001	224566077	2	2	C2L249
group867	Naja-naja	CM019149.1	+	224561380	224567110	2	2	C2L250
group938	Naja-naja	CM019149.1	+	224726515	224737740	2	2	C2L251
group1310	Naja-naja	CM019149.1	+	224891341	224899131	2	2	C2L252
group1194	Naja-naja	CM019149.1	+	224998311	2.25e+08	2	2	C2L253
group1077	Naja-naja	CM019149.1	+	225501408	225520000	2	2	C2L254
group1465	Naja-naja	CM019149.1	+	225891666	225899995	2	2	C2L255
group1265	Naja-naja	CM019149.1	+	225903990	225911515	2	2	C2L256
group1882	Naja-naja	CM019149.1	+	231442740	231459404	2	2	C2L257
group866	Naja-naja	CM019149.1	-	231490169	231499998	2	2	C2L258
group1428	Naja-naja	CM019149.1	+	232820001	232824184	2	2	C2L259
group375	Naja-naja	CM019149.1	-	233582987	233590761	2	2	C2L260
group1357	Naja-naja	CM019149.1	+	235333490	235337581	2	2	C2L261
group1565	Naja-naja	CM019149.1	+	235820001	235824403	2	2	C2L262
group876	Naja-naja	CM019149.1	-	236612712	236619852	2	2	C2L263
group808	Naja-naja	CM019149.1	-	236726935	236730225	2	2	C2L264
group498	Naja-naja	CM019149.1	-	236730364	236737652	2	2	C2L265
group2055	Naja-naja	CM019149.1	+	237487738	237490641	2	2	C2L266
group1331	Naja-naja	CM019149.1	+	237620002	237625896	2	2	C2L267
group729	Naja-naja	CM019149.1	+	237997235	237999999	2	2	C2L268
group2092	Naja-naja	CM019149.1	+	238060001	238073357	2	2	C2L269
group662	Naja-naja	CM019149.1	+	238254659	238259657	2	2	C2L270
