locus	blockname	blockname_genespace
group1690	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1692	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1693	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1710	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1711	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1727	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1735	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1738	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1740	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1745	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1746	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1778	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1780	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1793	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1796	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1824	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1842	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1855	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1856	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1867	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1870	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1885	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1892	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1903	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1909	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1912	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1926	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1931	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1968	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1979	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1992	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2023	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2041	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2042	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2064	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2080	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2089	chr1block4	naja_thamnophis_naja_thamnophis_1_NW_022473609.1_1_1_0
group2099	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2105	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2108	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2134	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2141	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2150	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2164	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2166	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2174	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2190	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2206	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2210	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2219	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2240	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2245	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2255	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2271	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2284	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2300	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group2346	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2364	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group2415	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2420	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2427	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2434	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group2436	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2439	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2440	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group2441	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2443	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2456	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2459	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2466	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2479	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group2488	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2501	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2569	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2570	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2571	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2581	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2582	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2594	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2595	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group2596	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2604	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2609	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group2630	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2635	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2637	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2645	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2652	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2658	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group2676	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2716	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2735	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2751	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group2754	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2756	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2762	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group2771	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2808	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2818	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2838	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2841	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2855	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2880	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group2924	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2925	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2929	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2950	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2951	chr1block2	naja_thamnophis_naja_thamnophis_1_1_2_1_0
group2955	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2964	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2967	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group2974	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group2977	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group3039	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group3056	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group3086	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group19	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group26	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group27	chr2block7	naja_thamnophis_naja_thamnophis_2_3_1_2_0
group32	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group35	chr2block2	naja_thamnophis_naja_thamnophis_2_2_1_3_0
group44	chr2block4	naja_thamnophis_naja_thamnophis_2_3_1_3_0
group47	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group69	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group79	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group87	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group88	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group114	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group127	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group130	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group143	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group144	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group148	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group163	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group181	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group184	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group186	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group219	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group239	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group240	chr2block5	naja_thamnophis_naja_thamnophis_2_2_1_2_0
group263	chr2block5	naja_thamnophis_naja_thamnophis_2_2_1_2_0
group281	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group285	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group294	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group299	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group302	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group312	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group319	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group333	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group343	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group374	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group375	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group392	chr2block5	naja_thamnophis_naja_thamnophis_2_2_1_2_0
group414	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group428	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group429	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group434	chr2block4	naja_thamnophis_naja_thamnophis_2_3_1_3_0
group440	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group441	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group442	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group449	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group466	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group467	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group483	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group497	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group498	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group500	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group505	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group519	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group521	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group522	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group547	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group549	chr2block5	naja_thamnophis_naja_thamnophis_2_2_1_2_0
group568	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group579	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group580	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group585	chr2block5	naja_thamnophis_naja_thamnophis_2_2_1_2_0
group592	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group610	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group622	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group638	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group650	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group655	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group662	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group677	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group682	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group720	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group726	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group729	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group752	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group758	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group777	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group783	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group794	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group796	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group808	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group818	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group837	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group843	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group847	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group866	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group867	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group876	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group904	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group907	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group909	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group916	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group917	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group919	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group928	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group929	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group938	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group955	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group984	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group990	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group991	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1027	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1034	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1055	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1057	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1067	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1072	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1075	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1077	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1081	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1087	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1090	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1095	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1100	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1107	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1108	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1116	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1117	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1130	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1131	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1132	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1145	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1151	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1154	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1164	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1183	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1194	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1210	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1214	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1216	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1220	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1222	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1241	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1243	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1264	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1265	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1267	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1270	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1281	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1283	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1287	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1290	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1309	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1310	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1315	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1324	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1331	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1339	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1352	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1354	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1357	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1371	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1374	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1377	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1380	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1397	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1404	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1421	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1428	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1439	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1440	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1465	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1502	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1509	chr2block5	naja_thamnophis_naja_thamnophis_2_2_1_2_0
group1519	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1525	chr2block2	naja_thamnophis_naja_thamnophis_2_2_1_3_0
group1526	chr2block2	naja_thamnophis_naja_thamnophis_2_2_1_3_0
group1543	chr2block5	naja_thamnophis_naja_thamnophis_2_2_1_2_0
group1546	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1549	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1565	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1573	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1574	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1578	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1582	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1583	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1591	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1595	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1601	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1604	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1608	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1616	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1627	chr2block2	naja_thamnophis_naja_thamnophis_2_2_1_3_0
group1631	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1634	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1672	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1673	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1674	chr2block5	naja_thamnophis_naja_thamnophis_2_2_1_2_0
group1688	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1689	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1702	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1707	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1709	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1724	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1728	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1743	chr2block5	naja_thamnophis_naja_thamnophis_2_2_1_2_0
group1749	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1751	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1752	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1755	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1756	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1765	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1786	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1800	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1802	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1803	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1811	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1819	chr2block4	naja_thamnophis_naja_thamnophis_2_3_1_3_0
group1827	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1828	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1839	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1840	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1841	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1850	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1854	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1868	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1873	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1878	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1882	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1917	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1918	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1956	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1964	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1969	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group1973	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group1978	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2001	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2003	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group2008	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2010	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2044	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2046	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2053	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2055	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group2079	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2081	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2090	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2092	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group2093	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2098	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2112	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2113	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2116	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2145	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2148	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2158	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2162	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2172	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group2182	chr2block5	naja_thamnophis_naja_thamnophis_2_2_1_2_0
group2193	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group2200	chr2block5	naja_thamnophis_naja_thamnophis_2_2_1_2_0
group2208	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2215	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
group2229	chr2block6	naja_thamnophis_naja_thamnophis_2_2_1_4_0
group2239	chr2block3	naja_thamnophis_naja_thamnophis_2_3_1_1_0
