Thamnophis_sirtalis.locus	num.Species	CountCover	absolutePIS	percentPIS	mean.pident	pident.Thamnophis_sirtalis	pident.Anolis_carolinensis	pident.Gekko_japonicus	pident.Pogona_vitticeps	pident.Crotalus_horridus	pident.Crotalus_mitchellii	pident.Ophiophagus_hannah	pident.Pantherophis_guttatus	pident.Protobothrops_mucrosquamatus	pident.Python_bivittatus	pident.Vipera_berus	gene.name	locus.length.Thamnophis_sirtalis	mean.variable.sites	min.pident.all	min.pident.subgroup
NW_013657804.1:855796-856761	11	960	374	38.96	79.2	100	59	71.35	59.35	78.96	79.06	79.92	93.65	79.27	80.11	90.52	LOC106537671	965	0.21	59	78.96
NW_013658238.1:672097-672382	11	282	112	39.72	79.2	100	60.51	65.22	59.3	82.62	84.4	85.46	86.17	85.3	76.45	85.82	LOC106543638	285	0.21	59.3	76.45
NW_013658804.1:144964-147050	11	693	118	17.03	79.21	100	66.67	61.75	61.05	83.7	83.69	85.51	88	82.09	74.76	84.04	LOC106548272	2086	0.21	61.05	74.76
NW_013660171.1:115272-116408	11	1035	421	40.68	79.21	100	64.06	67.17	64.18	83.04	82.61	80.59	80	85.31	79.92	84.41	LOC106553994	1136	0.21	64.06	79.92
NW_013659381.1:73981-74672	11	681	105	15.42	79.22	100	58.5	62.96	69.09	81.86	79.91	88.26	86.74	82.28	80.47	81.36	MANSC4	691	0.21	58.5	79.91
NW_013657960.1:44730-44889	11	156	57	36.54	79.22	100	70.37	61.11	63.83	84.31	84.31	82.69	88.24	84.97	66.01	85.62	LOC106540343	159	0.21	61.11	66.01
NW_013658730.1:623-1756	11	1125	487	43.29	79.23	100	63.5	66.49	64.5	89.78	76.48	76.98	76.24	89.51	77.6	90.4	LOC106547775	1133	0.21	63.5	76.24
NW_013657762.1:1473215-1474749	11	1533	362	23.61	79.23	100	48.26	67.51	71.02	83.69	83.63	83.82	85.26	84.67	79.04	84.67	NPC1L1	1534	0.21	48.26	79.04
NW_013659973.1:88762-92409	11	1376	234	17.01	79.23	100	38.44	43.23	42.24	91.84	91.34	95.01	94.8	93.03	89.34	92.31	WNK3	3647	0.21	38.44	89.34
NW_013658704.1:364541-364724	11	162	44	27.16	79.24	100	64.81	75	60.19	87.65	87.65	90.74	86.11	87.04	65.74	66.67	LSS	183	0.21	60.19	65.74
NW_013659181.1:5971-6516	11	272	62	22.79	79.26	100	64.85	64.33	63.81	82.83	82.83	83.56	88.14	81.31	78.74	81.48	LRP10	545	0.21	63.81	78.74
NW_013658769.1:332904-333392	11	288	98	34.03	79.28	100	58.49	64.2	62.75	85.11	81.68	87.42	90.57	81.21	81.6	79.08	LOC106548077	488	0.21	58.49	79.08
NW_013657923.1:636325-636738	11	345	124	35.94	79.28	100	60.44	61.44	59.7	85.22	84.35	86.75	88.89	84.37	76.32	84.64	LOC106539744	413	0.21	59.7	76.32
NW_013659150.1:193979-195351	11	573	128	22.34	79.29	100	47.4	40.62	41.15	91.67	91.67	92.82	93.92	92.06	90.18	90.67	N4BP2L2	1372	0.21	40.62	90.18
NW_013658609.1:143657-145211	11	1551	605	39.01	79.29	100	65.57	66.8	62.8	83.68	81.82	82.38	81.19	85.11	78.21	84.66	LOC106546916	1554	0.21	62.8	78.21
NW_013657701.1:1023235-1023397	11	161	63	39.13	79.29	100	49.38	63.46	61.64	87.42	87.42	84.91	86.42	85.53	77.99	88.05	RSPH3	162	0.21	49.38	77.99
NW_013657890.1:375561-378725	11	928	91	9.81	79.3	100	54.94	58.11	41.27	88.63	86.84	92.58	92.75	89.05	81.08	87.06	IGFN1	3164	0.21	41.27	81.08
NW_013658427.1:347833-348033	11	201	52	25.87	79.3	100	60.47	74.67	59.65	81.09	82.09	84.02	90.55	80.6	75.62	83.58	KIF9	200	0.21	59.65	75.62
NW_013657756.1:220315-222222	11	564	156	27.66	79.31	100	66.67	70	69.74	80.32	80.32	81.88	84.42	80.14	79.28	79.61	GP1BA	1907	0.21	66.67	79.28
NW_013658220.1:638269-639292	11	1020	414	40.59	79.31	100	62.84	69.96	64.22	84.83	82.65	81.47	80.49	84.31	77.13	84.51	LOC106543492	1023	0.21	62.84	77.13
NW_013660938.1:51304-51615	11	312	82	26.28	79.31	100	58.49	66.67	56.32	85.9	84.94	85.9	87.72	85.58	76.92	83.97	TAF1D	311	0.21	56.32	76.92
NW_013658252.1:362656-363603	11	948	383	40.4	79.32	100	57.24	68.21	56.75	73.53	85.46	85.65	85.34	87.58	83.28	89.46	LOC106543780	947	0.21	56.75	73.53
NW_013657856.1:102780-103229	11	400	130	32.5	79.32	100	64.36	62.54	62.67	82.13	79.08	86.23	88.47	84	78.52	84.53	ANKRD65	449	0.21	62.54	78.52
NW_013658414.1:329851-331131	11	369	142	38.48	79.32	100	41.52	42.86	42.46	92.35	91.8	96.14	93.07	92.56	89.49	90.31	LOC106545250	1280	0.21	41.52	89.49
NW_013658799.1:106145-106344	11	189	66	34.92	79.32	100	67.21	64.78	67.2	80.27	80.27	87.3	87.83	80.27	82.42	75	LOC106548239	199	0.21	64.78	75
NW_013657719.1:1144813-1145076	11	264	80	30.3	79.33	100	71.43	63.57	64.81	79.31	82.74	82.58	85.23	80.46	80.86	81.61	LOC106546789	263	0.21	63.57	79.31
NW_013658662.1:95777-96364	11	342	118	34.5	79.33	100	70.16	71.47	65.05	79.65	80.25	82.49	82.34	83.49	74.11	83.65	LOC106547284	587	0.21	65.05	74.11
NW_013660057.1:38631-38944	11	279	109	39.07	79.33	100	58.42	70.41	71.68	78.26	67.03	88.53	92.11	86.02	80.65	79.57	LOC106553678	313	0.21	58.42	67.03
NW_013658157.1:266413-267287	11	873	155	17.75	79.34	100	46.01	53.07	50.28	87.97	87.69	92.55	94.04	87.86	87.6	85.63	LOC106542826	874	0.21	46.01	85.63
NW_013658451.1:556037-556873	11	660	196	29.7	79.34	100	63.75	63.04	63.47	82.42	83.03	87.42	88.03	81.41	78.05	82.12	LOC106545578	836	0.21	63.04	78.05
NW_013659521.1:34268-35083	11	699	193	27.61	79.35	100	39.02	68.22	67.41	81.82	80.97	88.41	87.75	87.55	84.02	87.7	LOC106551909	815	0.21	39.02	80.97
NW_013658113.1:601224-602183	11	939	397	42.28	79.35	100	63.08	66.67	65.71	80.3	80.4	81.15	94.04	80.4	80.72	80.4	LOC106542349	959	0.21	63.08	80.3
NW_013660850.1:60070-60258	11	183	56	30.6	79.36	100	64.34	62.5	67.95	81.97	82.51	84.15	85.79	82.51	77.58	83.61	LOC106555328	188	0.21	62.5	77.58
NW_013659333.1:35860-36148	11	286	103	36.01	79.37	100	63.08	66.29	62.17	84.81	81.94	85.77	82.29	85.77	79.49	81.4	LOC106551120	288	0.21	62.17	79.49
NW_013659112.1:274428-274659	11	231	58	25.11	79.38	100	64.39	66.67	71.57	74.83	77.52	86.67	90.26	76.89	81.48	82.86	PROSER2	231	0.21	64.39	74.83
NW_013658132.1:110826-111490	11	660	235	35.61	79.39	100	62.04	68.95	64.55	84.46	83.48	78.94	83.18	85.07	80.91	81.74	LOC106542569	664	0.21	62.04	78.94
NW_013659429.1:139028-139215	11	186	84	45.16	79.39	100	55.19	59.14	58.6	83.33	88.71	84.95	90.71	82.8	85.48	84.41	LOC106551537	187	0.21	55.19	82.8
NW_013657712.1:895618-900066	11	1384	189	13.66	79.4	100	66.2	32.78	38.84	89.88	91.49	92.72	92.31	92.53	86.2	90.4	CASC5	4448	0.21	32.78	86.2
NW_013661138.1:40446-40658	11	212	74	34.91	79.4	100	56.57	59.6	64.65	83.33	83.1	86.67	87.62	86.19	80	85.71	LOC106555777	212	0.21	56.57	80
NW_013657706.1:1998646-2000089	11	1437	377	26.24	79.41	100	52.59	66.77	56.7	84.95	86.48	86.78	85.62	86.32	83.58	83.66	LOC106543653	1443	0.21	52.59	83.58
NW_013658122.1:60806-61115	11	309	84	27.18	79.41	100	67.54	66.67	67.12	80.58	80.91	85.76	84.47	81.55	77.99	80.91	CECR1	309	0.21	66.67	77.99
NW_013658763.1:223286-223439	11	141	53	37.59	79.42	100	62.39	65.81	59.05	85.11	85.11	85.82	85.11	84	78.23	82.98	SHISA5	153	0.21	59.05	78.23
NW_013658649.1:453008-453128	11	117	47	40.17	79.42	100	69.23	60.19	62.96	81.98	82.88	89.74	88.29	81.08	74.36	82.91	LOC106547215	120	0.21	60.19	74.36
NW_013660970.1:50657-51364	11	336	132	39.29	79.42	100	61.27	59.67	62.31	83.67	84	82.34	87.71	84.67	77.46	90.56	TMEM186	707	0.21	59.67	77.46
NW_013657921.1:388523-388880	11	306	112	36.6	79.42	100	70.33	72.82	64.64	84.33	84.64	81.7	67.7	83.66	82.18	81.67	LOC106539702	357	0.21	64.64	67.7
NW_013659130.1:295679-297158	11	670	100	14.93	79.43	100	65.96	41.27	57.29	87.24	86.94	89.6	90.91	86.34	82.41	85.74	LOC106550127	1479	0.21	41.27	82.41
NW_013659012.1:143056-143574	11	396	152	38.38	79.44	100	66.4	62.1	68.01	83.46	82.15	87.67	90.1	82.94	82.58	68.49	LOC106549516	518	0.21	62.1	68.49
NW_013657785.1:1454991-1455215	11	150	58	38.67	79.45	100	66.67	67.48	70.73	79.33	80	86.93	88.89	80	74.56	79.33	LOC106557323	224	0.21	66.67	74.56
NW_013659388.1:239630-240003	11	372	111	29.84	79.45	100	63.83	59.72	70.56	83.06	82.8	88.6	85.19	82.67	77.15	80.38	SEMA7A	373	0.21	59.72	77.15
NW_013658270.1:594353-594476	11	123	47	38.21	79.45	100	69.11	69.11	68.29	77.24	77.24	87.8	85.37	78.86	79.67	81.3	LOC106543994	123	0.21	68.29	77.24
NW_013658750.1:91389-92118	11	378	116	30.69	79.47	100	67.25	42.7	66.67	85.19	85.45	86.24	88.1	85.98	82.11	84.53	SPG11	729	0.21	42.7	82.11
NW_013658380.1:508247-508875	11	336	74	22.02	79.48	100	48.53	72.14	52.38	87.5	87.5	89.8	82.57	85.71	83.33	84.82	LVRN	628	0.21	48.53	82.57
NW_013658214.1:27338-27838	11	355	82	23.1	79.48	100	69.75	71.37	69.95	80	80.17	88.19	85.03	78.99	72.46	78.41	LOC106543440	500	0.21	69.75	72.46
NW_013661223.1:44349-45475	11	1017	221	21.73	79.48	100	70.47	68.29	72.94	81.01	81.01	81.72	81.96	80.63	76.27	80.04	LOC106555891	1126	0.21	68.29	76.27
NW_013659084.1:159333-159518	11	108	29	26.85	79.49	100	76.47	46.3	76.47	79.63	79.63	87.04	91.11	75.68	78.7	83.33	LOC106549874	185	0.21	46.3	75.68
NW_013660017.1:115606-116037	11	415	107	25.78	79.49	100	61.17	73.08	64.24	76.12	75.82	88.79	83.33	86.49	77.06	88.27	LOC106553540	431	0.21	61.17	75.82
NW_013658719.1:179515-179722	11	207	72	34.78	79.49	100	68.6	71.98	71.98	71.01	71.01	94.69	95.65	69.57	89.86	70.05	LOC106547728	207	0.21	68.6	69.57
NW_013657710.1:567888-568590	11	519	94	18.11	79.49	100	62.37	63.98	67.78	83.43	82.47	85.21	88.15	83.24	74.73	83.04	LOC106544436	702	0.21	62.37	74.73
NW_013657982.1:983895-985382	11	636	132	20.75	79.49	100	42.04	44.71	46.3	90.88	91.35	94.18	94.18	91.51	87.19	92.05	CEP164	1487	0.21	42.04	87.19
NW_013658082.1:7443-7734	11	289	122	42.21	79.51	100	59.22	57.29	58.33	88.65	88.3	84.72	85.61	85.42	83.33	83.68	LOC106541947	291	0.2	57.29	83.33
NW_013659081.1:103824-104227	11	234	59	25.21	79.51	100	57.02	48.65	38.33	88.03	88.74	92.31	95.3	88.74	87.45	90.04	GNL2	403	0.2	38.33	87.45
NW_013657900.1:1102148-1102912	11	595	222	37.31	79.51	100	66.16	70.66	67.71	81.44	82.82	82.97	84.71	75.36	81.79	81.03	LOC106539354	764	0.2	66.16	75.36
NW_013657690.1:2129321-2130076	11	756	201	26.59	79.52	100	63.95	67	69.83	81.75	81.48	85.71	83.11	82.54	77.25	82.14	PTCHD3	755	0.2	63.95	77.25
NW_013660181.1:16313-16825	11	348	105	30.17	79.53	100	83.33	77.98	78.29	65.28	88.17	72.41	92.98	65.6	80.95	69.8	LOC106554014	512	0.2	65.28	65.28
NW_013657758.1:584806-585150	11	288	102	35.42	79.53	100	65.62	62.64	68.42	82.8	82.44	84.56	85.07	83.51	78.39	81.36	LOC106556777	344	0.2	62.64	78.39
NW_013659309.1:13743-14054	11	309	110	35.6	79.53	100	65.99	73.68	65.66	81.23	81.88	82.52	83.5	81.23	76.98	82.2	LOC106551004	311	0.2	65.66	76.98
NW_013661489.1:989-1898	11	711	170	23.91	79.54	100	63.08	68.4	67.38	80.42	80.59	86.23	86.5	81.86	78.88	81.58	LOC106556175	909	0.2	63.08	78.88
NW_013660010.1:145924-146853	11	930	389	41.83	79.54	100	56.58	74.43	58.25	84.48	83.61	85.28	83.93	83.23	82.42	82.73	LOC106553516	929	0.2	56.58	82.42
NW_013657898.1:23678-23872	11	192	63	32.81	79.55	100	77.6	80.73	72.92	91.67	75	74.48	78.65	75.52	73.44	75	LOC106539311	194	0.2	72.92	73.44
NW_013657857.1:346514-346647	11	132	53	40.15	79.55	100	68.22	68.22	73.64	67.44	68.22	93.18	92.42	67.44	85.61	90.7	LOC106538661	133	0.2	67.44	67.44
NW_013658516.1:212838-213034	11	195	72	36.92	79.56	100	60.38	58.97	62.75	79.17	80.51	90.26	87.18	90.77	86.15	78.97	LOC106546132	196	0.2	58.97	78.97
NW_013657885.1:1089211-1089764	11	410	73	17.8	79.56	100	72.46	64.63	65.15	79.58	79.17	85.51	88.33	82.63	75.19	82.56	BORA	553	0.2	64.63	75.19
NW_013660085.1:27649-27825	11	176	48	27.27	79.57	100	63.33	74.44	71.11	79.89	79.31	86.21	87.93	80.23	75.82	77.01	LOC106553773	176	0.2	63.33	75.82
NW_013657810.1:739131-739441	11	181	69	38.12	79.57	100	45.69	49.64	43.28	92.22	91.53	91.11	93.89	92.66	83.05	92.22	LOC106537793	310	0.2	43.28	83.05
NW_013658610.1:34674-34835	11	159	62	38.99	79.58	100	70.44	67.3	69.18	84.03	81.41	83.95	75.56	81.41	76.73	85.33	LOC106546921	161	0.2	67.3	75.56
NW_013658610.1:59830-59991	11	159	62	38.99	79.58	100	70.44	67.3	69.18	84.03	81.41	83.95	75.56	81.41	76.73	85.33	LOC106546925	161	0.2	67.3	75.56
NW_013660447.1:70513-70740	11	228	79	34.65	79.58	100	64.04	63.16	38.54	87.28	84.65	90.35	92.11	88.6	78.51	88.16	LOC106554644	227	0.2	38.54	78.51
NW_013658151.1:3671-4620	11	945	421	44.55	79.58	100	64.02	56.61	61.09	84.94	84.02	87.62	85.11	86.46	80.91	84.62	LOC106542761	949	0.2	56.61	80.91
NW_013660310.1:56204-56959	11	279	80	28.67	79.59	100	68.1	53.15	65.42	82.8	82.8	87.1	91.49	82.25	80.65	81.74	LOC106554337	755	0.2	53.15	80.65
NW_013660750.1:68130-69746	11	1182	251	21.24	79.6	100	40.8	44.06	40.99	92.47	92.48	94.62	94.92	92.81	90.13	92.3	LOC106555171	1616	0.2	40.8	90.13
NW_013657941.1:351831-352668	11	357	141	39.5	79.61	100	40.93	39.53	42.33	93.19	92.94	94.68	94.4	94.68	89.27	93.79	CFAP97	837	0.2	39.53	89.27
NW_013657804.1:1146273-1147208	11	936	368	39.32	79.63	100	68.51	68.97	71.38	65.86	65.74	67.82	94.44	92.84	88.28	92.09	LOC106537690	935	0.2	65.74	65.74
NW_013658352.1:22773-22909	11	135	54	40	79.63	100	63.7	68.15	59.26	85.93	65.93	84.09	91.11	87.41	80.74	89.63	LOC106544713	136	0.2	59.26	65.93
NW_013658080.1:218052-219734	11	1113	270	24.26	79.64	100	64.65	68.65	33.06	87.45	86.87	89.05	92	88.48	80.28	85.53	SH3TC1	1682	0.2	33.06	80.28
NW_013659528.1:209889-210063	11	174	53	30.46	79.64	100	60.9	63.52	66.06	83.03	82.42	88.51	90.23	81.82	81.61	77.98	IL7R	174	0.2	60.9	77.98
NW_013658431.1:509230-509604	11	357	110	30.81	79.65	100	67.54	64.35	67.23	78.99	80.67	85.71	90.48	80.39	80.67	80.11	LOC106545416	374	0.2	64.35	78.99
NW_013659473.1:104625-104833	11	204	90	44.12	79.66	100	59.38	56.22	58.21	89.22	84.06	89.37	88.89	89.22	76.62	85.07	LOC106551719	208	0.2	56.22	76.62
NW_013658796.1:9771-11604	11	657	152	23.14	79.67	100	34.1	72.75	71.77	85.17	85.33	91.71	93.86	84.17	73	84.47	LOC106548215	1833	0.2	34.1	73
NW_013658119.1:567960-568106	11	144	58	40.28	79.67	100	66.67	66.67	74.31	78.47	79.17	86.81	91.67	77.78	79.86	75	LOC106542395	146	0.2	66.67	75
NW_013659777.1:13562-14520	11	957	259	27.06	79.67	100	63.29	59.12	60.71	84.85	84.85	86.67	88.92	84.74	80.39	82.86	LOC106552807	958	0.2	59.12	80.39
NW_013658607.1:295920-297528	11	552	106	19.2	79.68	100	40.91	67.44	69.93	85.87	86.59	88.56	88.26	86.59	76.81	85.51	LOC106546909	1608	0.2	40.91	76.81
NW_013658829.1:293605-294462	11	858	288	33.57	79.68	100	57.04	68.02	56.83	83.33	83.45	83.92	91.22	84.03	85.08	83.57	LOC106548425	857	0.2	56.83	83.33
NW_013661222.1:13104-13456	11	339	119	35.1	79.68	100	66.37	60.61	63.66	84.07	83.78	86.21	87.88	81.42	80.53	82.01	LOC106555890	352	0.2	60.61	80.53
NW_013658131.1:194706-194878	11	171	71	41.52	79.69	100	64.33	59.06	63.16	83.63	86.55	85.96	87.1	85.38	75.44	85.96	LOC106542555	172	0.2	59.06	75.44
NW_013657731.1:822906-823053	11	132	49	37.12	79.69	100	60.61	64.49	68.22	83.33	76	87.88	86.81	85	81.67	82.58	LOC106549574	147	0.2	60.61	76
NW_013658190.1:681298-681494	11	195	69	35.38	79.69	100	62.84	62.05	59.38	84.35	84.9	86.67	87.18	83.08	82.05	84.1	LOC106543180	196	0.2	59.38	82.05
NW_013659093.1:147725-147967	11	240	95	39.58	79.7	100	68.33	67.51	65.82	76.25	83.75	78.33	81.67	85.42	84.58	85	LOC106549942	242	0.2	65.82	76.25
NW_013658549.1:435706-435981	11	273	94	34.43	79.7	100	68.15	62.59	64.47	83.33	84.44	81.32	84.98	85.93	81.32	80.22	LOC106546432	275	0.2	62.59	80.22
NW_013658504.1:673-1866	11	1122	238	21.21	79.71	100	44.09	67.91	68.85	85.65	85.47	86.22	87.7	85.65	81.85	83.39	LOC106546029	1193	0.2	44.09	81.85
NW_013659527.1:186410-187036	11	624	169	27.08	79.71	100	71.58	68.42	72.09	79.17	79.17	84.62	86.86	79.01	76.28	79.65	LOC106551935	626	0.2	68.42	76.28
NW_013661808.1:4169-4325	11	156	47	30.13	79.73	100	69.23	69.87	68.59	82.05	83.33	78.21	84.62	82.69	77.12	81.33	EPHB4	156	0.2	68.59	77.12
NW_013658679.1:423170-423465	11	180	65	36.11	79.73	100	65	71.53	65.56	81.67	81.67	83.33	85.56	84.44	77.22	81.11	LOC106547408	295	0.2	65	77.22
NW_013659646.1:178733-179530	11	681	253	37.15	79.74	100	68.13	69.9	67.31	92.44	93.75	68.05	93.98	67.53	88.67	67.36	LOC106552417	797	0.2	67.31	67.36
NW_013659661.1:107857-108947	11	633	168	26.54	79.74	100	60.19	63.06	57.05	85.81	84.81	88.32	89.28	84.52	81.99	82.16	RECQL4	1090	0.2	57.05	81.99
NW_013658364.1:25051-25575	11	444	98	22.07	79.74	100	60.51	55.68	61.32	83.33	84.81	88.59	89.44	84.17	85.19	84.15	LOC106544817	524	0.2	55.68	83.33
NW_013657711.1:403979-404254	11	267	113	42.32	79.74	100	66.29	67.79	64.42	80.68	82.95	82.56	91.3	80.15	82.4	78.65	LOC106544549	275	0.2	64.42	78.65
NW_013661015.1:29185-29764	11	576	148	25.69	79.74	100	56.46	64.24	63.22	75.74	85	90.8	89.81	83.45	83.5	84.98	LOC106555605	579	0.2	56.46	75.74
NW_013660080.1:125743-125970	11	228	75	32.89	79.75	100	64.04	68.44	67.11	83.33	83.33	81.14	81.58	83.33	81.14	83.77	LOC106553753	227	0.2	64.04	81.14
NW_013659782.1:109934-110865	11	930	365	39.25	79.75	100	72.15	73.01	70.87	89.32	89.32	69.46	68.17	67.74	87.53	89.64	LOC106552821	931	0.2	67.74	67.74
NW_013658294.1:655201-655512	11	255	87	34.12	79.75	100	61.43	57.14	62.25	85.6	86.01	84.54	91.06	88.07	76.47	84.71	LOC106544218	311	0.2	57.14	76.47
NW_013657732.1:855-1143	11	285	87	30.53	79.75	100	70.21	71.93	70.57	80	80.35	81.05	81.05	80	81.75	80.35	LOC106549684	288	0.2	70.21	80
NW_013657892.1:750300-750473	11	174	62	35.63	79.76	100	66.08	67.24	68.45	79.31	79.31	81.03	94.55	78.74	83.33	79.31	LOC106539233	173	0.2	66.08	78.74
NW_013657839.1:987612-988512	11	879	348	39.59	79.76	100	70.18	69.11	69.42	78.74	78.27	79.64	79.41	93.67	80.34	78.62	LOC106538334	900	0.2	69.11	78.27
NW_013659177.1:39779-39973	11	181	38	20.99	79.77	100	68.15	38.12	72.41	78.49	88.41	90.78	91.11	86.23	82.96	80.75	ATP13A4	194	0.2	38.12	78.49
NW_013658659.1:339665-339799	11	132	41	31.06	79.77	100	33.06	71.21	65.91	87.12	86.36	86.82	89.39	87.88	84.85	84.85	PLA2G3	134	0.2	33.06	84.85
NW_013659407.1:27736-27923	11	186	50	26.88	79.78	100	54.95	55.56	59.6	86.56	86.02	89.25	91.94	87.1	81.08	85.48	CDHR5	187	0.2	54.95	81.08
NW_013660618.1:49389-50034	11	423	109	25.77	79.78	100	58.49	61.16	38.49	87.47	88.65	89.61	91.15	89.86	84.5	88.16	PSRC1	645	0.2	38.49	84.5
NW_013658960.1:131174-132114	11	591	211	35.7	79.79	100	45.1	38.08	43.92	93.57	93.57	96.62	96.28	93.91	82.91	93.74	RHOBTB1	940	0.2	38.08	82.91
NW_013658777.1:31872-32050	11	177	64	36.16	79.79	100	63.03	69.49	69.49	79.1	79.1	84.75	87.01	81.36	81.92	82.49	LOC106548111	178	0.2	63.03	79.1
NW_013657788.1:5565-5830	11	261	77	29.5	79.79	100	68.52	64.81	67.42	81.99	81.61	85.23	83.52	82.76	78.93	82.95	LOC106557354	265	0.2	64.81	78.93
NW_013658487.1:88309-88480	11	167	64	38.32	79.8	100	67.9	60.38	66.07	81.82	81.82	84.24	89.7	82.42	79.76	83.64	LOC106545859	171	0.2	60.38	79.76
NW_013658364.1:294421-294566	11	144	43	29.86	79.8	100	41.67	70.14	73.61	81.25	81.25	88.19	90.28	82.64	86.81	81.94	LOC106544831	145	0.2	41.67	81.25
NW_013658279.1:184668-185159	11	492	179	36.38	79.8	100	66.26	67.28	64.02	83.13	83.13	86.59	85.11	83.54	75.2	83.54	LOC106544054	491	0.2	64.02	75.2
NW_013658690.1:430263-430456	11	150	48	32	79.81	100	68	65.28	70.83	82.98	82.98	84.4	83.04	81.63	78.99	79.74	SLC5A8	193	0.2	65.28	78.99
NW_013658717.1:314215-315171	11	939	168	17.89	79.81	100	33.7	66.77	43.52	91.23	91.45	91.06	91.83	91.89	85.07	91.45	LOC106547704	956	0.2	33.7	85.07
NW_013658787.1:63375-63632	11	156	55	35.26	79.82	100	73.33	69.87	52.38	82	82	79.84	88.89	82.67	82.67	84.4	LOC106548174	257	0.2	52.38	79.84
NW_013659464.1:132342-132545	11	186	73	39.25	79.82	100	57.22	57.22	68.33	84.41	84.95	86.87	89.39	85.48	79.23	84.95	LOC106551689	203	0.2	57.22	79.23
NW_013658016.1:389253-390431	11	360	133	36.94	79.83	100	54.72	55.65	59.67	87.78	88.06	89.44	89.44	87.78	78.33	87.22	LOC106541102	1178	0.2	54.72	78.33
NW_013659402.1:51690-52201	11	441	137	31.07	79.83	100	67.88	61.4	66.67	85.03	84.58	84.13	85.71	84.25	76.32	82.16	LOC106551428	511	0.2	61.4	76.32
NW_013659255.1:48598-49216	11	617	77	12.48	79.83	100	77.24	36.96	39.13	89.3	88.69	91.39	92.59	88.79	86.29	87.8	LOC106550738	618	0.2	36.96	86.29
NW_013657753.1:25712-26439	11	417	148	35.49	79.84	100	40.93	40.08	40.08	93.67	93.43	96.16	96.14	93.76	91.37	92.57	TBC1D30	727	0.2	40.08	91.37
NW_013658016.1:393332-393669	11	333	105	31.53	79.84	100	60.82	59.72	63.49	85.89	85.59	88.89	88.69	85.59	73.94	85.59	WDR87	337	0.2	59.72	73.94
NW_013657900.1:1117364-1118049	11	681	259	38.03	79.84	100	61.97	69.46	65.2	82.97	83.41	83.11	84.97	83.85	78.85	84.43	LOC106539367	685	0.2	61.97	78.85
NW_013658012.1:5599-5990	11	363	139	38.29	79.84	100	54.37	56.47	67.26	85.64	85.36	88.52	90.51	84.72	80.34	85.03	LOC106541010	391	0.2	54.37	80.34
NW_013658627.1:159028-159187	11	138	51	36.96	79.84	100	68.12	67.39	70.29	81.88	81.88	83.33	85.51	80.43	76.81	82.58	LOC106547042	159	0.2	67.39	76.81
NW_013657758.1:1271131-1272066	11	928	281	30.28	79.84	100	50.41	73.46	54.37	88.36	86.05	91.3	91.04	88.32	67.42	87.54	LOC106556750	935	0.2	50.41	67.42
NW_013657733.1:231243-231374	11	129	43	33.33	79.85	100	70.83	69.05	67.46	85.96	87.72	80.62	86.82	77.52	74.8	77.52	LOC106549883	131	0.2	67.46	74.8
NW_013659361.1:41389-41681	11	282	121	42.91	79.85	100	64.49	62.27	64.13	86.43	86.88	86.6	82.98	86.88	73.26	84.4	LOC106551241	292	0.2	62.27	73.26
NW_013659091.1:291756-291969	11	192	80	41.67	79.85	100	59.79	67.71	60.94	82.29	82.49	89.25	90.1	85.94	78.65	81.25	TEP1	213	0.2	59.79	78.65
NW_013659904.1:25494-25629	11	135	53	39.26	79.87	100	62.96	64.44	65.93	83.7	82.96	85.19	85.93	82.96	80.74	83.7	SMC6	135	0.2	62.96	80.74
NW_013658075.1:480645-482504	11	546	130	23.81	79.87	100	49.06	48.84	49.51	90.11	90.29	92.22	92.86	90.11	85.08	90.48	LRRFIP1	1859	0.2	48.84	85.08
NW_013658347.1:195623-195976	11	351	116	33.05	79.87	100	64.13	66.03	63.82	83.76	83.19	86.04	86.04	84.05	79.77	81.77	CD47	353	0.2	63.82	79.77
NW_013658618.1:321758-321956	11	198	81	40.91	79.88	100	60.11	77.78	60.11	80.3	81.31	87.1	89.78	79.8	82.56	79.8	LOC106546983	198	0.2	60.11	79.8
NW_013660623.1:68327-68809	11	315	96	30.48	79.88	100	66.67	68.86	66.67	82.22	82.22	86.67	88	83.17	73.6	80.63	LOC106554948	482	0.2	66.67	73.6
NW_013659906.1:78962-79795	11	834	163	19.54	79.89	100	62.5	57	67.98	85.73	80.22	89.58	89.68	85.61	74.6	85.85	LOC106553217	833	0.2	57	74.6
NW_013660038.1:103979-104788	11	678	164	24.19	79.89	100	64.27	61.02	63.74	84.04	83.57	84.58	88.44	83.9	81.8	83.41	LOC106553623	809	0.2	61.02	81.8
NW_013659150.1:261552-266108	11	1402	160	11.41	79.89	100	43.95	44.1	67.22	89.33	88.52	90.12	93.29	89.93	82.71	89.64	BRCA2	4556	0.2	43.95	82.71
NW_013658160.1:587161-588593	11	765	144	18.82	79.91	100	39.03	52.56	74.57	87.45	87.45	89.18	90.16	87.19	84.97	86.41	CCPG1	1432	0.2	39.03	84.97
NW_013657918.1:662790-662975	11	186	77	41.4	79.91	100	65.05	65.05	62.9	81.72	82.8	87.1	88.71	82.26	79.03	84.41	LOC106539643	185	0.2	62.9	79.03
NW_013658365.1:584792-585538	11	690	278	40.29	79.93	100	62.84	64.81	67.01	86.07	85.48	85.65	91.45	85.19	74.78	75.89	LOC106544843	746	0.2	62.84	74.78
