,,%Identity,,,,,,,,,
QLTV01001483.1:4727669-4728649,LFLD01096885.1,88.571,35,3,1,482,515,758,792,0.14,42.8
QLTV01001483.1:4727669-4728649,LFLD01095500.1,100,23,0,0,482,504,2988,2966,0.14,42.8
QLTV01001483.1:4727669-4728649,LFLD01055305.1,100,23,0,0,482,504,21134,21156,0.14,42.8
QLTV01001483.1:4727669-4728649,LFLD01035173.1,100,23,0,0,482,504,7121,7143,0.14,42.8
QLTV01001483.1:4727669-4728649,LFLD01023964.1,87.879,33,4,0,571,603,104,72,0.14,42.8
QLTV01001483.1:488655-489569,LFLD01103464.1,83.794,543,36,9,382,913,11641,12142,4.48E-166,590
QLTV01001483.1:488655-489569,LFLD01103464.1,93.233,399,17,7,1,391,10706,11102,2.83E-162,576
QLTV01001483.1:488655-489569,LFLD01081415.1,78.947,76,15,1,394,468,553,478,1.47E-07,62.6
QLTV01001483.1:488655-489569,LFLD01065383.1,75,104,21,3,394,497,1662,1760,1.47E-07,62.6
QLTV01001483.1:488655-489569,LFLD01070903.1,74.194,93,23,1,196,288,1916,1825,6.27E-06,57.2
QLTV01001483.1:488655-489569,LFLD01034977.1,73.684,95,14,3,394,482,8827,8916,2.19E-05,56.3
QLTV01001483.1:488655-489569,LFLD01032238.1,74.757,103,17,5,194,291,8418,8320,2.19E-05,55.4
QLTV01001483.1:488655-489569,LFLD01011696.1,84,50,8,0,450,499,1411,1362,2.19E-05,55.4
QLTV01001483.1:488655-489569,LFLD01034106.1,73.077,104,23,3,196,295,21754,21856,7.64E-05,53.6
QLTV01001483.1:488655-489569,LFLD01083595.1,70.229,131,29,4,394,519,11927,11802,2.67E-04,52.7
QLTV01001483.1:488655-489569,LFLD01175047.1,80.769,52,10,0,450,501,835,784,0.001,50
QLTV01001572.1:38474-39377,LFLD01042301.1,86.765,952,71,15,1,904,8396,7452,0,1131
QLTV01001572.1:38474-39377,LFLD01010704.1,94.872,39,1,1,733,770,8938,8900,1.80E-06,59
QLTV01001572.1:38474-39377,LFLD01008339.1,90.909,33,3,0,738,770,3816,3784,0.011,47.3
QLTV01001572.1:38474-39377,LFLD01073789.1,88.571,35,4,0,739,773,5927,5961,0.011,46.4
QLTV01001572.1:38474-39377,LFLD01116380.1,88.889,36,2,1,735,768,15209,15244,0.04,45.5
QLTV01001572.1:38474-39377,LFLD01142743.1,88.235,34,4,0,736,769,3174,3207,0.04,44.6
QLTV01001572.1:38474-39377,LFLD01075615.1,80.392,51,9,1,723,773,529,480,0.04,44.6
QLTV01001572.1:38474-39377,LFLD01129355.1,80,50,8,1,723,770,6798,6847,0.14,43.7
QLTV01001572.1:38474-39377,LFLD01166274.1,92.857,28,2,0,167,194,657,684,0.14,42.8
QLTV01001572.1:38474-39377,LFLD01164525.1,93.333,30,1,1,831,859,8046,8017,0.14,42.8
QLTV01001572.1:38474-39397,LFLD01042301.1,86.934,972,72,15,1,924,8396,7432,0,1163
QLTV01001572.1:38474-39397,LFLD01010704.1,94.872,39,1,1,733,770,8938,8900,1.80E-06,59
QLTV01001572.1:38474-39397,LFLD01008339.1,90.909,33,3,0,738,770,3816,3784,0.011,47.3
QLTV01001572.1:38474-39397,LFLD01073789.1,88.571,35,4,0,739,773,5927,5961,0.011,46.4
QLTV01001572.1:38474-39397,LFLD01116380.1,88.889,36,2,1,735,768,15209,15244,0.04,45.5
QLTV01001572.1:38474-39397,LFLD01023422.1,96.552,29,0,1,895,923,12706,12679,0.04,45.5
QLTV01001572.1:38474-39397,LFLD01142743.1,88.235,34,4,0,736,769,3174,3207,0.04,44.6
QLTV01001572.1:38474-39397,LFLD01075615.1,80.392,51,9,1,723,773,529,480,0.04,44.6
QLTV01001572.1:38474-39397,LFLD01129355.1,80,50,8,1,723,770,6798,6847,0.14,43.7
QLTV01001572.1:38474-39397,LFLD01166274.1,92.857,28,2,0,167,194,657,684,0.14,42.8
QLTV01001588.1:62096-63035,LFLD01015379.1,73.795,477,56,9,60,534,2237,1828,1.21E-84,319
QLTV01001588.1:62096-63035,LFLD01015379.1,76.596,376,46,11,599,940,1826,1459,5.48E-70,270
QLTV01001588.1:62096-63035,LFLD01015380.1,82.353,272,18,1,1,272,1355,1114,3.94E-78,297
QLTV01001588.1:62096-63035,LFLD01167750.1,83.333,48,6,2,180,226,7889,7843,0.04,44.6
QLTV01001588.1:62096-63035,LFLD01128318.1,83.333,42,4,1,11,49,4394,4353,0.14,43.7
QLTV01001588.1:62096-63035,LFLD01165697.1,92.593,27,2,0,860,886,459,485,0.48,41
QLTV01001588.1:62096-63035,LFLD01074643.1,100,22,0,0,6,27,7558,7537,0.48,41
QLTV01001588.1:62096-63035,LFLD01050536.1,90.323,31,1,1,746,776,12391,12419,0.48,41
QLTV01001588.1:62096-63035,LFLD01030937.1,84.615,39,5,1,638,676,4178,4141,0.48,41
QLTV01001588.1:62096-63035,LFLD01009462.1,92.593,27,2,0,752,778,3428,3402,0.48,41
QLTV01001588.1:62096-63035,LFLD01121534.1,89.655,29,3,0,198,226,2155,2183,1.7,40.1
QLTV01001684.1:1805699-1806603,LFLD01085536.1,93.304,911,49,7,1,905,3948,4852,0,1348
QLTV01001684.1:1805699-1806603,LFLD01164536.1,92.105,38,1,2,140,176,8741,8705,0.003,49.1
QLTV01001684.1:1805699-1806603,LFLD01066895.1,93.548,31,1,1,148,178,64561,64532,0.04,44.6
QLTV01001684.1:1805699-1806603,LFLD01111268.1,93.333,30,1,1,147,176,2984,3012,0.14,42.8
QLTV01001684.1:1805699-1806603,LFLD01054983.1,87.879,33,4,0,497,529,3175,3207,0.14,42.8
QLTV01001684.1:1805699-1806603,LFLD01066064.1,81.395,43,5,1,625,667,1190,1151,0.48,41
QLTV01001684.1:1805699-1806603,LFLD01152716.1,95.833,24,1,0,233,256,2492,2469,1.7,40.1
QLTV01001684.1:1805699-1806603,LFLD01130012.1,95.833,24,1,0,313,336,11640,11663,1.7,40.1
QLTV01001684.1:1805699-1806603,LFLD01112520.1,85.294,34,5,0,32,65,1088,1121,1.7,40.1
QLTV01001684.1:1805699-1806603,LFLD01108866.1,89.655,29,3,0,87,115,637,609,1.7,40.1
QLTV01001684.1:4341042-4341956,LFLD01005943.1,89.989,909,61,10,1,905,51115,51997,0,1212
QLTV01001684.1:4341042-4341956,LFLD01021477.1,79.73,74,12,3,510,581,14443,14515,2.19E-05,56.3
QLTV01001684.1:4341042-4341956,LFLD01000499.1,72.897,107,22,3,57,163,26215,26314,2.19E-05,56.3
QLTV01001684.1:4341042-4341956,LFLD01075856.1,86.364,44,6,0,525,568,4207,4164,7.64E-05,53.6
QLTV01001684.1:4341042-4341956,LFLD01168694.1,72.115,104,26,2,68,169,7522,7420,2.67E-04,51.8
QLTV01001684.1:4341042-4341956,LFLD01143710.1,91.176,34,3,0,797,830,32833,32800,0.003,49.1
QLTV01001684.1:4341042-4341956,LFLD01155713.1,85,40,6,0,527,566,573,612,0.011,46.4
QLTV01001684.1:4341042-4341956,LFLD01029314.1,93.333,30,2,0,539,568,5284,5313,0.011,46.4
QLTV01001684.1:4341042-4341956,LFLD01134286.1,86.486,37,5,0,525,561,1074,1038,0.04,45.5
QLTV01001684.1:4341042-4341956,LFLD01094567.1,80.851,47,9,0,22,68,2924,2878,0.04,45.5
QLTV01001698.1:15465613-15466556,LFLD01149787.1,96.429,28,1,0,479,506,2801,2828,0.011,47.3
QLTV01001698.1:15465613-15466556,LFLD01031147.1,78.333,60,7,2,265,324,10528,10581,0.011,47.3
QLTV01001698.1:15465613-15466556,LFLD01067932.1,88.571,35,4,0,857,891,8795,8829,0.011,46.4
QLTV01001698.1:15465613-15466556,LFLD01045688.1,96.296,27,1,0,481,507,3272,3298,0.04,45.5
QLTV01001698.1:15465613-15466556,LFLD01135729.1,90.323,31,3,0,85,115,55452,55482,0.14,43.7
QLTV01001698.1:15465613-15466556,LFLD01122868.1,82.927,41,7,0,860,900,2300,2260,0.14,43.7
QLTV01001698.1:15465613-15466556,LFLD01065574.1,90.323,31,3,0,421,451,3809,3839,0.14,43.7
QLTV01001698.1:15465613-15466556,LFLD01109011.1,100,23,0,0,481,503,5698,5720,0.14,42.8
QLTV01001698.1:15465613-15466556,LFLD01091555.1,100,23,0,0,480,502,2824,2846,0.14,42.8
QLTV01001698.1:15465613-15466556,LFLD01029941.1,87.879,33,4,0,478,510,4954,4986,0.14,42.8
QLTV01001698.1:2116151-2117061,LFLD01055785.1,89.774,929,51,12,1,911,12432,11530,0,1233
QLTV01001698.1:2116151-2117061,LFLD01059537.1,83.721,86,11,3,2,85,6591,6507,1.57E-13,82.4
QLTV01001698.1:2116151-2117061,LFLD01004584.1,81.707,82,14,1,5,85,10549,10630,6.69E-12,77.9
QLTV01001698.1:2116151-2117061,LFLD01118503.1,82.5,80,12,2,6,84,1264,1342,2.34E-11,75.2
QLTV01001698.1:2116151-2117061,LFLD01092593.1,77,100,22,1,1,99,11967,12066,8.15E-11,74.3
QLTV01001698.1:2116151-2117061,LFLD01163306.1,83.562,73,10,2,15,86,358,429,2.85E-10,71.6
QLTV01001698.1:2116151-2117061,LFLD01086621.1,81.579,76,13,1,5,79,4180,4255,2.85E-10,71.6
QLTV01001698.1:2116151-2117061,LFLD01032296.1,79.07,86,17,1,2,86,4762,4677,2.85E-10,71.6
QLTV01001698.1:2116151-2117061,LFLD01168622.1,82.192,73,12,1,15,86,6092,6164,9.93E-10,70.7
QLTV01001698.1:2116151-2117061,LFLD01080614.1,82.192,73,12,1,14,85,2740,2812,9.93E-10,70.7
QLTV01001713.1:218325-219256,LFLD01063882.1,89.565,115,11,1,442,555,131,17,3.70E-34,150
QLTV01001713.1:218325-219256,LFLD01019907.1,75.63,119,26,3,624,739,16873,16755,8.15E-11,74.3
QLTV01001713.1:218325-219256,LFLD01104209.1,74.167,120,26,4,624,739,3806,3688,4.22E-08,64.4
QLTV01001713.1:218325-219256,LFLD01052807.1,79.412,68,14,0,609,676,4048,3981,5.15E-07,60.8
QLTV01001713.1:218325-219256,LFLD01059524.1,76.923,91,18,3,618,706,16155,16066,1.80E-06,59.9
QLTV01001713.1:218325-219256,LFLD01150178.1,80.952,63,11,1,636,698,1701,1762,6.27E-06,57.2
QLTV01001713.1:218325-219256,LFLD01145634.1,78.788,66,14,0,618,683,16679,16614,6.27E-06,57.2
QLTV01001713.1:218325-219256,LFLD01048714.1,77.465,71,16,0,636,706,1406,1476,6.27E-06,57.2
QLTV01001713.1:218325-219256,LFLD01112535.1,73.913,92,23,1,575,666,6958,7048,2.19E-05,55.4
QLTV01001713.1:218325-219256,LFLD01053291.1,72.222,108,26,2,636,743,6495,6598,2.19E-05,55.4
QLTV01001726.1:519585-520570,LFLD01049946.1,82.083,240,15,3,1,237,3460,3674,1.47E-64,251
QLTV01001726.1:519585-520570,LFLD01060807.1,78.667,75,15,1,53,126,8499,8573,5.15E-07,60.8
QLTV01001726.1:519585-520570,LFLD01069249.1,78.462,65,13,1,348,412,8289,8352,2.67E-04,51.8
QLTV01001726.1:519585-520570,LFLD01152456.1,80.702,57,10,1,74,130,7669,7614,0.001,50.9
QLTV01001726.1:519585-520570,LFLD01055210.1,89.189,37,4,0,484,520,6887,6923,0.001,50
QLTV01001726.1:519585-520570,LFLD01043113.1,79.365,63,10,2,367,428,1226,1166,0.001,50
QLTV01001726.1:519585-520570,LFLD01148223.1,72.632,95,20,3,422,513,1536,1627,0.011,47.3
QLTV01001726.1:519585-520570,LFLD01175030.1,82.143,56,7,3,384,436,418,363,0.011,46.4
QLTV01001726.1:519585-520570,LFLD01112366.1,88.571,35,4,0,481,515,6681,6647,0.011,46.4
QLTV01001726.1:519585-520570,LFLD01146962.1,82.222,45,4,1,480,520,23117,23161,0.04,45.5
QLTV01001726.1:523446-524435,LFLD01049946.1,92.515,334,17,1,268,601,7810,8135,2.65E-137,493
QLTV01001726.1:523446-524435,LFLD01049946.1,88.929,280,20,5,1,275,7126,7399,5.85E-95,353
QLTV01001726.1:523446-524435,LFLD01049947.1,89.205,176,6,3,601,770,60,228,4.81E-58,231
QLTV01001726.1:523446-524435,LFLD01049947.1,98.551,69,1,0,922,990,230,298,6.26E-25,121
QLTV01001726.1:523446-524435,LFLD01031210.1,77.391,115,25,1,671,784,929,815,3.70E-15,87.8
QLTV01001726.1:523446-524435,LFLD01150871.1,77.6,125,24,4,671,794,16072,16193,1.29E-14,86
QLTV01001726.1:523446-524435,LFLD01118817.1,78.431,102,20,2,684,784,36007,35907,1.92E-12,78.8
QLTV01001726.1:523446-524435,LFLD01129662.1,81.013,79,15,0,680,758,1278,1200,2.34E-11,76.1
QLTV01001726.1:523446-524435,LFLD01118788.1,76.316,114,24,3,680,793,4122,4232,8.15E-11,74.3
QLTV01001726.1:523446-524435,LFLD01047009.1,76.415,106,23,2,678,782,9332,9228,2.85E-10,72.5
QLTV01001726.1:523446-524435,LFLD01040714.1,71.242,153,41,2,639,788,6359,6207,2.85E-10,72.5
QLTV01001726.1:523446-524435,LFLD01078882.1,76.596,94,22,0,689,782,2471,2564,2.85E-10,71.6
QLTV01001733.1:299105-300017,LFLD01141007.1,89.935,308,26,4,227,533,15312,15615,3.69E-110,403
QLTV01001733.1:299105-300017,LFLD01141007.1,83.476,351,37,8,571,913,15589,15926,1.67E-95,355
QLTV01001733.1:299105-300017,LFLD01141007.1,86.087,230,21,4,2,230,14858,15077,8.13E-68,263
QLTV01001733.1:299105-300017,LFLD01160847.1,87.755,49,6,0,2,50,8917,8965,1.47E-07,62.6
QLTV01001733.1:299105-300017,LFLD01106751.1,92.105,38,3,0,6,43,422,459,2.19E-05,56.3
QLTV01001733.1:299105-300017,LFLD01007870.1,88.372,43,5,0,2,44,16751,16709,2.19E-05,56.3
QLTV01001733.1:299105-300017,LFLD01007870.1,84.444,45,7,0,658,702,15793,15837,0.001,50.9
QLTV01001733.1:299105-300017,LFLD01007870.1,82.979,47,8,0,654,700,23124,23078,0.001,50
QLTV01001733.1:299105-300017,LFLD01047833.1,86.667,45,6,0,1,45,16764,16808,2.19E-05,55.4
QLTV01001733.1:299105-300017,LFLD01151850.1,75.309,81,18,1,641,719,10509,10589,7.64E-05,54.5
QLTV01001733.1:299105-300017,LFLD01120930.1,88.095,42,5,0,659,700,4103,4144,7.64E-05,54.5
QLTV01001733.1:299105-300017,LFLD01073844.1,91.892,37,3,0,663,699,12585,12621,7.64E-05,54.5
QLTV01001733.1:299105-300017,LFLD01026837.1,85.106,47,7,0,6,52,9903,9949,7.64E-05,54.5
QLTV01001733.1:299105-300017,LFLD01026837.1,82.857,35,6,0,654,688,1074,1108,5.9,37.4
QLTV01001733.1:299105-300017,LFLD01128854.1,94.118,34,2,0,465,498,10595,10628,7.64E-05,53.6
QLTV01001740.1:249963-250923,LFLD01015950.1,93.608,970,53,1,1,961,5909,4940,0,1474
QLTV01001740.1:249963-250923,LFLD01108507.1,90.698,43,4,0,93,135,8333,8375,5.15E-07,60.8
QLTV01001740.1:249963-250923,LFLD01122955.1,90.909,44,3,1,93,135,1646,1603,1.80E-06,59
QLTV01001740.1:249963-250923,LFLD01023279.1,90.476,42,4,0,93,134,1938,1897,1.80E-06,59
QLTV01001740.1:249963-250923,LFLD01023279.1,91.667,36,3,0,96,131,2054,2019,2.67E-04,52.7
QLTV01001740.1:249963-250923,LFLD01169036.1,88.372,43,5,0,93,135,2506,2548,2.19E-05,56.3
QLTV01001740.1:249963-250923,LFLD01125346.1,92.105,38,0,1,94,131,7354,7320,7.64E-05,54.5
QLTV01001740.1:249963-250923,LFLD01108777.1,91.892,37,3,0,93,129,4826,4862,7.64E-05,54.5
QLTV01001740.1:249963-250923,LFLD01108777.1,85.417,48,6,1,87,134,4780,4826,2.67E-04,52.7
QLTV01001740.1:249963-250923,LFLD01090774.1,89.744,39,4,0,93,131,75,113,7.64E-05,53.6
QLTV01001740.1:249963-250923,LFLD01020853.1,89.744,39,4,0,93,131,1051,1013,7.64E-05,53.6
QLTV01001740.1:249963-250923,LFLD01078532.1,91.667,36,3,0,95,130,2804,2839,2.67E-04,52.7
QLTV01001797.1:170386-171379,LFLD01004493.1,84.461,547,49,8,164,693,1134,1661,2.48E-169,600
QLTV01001797.1:170386-171379,LFLD01044112.1,88,50,3,1,945,994,1310,1264,1.47E-07,62.6
QLTV01001797.1:170386-171379,LFLD01024116.1,80.303,66,10,1,929,994,8745,8807,1.80E-06,59.9
QLTV01001797.1:170386-171379,LFLD01132054.1,84.906,53,5,1,942,994,15612,15661,1.80E-06,59
QLTV01001797.1:170386-171379,LFLD01101473.1,84.906,53,5,1,942,994,4234,4185,1.80E-06,59
QLTV01001797.1:170386-171379,LFLD01101473.1,86.667,45,3,1,944,988,4099,4140,7.64E-05,53.6
QLTV01001797.1:170386-171379,LFLD01021414.1,84.906,53,5,1,942,994,1640,1689,1.80E-06,59
QLTV01001797.1:170386-171379,LFLD01008155.1,84.906,53,5,1,942,994,2372,2421,1.80E-06,59
QLTV01001797.1:170386-171379,LFLD01011758.1,83.636,55,6,1,940,994,7218,7269,6.27E-06,58.1
QLTV01001797.1:170386-171379,LFLD01065104.1,83.333,54,6,1,941,994,5478,5428,2.19E-05,56.3
QLTV01001797.1:170386-171379,LFLD01172334.1,84.314,51,5,1,944,994,804,757,2.19E-05,55.4
QLTV01001797.1:170386-171379,LFLD01172334.1,80.952,42,5,1,953,994,1686,1648,1.7,39.2
QLTV01001823.1:1171542-1172463,LFLD01018590.1,82.708,879,82,18,1,849,2463,1625,0,883
QLTV01001823.1:1171542-1172463,LFLD01130934.1,90.625,32,3,0,362,393,21786,21755,0.04,45.5
QLTV01001823.1:1171542-1172463,LFLD01025143.1,96.552,29,0,1,467,495,2038,2065,0.04,45.5
QLTV01001823.1:1171542-1172463,LFLD01064617.1,84.091,44,4,2,353,396,2038,1998,0.14,42.8
QLTV01001823.1:1171542-1172463,LFLD01126101.1,96,25,1,0,479,503,3392,3416,0.48,41.9
QLTV01001823.1:1171542-1172463,LFLD01138393.1,84.211,38,3,1,363,397,21566,21529,0.48,41
QLTV01001823.1:1171542-1172463,LFLD01012320.1,92.593,27,2,0,281,307,11402,11428,0.48,41
QLTV01001823.1:1171542-1172463,LFLD01163978.1,85.294,34,5,0,363,396,3910,3877,1.7,40.1
QLTV01001823.1:1171542-1172463,LFLD01122804.1,82.5,40,4,1,821,857,1244,1205,1.7,40.1
QLTV01001823.1:1171542-1172463,LFLD01099990.1,87.879,33,2,1,260,290,1377,1409,1.7,40.1
QLTV01001849.1:3319155-3320113,LFLD01080173.1,92.531,964,47,8,2,959,28155,29099,0,1401
QLTV01001849.1:3319155-3320113,LFLD01094894.1,90.625,32,3,0,776,807,404,435,0.04,45.5
QLTV01001849.1:3319155-3320113,LFLD01078196.1,96.296,27,1,0,766,792,3018,3044,0.04,45.5
QLTV01001849.1:3319155-3320113,LFLD01092065.1,86.111,36,5,0,889,924,467,502,0.14,43.7
QLTV01001849.1:3319155-3320113,LFLD01089526.1,88.571,35,3,1,776,809,1583,1549,0.14,42.8
QLTV01001849.1:3319155-3320113,LFLD01133260.1,96,25,1,0,771,795,26943,26919,0.48,41.9
QLTV01001849.1:3319155-3320113,LFLD01131857.1,96,25,1,0,767,791,648,624,0.48,41.9
QLTV01001849.1:3319155-3320113,LFLD01106882.1,96,25,1,0,771,795,1285,1261,0.48,41.9
QLTV01001849.1:3319155-3320113,LFLD01104569.1,87.179,39,3,2,752,789,9227,9190,0.48,41.9
QLTV01001849.1:3319155-3320113,LFLD01100282.1,85.714,35,5,0,776,810,13688,13722,0.48,41.9
QLTV01001997.1:2433323-2434272,LFLD01148845.1,89.659,967,58,10,1,950,4226,5167,0,1287
QLTV01001997.1:2433323-2434272,LFLD01152580.1,93.939,33,1,1,206,238,728,759,0.003,48.2
QLTV01001997.1:2433323-2434272,LFLD01122192.1,76.667,60,14,0,613,672,533,592,0.011,46.4
QLTV01001997.1:2433323-2434272,LFLD01120628.1,77.612,67,12,3,611,676,2187,2123,0.14,43.7
QLTV01001997.1:2433323-2434272,LFLD01065738.1,90.323,31,3,0,881,911,3114,3144,0.14,43.7
QLTV01001997.1:2433323-2434272,LFLD01048204.1,86.486,37,2,1,211,247,30621,30588,0.14,43.7
QLTV01001997.1:2433323-2434272,LFLD01038222.1,79.167,48,5,1,843,885,3346,3299,0.14,42.8
QLTV01001997.1:2433323-2434272,LFLD01171248.1,86.486,37,4,1,605,641,1470,1505,0.48,41.9
QLTV01001997.1:2433323-2434272,LFLD01148391.1,78,50,11,0,883,932,3153,3202,0.48,41.9
QLTV01001997.1:2433323-2434272,LFLD01139522.1,90,30,3,0,881,910,805,834,0.48,41.9
QLTV01002011.1:742791-743742,LFLD01023420.1,91.259,961,69,4,3,952,6682,5726,0,1351
QLTV01002011.1:742791-743742,LFLD01056841.1,79.661,59,6,3,408,462,12069,12125,0.04,45.5
QLTV01002011.1:742791-743742,LFLD01042459.1,80.392,51,9,1,665,714,1155,1105,0.04,44.6
QLTV01002011.1:742791-743742,LFLD01029991.1,96.154,26,1,0,908,933,240,265,0.14,43.7
QLTV01002011.1:742791-743742,LFLD01167557.1,87.879,33,4,0,405,437,1445,1413,0.14,42.8
QLTV01002011.1:742791-743742,LFLD01085221.1,85,40,5,1,132,171,4967,5005,0.14,42.8
QLTV01002011.1:742791-743742,LFLD01138184.1,96,25,1,0,808,832,20336,20360,0.48,41.9
QLTV01002011.1:742791-743742,LFLD01132252.1,90.625,32,2,1,229,259,5753,5784,0.48,41.9
QLTV01002011.1:742791-743742,LFLD01127662.1,77.193,57,12,1,665,720,7206,7262,0.48,41.9
QLTV01002011.1:742791-743742,LFLD01112767.1,85.714,35,5,0,387,421,6340,6306,0.48,41.9
QLTV01002018.1:739423-740395,LFLD01048365.1,91.242,982,49,11,1,972,6415,7369,0,1368
QLTV01002018.1:739423-740395,LFLD01082151.1,69.406,219,58,4,5,216,15222,15438,4.51E-14,84.2
QLTV01002018.1:739423-740395,LFLD01053016.1,70.213,188,48,4,23,208,1911,2092,6.69E-12,77
QLTV01002018.1:739423-740395,LFLD01118122.1,66.809,235,35,8,76,285,3430,3646,2.34E-11,76.1
QLTV01002018.1:739423-740395,LFLD01020431.1,76.147,109,22,2,114,220,12618,12724,2.34E-11,75.2
QLTV01002018.1:739423-740395,LFLD01000095.1,85.965,57,8,0,244,300,3377,3321,3.47E-09,68
QLTV01002018.1:739423-740395,LFLD01157121.1,70.13,154,35,4,75,220,15617,15467,1.47E-07,63.5
QLTV01002018.1:739423-740395,LFLD01157121.1,88.235,34,4,0,190,223,28378,28345,0.04,44.6
QLTV01002018.1:739423-740395,LFLD01066651.1,75,104,15,4,125,217,24551,24654,1.47E-07,63.5
QLTV01002018.1:739423-740395,LFLD01029393.1,75,112,18,5,93,198,13390,13497,1.47E-07,63.5
QLTV01002018.1:739423-740395,LFLD01062580.1,74.737,95,22,1,118,210,2196,2102,5.15E-07,61.7
QLTV01002140.1:1882286-1883214,LFLD01035287.1,88.429,942,74,11,3,929,4923,5844,0,1190
QLTV01002140.1:1882286-1883214,LFLD01083123.1,72.986,211,38,6,319,512,7613,7405,2.66E-23,114
QLTV01002140.1:1882286-1883214,LFLD01005814.1,70.168,238,57,7,326,555,4691,4460,3.04E-16,91.5
QLTV01002140.1:1882286-1883214,LFLD01036427.1,74.82,139,24,5,366,496,1631,1496,5.49E-13,81.5
QLTV01002140.1:1882286-1883214,LFLD01109407.1,72.414,174,39,6,362,534,5376,5211,1.92E-12,79.7
QLTV01002140.1:1882286-1883214,LFLD01076383.1,70.561,214,40,11,294,501,21308,21112,8.15E-11,74.3
QLTV01002140.1:1882286-1883214,LFLD01069782.1,69.841,189,35,8,385,556,2094,1911,3.47E-09,68.9
QLTV01002140.1:1882286-1883214,LFLD01086399.1,70.504,139,24,5,304,433,587,457,1.80E-06,59.9
QLTV01002140.1:1882286-1883214,LFLD01039297.1,66.512,215,50,6,339,541,1170,1374,6.27E-06,57.2
QLTV01002140.1:1882286-1883214,LFLD01083648.1,74.725,91,14,3,447,528,6464,6374,2.19E-05,56.3
QLTV01002141.1:1465566-1466487,LFLD01118584.1,89.116,928,70,14,1,922,7766,8668,0,1184
QLTV01002141.1:1465566-1466487,LFLD01025895.1,75,92,21,1,286,375,12172,12263,5.15E-07,60.8
QLTV01002141.1:1465566-1466487,LFLD01101190.1,72.897,107,26,2,298,402,12912,13017,6.27E-06,57.2
QLTV01002141.1:1465566-1466487,LFLD01018171.1,81.356,59,9,2,314,371,905,848,0.001,50.9
QLTV01002141.1:1465566-1466487,LFLD01038658.1,72.043,93,20,2,289,375,10193,10101,0.003,48.2
QLTV01002141.1:1465566-1466487,LFLD01063035.1,78.333,60,12,1,289,348,10842,10784,0.011,47.3
QLTV01002141.1:1465566-1466487,LFLD01007755.1,79.245,53,11,0,323,375,7702,7650,0.011,47.3
QLTV01002141.1:1465566-1466487,LFLD01023133.1,76.923,65,10,2,287,346,11312,11248,0.011,46.4
QLTV01002141.1:1465566-1466487,LFLD01148578.1,81.633,49,8,1,327,375,712,759,0.04,45.5
QLTV01002141.1:1465566-1466487,LFLD01083250.1,80.851,47,9,0,302,348,5141,5187,0.04,45.5
QLTV01002141.1:4416111-4417029,LFLD01037842.1,93.75,208,11,2,713,919,3726,3932,6.25E-82,310
QLTV01002141.1:4416111-4417029,LFLD01118010.1,85.106,47,7,0,118,164,5644,5598,7.64E-05,54.5
QLTV01002141.1:4416111-4417029,LFLD01040475.1,73.529,102,20,4,41,141,1753,1848,2.67E-04,51.8
QLTV01002141.1:4416111-4417029,LFLD01025501.1,68.712,163,27,8,17,161,2936,3092,0.001,50.9
QLTV01002141.1:4416111-4417029,LFLD01033251.1,76.056,71,13,2,93,163,60509,60575,0.011,47.3
QLTV01002141.1:4416111-4417029,LFLD01088458.1,86.111,36,5,0,132,167,10454,10419,0.14,43.7
QLTV01002141.1:4416111-4417029,LFLD01117808.1,75,72,16,2,94,164,2881,2811,0.14,42.8
QLTV01002141.1:4416111-4417029,LFLD01100691.1,87.879,33,4,0,132,164,5161,5129,0.14,42.8
QLTV01002141.1:4416111-4417029,LFLD01095900.1,87.879,33,4,0,491,523,27988,27956,0.14,42.8
QLTV01002141.1:4416111-4417029,LFLD01080818.1,84.211,38,6,0,129,166,11701,11664,0.14,42.8
QLTV01002258.1:1190438-1191425,LFLD01121467.1,94.039,973,42,3,16,988,6969,6013,0,1495
QLTV01002258.1:1190438-1191425,LFLD01053707.1,64.559,522,175,6,472,988,11723,11207,1.06E-15,90.6
QLTV01002258.1:1190438-1191425,LFLD01064942.1,95.652,23,1,0,241,263,5722,5700,5.9,38.3
QLTV01002258.1:1190438-1191425,LFLD01108972.1,92,25,2,0,694,718,4673,4697,5.9,37.4
QLTV01002258.1:1190438-1191425,LFLD01051949.1,92,25,2,0,344,368,11127,11103,5.9,37.4
QLTV01002258.1:1190438-1191425,LFLD01034363.1,100,20,0,0,129,148,1652,1633,5.9,37.4
QLTV01002258.1:1190438-1191425,LFLD01032003.1,92.593,27,1,1,157,183,14714,14739,5.9,37.4
QLTV01002258.1:1190438-1191425,LFLD01017905.1,100,20,0,0,485,504,1259,1240,5.9,37.4
QLTV01002258.1:1190438-1191425,LFLD01015098.1,92,25,2,0,226,250,2198,2174,5.9,37.4
QLTV01002260.1:2382021-2382925,LFLD01098419.1,89.715,632,55,6,284,905,1115,1746,0,829
QLTV01002260.1:2382021-2382925,LFLD01098419.1,95.89,292,12,0,1,292,940,649,2.48E-131,473
QLTV01002260.1:2382021-2382925,LFLD01103570.1,87.879,33,4,0,569,601,3861,3829,0.14,42.8
QLTV01002260.1:2382021-2382925,LFLD01071064.1,84.615,39,3,1,578,613,178,140,0.14,42.8
QLTV01002260.1:2382021-2382925,LFLD01141244.1,87.5,32,4,0,592,623,1547,1516,0.48,41
