coordinates	ContigAccession	StartPosition	EndPosition	TargetLength
QLTV01000974.1:c3494327-3493415	QLTV01000974.1	3493415	3494327	913
QLTV01000974.1:c3897212-3896222	QLTV01000974.1	3896222	3897212	991
QLTV01000974.1:c3986955-3986031	QLTV01000974.1	3986031	3986955	925
QLTV01000974.1:c4061864-4060931	QLTV01000974.1	4060931	4061864	934
QLTV01000974.1:c5318776-5317821	QLTV01000974.1	5317821	5318776	956
QLTV01000974.1:5370631-5371577	QLTV01000974.1	5370631	5371577	947
QLTV01000974.1:c6209877-6208960	QLTV01000974.1	6208960	6209877	918
QLTV01000974.1:6209870-6210773	QLTV01000974.1	6209870	6210773	904
QLTV01000974.1:c6954153-6953178	QLTV01000974.1	6953178	6954153	976
QLTV01000974.1:c9150173-9149223	QLTV01000974.1	9149223	9150173	951
QLTV01000974.1:c9319951-9319004	QLTV01000974.1	9319004	9319951	948
QLTV01000974.1:c9599844-9598916	QLTV01000974.1	9598916	9599844	929
QLTV01000974.1:c12273763-12272784	QLTV01000974.1	12272784	12273763	980
QLTV01000977.1:352579-353576	QLTV01000977.1	352579	353576	998
QLTV01000980.1:197087-198059	QLTV01000980.1	197087	198059	973
QLTV01000980.1:197087-198079	QLTV01000980.1	197087	198079	993
QLTV01000981.1:c1541592-1540634	QLTV01000981.1	1540634	1541592	959
QLTV01000981.1:1971835-1972788	QLTV01000981.1	1971835	1972788	954
QLTV01000983.1:c336714-335771	QLTV01000983.1	335771	336714	944
QLTV01000983.1:c927596-926616	QLTV01000983.1	926616	927596	981
QLTV01000984.1:48568-49488	QLTV01000984.1	48568	49488	921
QLTV01000984.1:c264146-263168	QLTV01000984.1	263168	264146	979
QLTV01000985.1:30305-31244	QLTV01000985.1	30305	31244	940
QLTV01000987.1:116250-117244	QLTV01000987.1	116250	117244	995
QLTV01000988.1:c3365-2368	QLTV01000988.1	2368	3365	998
QLTV01000988.1:171079-172050	QLTV01000988.1	171079	172050	972
QLTV01000988.1:803765-804664	QLTV01000988.1	803765	804664	900
QLTV01000988.1:c2147318-2146349	QLTV01000988.1	2146349	2147318	970
QLTV01000988.1:c2147318-2146373	QLTV01000988.1	2146373	2147318	946
QLTV01000988.1:c2223383-2222467	QLTV01000988.1	2222467	2223383	917
QLTV01000991.1:182366-183334	QLTV01000991.1	182366	183334	969
QLTV01000994.1:402796-403793	QLTV01000994.1	402796	403793	998
QLTV01000994.1:673608-674513	QLTV01000994.1	673608	674513	906
QLTV01000994.1:c939817-938888	QLTV01000994.1	938888	939817	930
QLTV01000994.1:c1009163-1008189	QLTV01000994.1	1008189	1009163	975
QLTV01000994.1:1110423-1111363	QLTV01000994.1	1110423	1111363	941
QLTV01000994.1:c1182081-1181109	QLTV01000994.1	1181109	1182081	973
QLTV01000994.1:c1182081-1181166	QLTV01000994.1	1181166	1182081	916
QLTV01000994.1:1294948-1295888	QLTV01000994.1	1294948	1295888	941
QLTV01000995.1:c666785-665828	QLTV01000995.1	665828	666785	958
QLTV01000995.1:666778-667757	QLTV01000995.1	666778	667757	980
QLTV01000995.1:c718503-717524	QLTV01000995.1	717524	718503	980
QLTV01000995.1:745096-746057	QLTV01000995.1	745096	746057	962
QLTV01000995.1:c1238331-1237351	QLTV01000995.1	1237351	1238331	981
QLTV01000995.1:1248204-1249148	QLTV01000995.1	1248204	1249148	945
QLTV01001000.1:154239-155192	QLTV01001000.1	154239	155192	954
QLTV01001004.1:15708-16670	QLTV01001004.1	15708	16670	963
QLTV01001006.1:198974-199918	QLTV01001006.1	198974	199918	945
QLTV01001006.1:c407632-406726	QLTV01001006.1	406726	407632	907
QLTV01001007.1:c291309-290329	QLTV01001007.1	290329	291309	981
QLTV01001007.1:2168320-2169298	QLTV01001007.1	2168320	2169298	979
QLTV01001007.1:c3399114-3398173	QLTV01001007.1	3398173	3399114	942
QLTV01001007.1:c3611976-3611014	QLTV01001007.1	3611014	3611976	963
QLTV01001009.1:c98603-97663	QLTV01001009.1	97663	98603	941
QLTV01001009.1:406199-407175	QLTV01001009.1	406199	407175	977
QLTV01001009.1:c864909-863912	QLTV01001009.1	863912	864909	998
QLTV01001010.1:337532-338461	QLTV01001010.1	337532	338461	930
QLTV01001010.1:938567-939544	QLTV01001010.1	938567	939544	978
QLTV01001013.1:286446-287357	QLTV01001013.1	286446	287357	912
QLTV01001021.1:23918-24831	QLTV01001021.1	23918	24831	914
QLTV01001023.1:601753-602678	QLTV01001023.1	601753	602678	926
QLTV01001023.1:c672318-671361	QLTV01001023.1	671361	672318	958
QLTV01001023.1:c672318-671390	QLTV01001023.1	671390	672318	929
QLTV01001023.1:c730527-729588	QLTV01001023.1	729588	730527	940
QLTV01001023.1:c828924-828014	QLTV01001023.1	828014	828924	911
QLTV01001023.1:c969162-968257	QLTV01001023.1	968257	969162	906
QLTV01001023.1:967961-968934	QLTV01001023.1	967961	968934	974
QLTV01001023.1:986726-987679	QLTV01001023.1	986726	987679	954
QLTV01001023.1:986726-987722	QLTV01001023.1	986726	987722	997
QLTV01001023.1:c1265039-1264118	QLTV01001023.1	1264118	1265039	922
QLTV01001023.1:c1311733-1310785	QLTV01001023.1	1310785	1311733	949
QLTV01001023.1:1762206-1763132	QLTV01001023.1	1762206	1763132	927
QLTV01001030.1:c122671-121733	QLTV01001030.1	121733	122671	939
QLTV01001030.1:590320-591236	QLTV01001030.1	590320	591236	917
QLTV01001034.1:c57731-56792	QLTV01001034.1	56792	57731	940
QLTV01001037.1:42861-43793	QLTV01001037.1	42861	43793	933
QLTV01001045.1:c179726-178769	QLTV01001045.1	178769	179726	958
QLTV01001115.1:c1071508-1070517	QLTV01001115.1	1070517	1071508	992
QLTV01001116.1:c1226445-1225460	QLTV01001116.1	1225460	1226445	986
QLTV01001116.1:2453728-2454678	QLTV01001116.1	2453728	2454678	951
QLTV01001116.1:2453728-2454706	QLTV01001116.1	2453728	2454706	979
QLTV01001117.1:c387812-386857	QLTV01001117.1	386857	387812	956
QLTV01001117.1:c470592-469619	QLTV01001117.1	469619	470592	974
QLTV01001117.1:c589112-588118	QLTV01001117.1	588118	589112	995
QLTV01001117.1:740114-741039	QLTV01001117.1	740114	741039	926
QLTV01001119.1:3336934-3337857	QLTV01001119.1	3336934	3337857	924
QLTV01001119.1:4532599-4533518	QLTV01001119.1	4532599	4533518	920
QLTV01001119.1:c4650978-4650067	QLTV01001119.1	4650067	4650978	912
QLTV01001121.1:244133-245073	QLTV01001121.1	244133	245073	941
QLTV01001122.1:c544312-543412	QLTV01001122.1	543412	544312	901
QLTV01001122.1:564786-565708	QLTV01001122.1	564786	565708	923
QLTV01001123.1:836279-837223	QLTV01001123.1	836279	837223	945
QLTV01001123.1:1394687-1395607	QLTV01001123.1	1394687	1395607	921
QLTV01001124.1:224498-225487	QLTV01001124.1	224498	225487	990
QLTV01001126.1:399748-400719	QLTV01001126.1	399748	400719	972
QLTV01001126.1:731338-732314	QLTV01001126.1	731338	732314	977
QLTV01001126.1:c908958-908049	QLTV01001126.1	908049	908958	910
QLTV01001126.1:c1064389-1063428	QLTV01001126.1	1063428	1064389	962
QLTV01001126.1:c1355122-1354189	QLTV01001126.1	1354189	1355122	934
QLTV01001126.1:1461841-1462821	QLTV01001126.1	1461841	1462821	981
QLTV01001126.1:c1551940-1551010	QLTV01001126.1	1551010	1551940	931
QLTV01001126.1:c1551940-1551031	QLTV01001126.1	1551031	1551940	910
QLTV01001126.1:1756435-1757373	QLTV01001126.1	1756435	1757373	939
QLTV01001126.1:c2054906-2053973	QLTV01001126.1	2053973	2054906	934
QLTV01001127.1:c1652484-1651571	QLTV01001127.1	1651571	1652484	914
QLTV01001127.1:1830065-1830990	QLTV01001127.1	1830065	1830990	926
QLTV01001128.1:c26403-25474	QLTV01001128.1	25474	26403	930
QLTV01001129.1:41412-42342	QLTV01001129.1	41412	42342	931
QLTV01001131.1:c155239-154263	QLTV01001131.1	154263	155239	977
QLTV01001131.1:c516873-515954	QLTV01001131.1	515954	516873	920
QLTV01001142.1:86130-87102	QLTV01001142.1	86130	87102	973
QLTV01001143.1:c154763-153782	QLTV01001143.1	153782	154763	982
QLTV01001143.1:c154763-153799	QLTV01001143.1	153799	154763	965
QLTV01001144.1:c209286-208301	QLTV01001144.1	208301	209286	986
QLTV01001144.1:209279-210217	QLTV01001144.1	209279	210217	939
QLTV01001144.1:c528269-527276	QLTV01001144.1	527276	528269	994
QLTV01001144.1:1732704-1733688	QLTV01001144.1	1732704	1733688	985
QLTV01001145.1:c1184578-1183638	QLTV01001145.1	1183638	1184578	941
QLTV01001145.1:4548266-4549198	QLTV01001145.1	4548266	4549198	933
QLTV01001145.1:c4788446-4787542	QLTV01001145.1	4787542	4788446	905
QLTV01001145.1:4788439-4789398	QLTV01001145.1	4788439	4789398	960
QLTV01001146.1:c2113031-2112088	QLTV01001146.1	2112088	2113031	944
QLTV01001146.1:c2138882-2137964	QLTV01001146.1	2137964	2138882	919
QLTV01001146.1:2677818-2678777	QLTV01001146.1	2677818	2678777	960
QLTV01001154.1:69146-70064	QLTV01001154.1	69146	70064	919
QLTV01001158.1:98400-99326	QLTV01001158.1	98400	99326	927
QLTV01001159.1:780064-780984	QLTV01001159.1	780064	780984	921
QLTV01001159.1:1529759-1530716	QLTV01001159.1	1529759	1530716	958
QLTV01001159.1:1586038-1586987	QLTV01001159.1	1586038	1586987	950
QLTV01001159.1:2108115-2109104	QLTV01001159.1	2108115	2109104	990
QLTV01001165.1:157561-158531	QLTV01001165.1	157561	158531	971
QLTV01001165.1:352397-353324	QLTV01001165.1	352397	353324	928
QLTV01001165.1:365076-365978	QLTV01001165.1	365076	365978	903
QLTV01001165.1:365076-365994	QLTV01001165.1	365076	365994	919
QLTV01001166.1:c2733912-2732963	QLTV01001166.1	2732963	2733912	950
QLTV01001167.1:79657-80600	QLTV01001167.1	79657	80600	944
QLTV01001168.1:497658-498627	QLTV01001168.1	497658	498627	970
QLTV01001170.1:106649-107595	QLTV01001170.1	106649	107595	947
QLTV01001170.1:142464-143440	QLTV01001170.1	142464	143440	977
QLTV01001172.1:29324-30278	QLTV01001172.1	29324	30278	955
QLTV01001172.1:489528-490452	QLTV01001172.1	489528	490452	925
QLTV01001177.1:784639-785637	QLTV01001177.1	784639	785637	999
QLTV01001177.1:1291482-1292382	QLTV01001177.1	1291482	1292382	901
QLTV01001177.1:c1307847-1306854	QLTV01001177.1	1306854	1307847	994
QLTV01001177.1:c1731034-1730099	QLTV01001177.1	1730099	1731034	936
QLTV01001179.1:c5654-4753	QLTV01001179.1	4753	5654	902
QLTV01001179.1:c1069612-1068685	QLTV01001179.1	1068685	1069612	928
QLTV01001179.1:c2436549-2435633	QLTV01001179.1	2435633	2436549	917
QLTV01001180.1:c218912-217977	QLTV01001180.1	217977	218912	936
QLTV01001180.1:c218912-218007	QLTV01001180.1	218007	218912	906
QLTV01001181.1:144749-145684	QLTV01001181.1	144749	145684	936
QLTV01001184.1:c261443-260482	QLTV01001184.1	260482	261443	962
QLTV01001189.1:102618-103535	QLTV01001189.1	102618	103535	918
QLTV01001195.1:c438635-437672	QLTV01001195.1	437672	438635	964
QLTV01001195.1:586766-587708	QLTV01001195.1	586766	587708	943
QLTV01001196.1:160993-161961	QLTV01001196.1	160993	161961	969
QLTV01001203.1:c259515-258526	QLTV01001203.1	258526	259515	990
QLTV01001207.1:c25390-24469	QLTV01001207.1	24469	25390	922
QLTV01001208.1:14250-15164	QLTV01001208.1	14250	15164	915
QLTV01001208.1:c72373-71386	QLTV01001208.1	71386	72373	988
QLTV01001208.1:72366-73348	QLTV01001208.1	72366	73348	983
QLTV01001208.1:c98317-97356	QLTV01001208.1	97356	98317	962
QLTV01001210.1:12828-13727	QLTV01001210.1	12828	13727	900
QLTV01001211.1:33163-34151	QLTV01001211.1	33163	34151	989
QLTV01001211.1:164028-165021	QLTV01001211.1	164028	165021	994
QLTV01001220.1:c168374-167441	QLTV01001220.1	167441	168374	934
QLTV01001220.1:c168374-167450	QLTV01001220.1	167450	168374	925
QLTV01001220.1:c168374-167471	QLTV01001220.1	167471	168374	904
QLTV01001233.1:c97353-96378	QLTV01001233.1	96378	97353	976
QLTV01001233.1:183469-184441	QLTV01001233.1	183469	184441	973
QLTV01001233.1:c323695-322784	QLTV01001233.1	322784	323695	912
QLTV01001233.1:1211323-1212306	QLTV01001233.1	1211323	1212306	984
QLTV01001233.1:1245919-1246834	QLTV01001233.1	1245919	1246834	916
QLTV01001307.1:c101971-101019	QLTV01001307.1	101019	101971	953
QLTV01001312.1:315148-316137	QLTV01001312.1	315148	316137	990
QLTV01001313.1:c1291771-1290851	QLTV01001313.1	1290851	1291771	921
QLTV01001313.1:2387717-2388709	QLTV01001313.1	2387717	2388709	993
QLTV01001314.1:c236800-235833	QLTV01001314.1	235833	236800	968
QLTV01001314.1:c316325-315398	QLTV01001314.1	315398	316325	928
QLTV01001315.1:c501499-500539	QLTV01001315.1	500539	501499	961
QLTV01001315.1:c1859393-1858485	QLTV01001315.1	1858485	1859393	909
QLTV01001315.1:c2016770-2015797	QLTV01001315.1	2015797	2016770	974
QLTV01001316.1:c162760-161794	QLTV01001316.1	161794	162760	967
QLTV01001318.1:c329370-328414	QLTV01001318.1	328414	329370	957
QLTV01001318.1:c1938474-1937558	QLTV01001318.1	1937558	1938474	917
QLTV01001318.1:c1938496-1937558	QLTV01001318.1	1937558	1938496	939
QLTV01001318.1:3105739-3106655	QLTV01001318.1	3105739	3106655	917
QLTV01001318.1:c3215279-3214377	QLTV01001318.1	3214377	3215279	903
QLTV01001320.1:1274828-1275781	QLTV01001320.1	1274828	1275781	954
QLTV01001320.1:1926879-1927820	QLTV01001320.1	1926879	1927820	942
QLTV01001320.1:c3606229-3605232	QLTV01001320.1	3605232	3606229	998
QLTV01001320.1:3857699-3858657	QLTV01001320.1	3857699	3858657	959
QLTV01001320.1:5031575-5032476	QLTV01001320.1	5031575	5032476	902
QLTV01001321.1:c2538-1627	QLTV01001321.1	1627	2538	912
QLTV01001321.1:c148295-147344	QLTV01001321.1	147344	148295	952
QLTV01001321.1:161395-162349	QLTV01001321.1	161395	162349	955
QLTV01001321.1:336493-337476	QLTV01001321.1	336493	337476	984
QLTV01001322.1:2981325-2982280	QLTV01001322.1	2981325	2982280	956
QLTV01001322.1:c3239937-3238982	QLTV01001322.1	3238982	3239937	956
QLTV01001322.1:c3263306-3262329	QLTV01001322.1	3262329	3263306	978
QLTV01001324.1:c121395-120447	QLTV01001324.1	120447	121395	949
QLTV01001324.1:c122973-121985	QLTV01001324.1	121985	122973	989
QLTV01001324.1:c126553-125601	QLTV01001324.1	125601	126553	953
QLTV01001324.1:484905-485825	QLTV01001324.1	484905	485825	921
QLTV01001326.1:c556865-555901	QLTV01001326.1	555901	556865	965
QLTV01001334.1:c303283-302384	QLTV01001334.1	302384	303283	900
QLTV01001335.1:c231732-230734	QLTV01001335.1	230734	231732	999
QLTV01001335.1:387786-388728	QLTV01001335.1	387786	388728	943
QLTV01001335.1:387786-388747	QLTV01001335.1	387786	388747	962
QLTV01001336.1:1026276-1027250	QLTV01001336.1	1026276	1027250	975
QLTV01001336.1:1573906-1574874	QLTV01001336.1	1573906	1574874	969
QLTV01001344.1:c116896-115953	QLTV01001344.1	115953	116896	944
QLTV01001351.1:c512142-511202	QLTV01001351.1	511202	512142	941
QLTV01001351.1:c872005-871010	QLTV01001351.1	871010	872005	996
QLTV01001351.1:c872005-871031	QLTV01001351.1	871031	872005	975
QLTV01001351.1:1103216-1104132	QLTV01001351.1	1103216	1104132	917
QLTV01001352.1:c3135817-3134900	QLTV01001352.1	3134900	3135817	918
QLTV01001353.1:c57751-56779	QLTV01001353.1	56779	57751	973
QLTV01001354.1:213957-214866	QLTV01001354.1	213957	214866	910
QLTV01001370.1:200060-201036	QLTV01001370.1	200060	201036	977
QLTV01001370.1:505287-506190	QLTV01001370.1	505287	506190	904
QLTV01001370.1:927634-928580	QLTV01001370.1	927634	928580	947
QLTV01001376.1:c52827-51855	QLTV01001376.1	51855	52827	973
QLTV01001380.1:7033-7948	QLTV01001380.1	7033	7948	916
QLTV01001394.1:c26345-25353	QLTV01001394.1	25353	26345	993
QLTV01001394.1:c29174-28235	QLTV01001394.1	28235	29174	940
QLTV01001394.1:29167-30071	QLTV01001394.1	29167	30071	905
QLTV01001452.1:c487801-486823	QLTV01001452.1	486823	487801	979
QLTV01001452.1:c1160917-1159986	QLTV01001452.1	1159986	1160917	932
QLTV01001453.1:686900-687876	QLTV01001453.1	686900	687876	977
QLTV01001454.1:924657-925635	QLTV01001454.1	924657	925635	979
QLTV01001454.1:1008139-1009126	QLTV01001454.1	1008139	1009126	988
QLTV01001454.1:1111957-1112864	QLTV01001454.1	1111957	1112864	908
QLTV01001458.1:213807-214739	QLTV01001458.1	213807	214739	933
QLTV01001458.1:213807-214774	QLTV01001458.1	213807	214774	968
QLTV01001458.1:1205245-1206186	QLTV01001458.1	1205245	1206186	942
QLTV01001458.1:1367766-1368736	QLTV01001458.1	1367766	1368736	971
QLTV01001458.1:2463281-2464262	QLTV01001458.1	2463281	2464262	982
QLTV01001458.1:4692038-4692961	QLTV01001458.1	4692038	4692961	924
QLTV01001458.1:c5127031-5126041	QLTV01001458.1	5126041	5127031	991
QLTV01001459.1:187585-188493	QLTV01001459.1	187585	188493	909
QLTV01001459.1:c1136598-1135600	QLTV01001459.1	1135600	1136598	999
QLTV01001459.1:c2830665-2829765	QLTV01001459.1	2829765	2830665	901
QLTV01001459.1:c3366761-3365827	QLTV01001459.1	3365827	3366761	935
QLTV01001459.1:3524304-3525235	QLTV01001459.1	3524304	3525235	932
QLTV01001459.1:4452483-4453431	QLTV01001459.1	4452483	4453431	949
QLTV01001461.1:260984-261915	QLTV01001461.1	260984	261915	932
QLTV01001461.1:534477-535385	QLTV01001461.1	534477	535385	909
QLTV01001462.1:136347-137313	QLTV01001462.1	136347	137313	967
QLTV01001465.1:c1626234-1625258	QLTV01001465.1	1625258	1626234	977
QLTV01001465.1:c2867414-2866416	QLTV01001465.1	2866416	2867414	999
QLTV01001465.1:3503078-3504029	QLTV01001465.1	3503078	3504029	952
QLTV01001465.1:3503078-3504068	QLTV01001465.1	3503078	3504068	991
QLTV01001466.1:c232275-231287	QLTV01001466.1	231287	232275	989
QLTV01001467.1:110923-111872	QLTV01001467.1	110923	111872	950
QLTV01001467.1:c123638-122697	QLTV01001467.1	122697	123638	942
QLTV01001467.1:168115-169084	QLTV01001467.1	168115	169084	970
QLTV01001468.1:551482-552445	QLTV01001468.1	551482	552445	964
QLTV01001468.1:c1461744-1460748	QLTV01001468.1	1460748	1461744	997
QLTV01001469.1:c2508353-2507425	QLTV01001469.1	2507425	2508353	929
QLTV01001469.1:c2508353-2507454	QLTV01001469.1	2507454	2508353	900
QLTV01001472.1:c134077-133086	QLTV01001472.1	133086	134077	992
QLTV01001472.1:c169274-168326	QLTV01001472.1	168326	169274	949
QLTV01001473.1:c134847-133913	QLTV01001473.1	133913	134847	935
QLTV01001474.1:c902315-901384	QLTV01001474.1	901384	902315	932
QLTV01001474.1:1822558-1823542	QLTV01001474.1	1822558	1823542	985
QLTV01001477.1:42961-43863	QLTV01001477.1	42961	43863	903
QLTV01001478.1:c1556265-1555352	QLTV01001478.1	1555352	1556265	914
QLTV01001481.1:171632-172607	QLTV01001481.1	171632	172607	976
QLTV01001483.1:c438927-437996	QLTV01001483.1	437996	438927	932
QLTV01001483.1:488655-489569	QLTV01001483.1	488655	489569	915
QLTV01001483.1:1278408-1279363	QLTV01001483.1	1278408	1279363	956
QLTV01001483.1:c1349956-1349024	QLTV01001483.1	1349024	1349956	933
QLTV01001483.1:1449167-1450135	QLTV01001483.1	1449167	1450135	969
QLTV01001483.1:4727669-4728649	QLTV01001483.1	4727669	4728649	981
QLTV01001483.1:4863559-4864531	QLTV01001483.1	4863559	4864531	973
QLTV01001483.1:c6034408-6033440	QLTV01001483.1	6033440	6034408	969
QLTV01001483.1:c6049204-6048245	QLTV01001483.1	6048245	6049204	960
QLTV01001483.1:c8084788-8083848	QLTV01001483.1	8083848	8084788	941
QLTV01001483.1:8392522-8393444	QLTV01001483.1	8392522	8393444	923
QLTV01001483.1:8877621-8878539	QLTV01001483.1	8877621	8878539	919
QLTV01001483.1:c10845952-10845025	QLTV01001483.1	10845025	10845952	928
QLTV01001483.1:12259764-12260728	QLTV01001483.1	12259764	12260728	965
QLTV01001485.1:c5001-4029	QLTV01001485.1	4029	5001	973
QLTV01001486.1:c44689-43731	QLTV01001486.1	43731	44689	959
QLTV01001487.1:c105113-104194	QLTV01001487.1	104194	105113	920
QLTV01001495.1:743998-744990	QLTV01001495.1	743998	744990	993
QLTV01001495.1:c2381149-2380250	QLTV01001495.1	2380250	2381149	900
QLTV01001495.1:c2614170-2613268	QLTV01001495.1	2613268	2614170	903
QLTV01001496.1:108260-109169	QLTV01001496.1	108260	109169	910
QLTV01001496.1:c264657-263670	QLTV01001496.1	263670	264657	988
QLTV01001496.1:c264657-263689	QLTV01001496.1	263689	264657	969
QLTV01001497.1:447256-448229	QLTV01001497.1	447256	448229	974
QLTV01001498.1:c102303-101310	QLTV01001498.1	101310	102303	994
QLTV01001500.1:2147559-2148459	QLTV01001500.1	2147559	2148459	901
QLTV01001502.1:c183111-182140	QLTV01001502.1	182140	183111	972
QLTV01001505.1:c105783-104813	QLTV01001505.1	104813	105783	971
QLTV01001510.1:c158532-157535	QLTV01001510.1	157535	158532	998
QLTV01001510.1:c632951-631956	QLTV01001510.1	631956	632951	996
QLTV01001510.1:712500-713488	QLTV01001510.1	712500	713488	989
QLTV01001515.1:c34884-33922	QLTV01001515.1	33922	34884	963
QLTV01001519.1:71777-72755	QLTV01001519.1	71777	72755	979
QLTV01001522.1:108945-109890	QLTV01001522.1	108945	109890	946
QLTV01001522.1:c134640-133653	QLTV01001522.1	133653	134640	988
QLTV01001522.1:c134640-133737	QLTV01001522.1	133737	134640	904
QLTV01001522.1:212686-213607	QLTV01001522.1	212686	213607	922
QLTV01001522.1:c268410-267423	QLTV01001522.1	267423	268410	988
QLTV01001522.1:c268410-267507	QLTV01001522.1	267507	268410	904
QLTV01001522.1:c279114-278131	QLTV01001522.1	278131	279114	984
QLTV01001522.1:c279114-278215	QLTV01001522.1	278215	279114	900
QLTV01001522.1:c288476-287517	QLTV01001522.1	287517	288476	960
QLTV01001522.1:c296900-295983	QLTV01001522.1	295983	296900	918
QLTV01001522.1:c343794-342835	QLTV01001522.1	342835	343794	960
QLTV01001522.1:343787-344735	QLTV01001522.1	343787	344735	949
QLTV01001525.1:c989479-988532	QLTV01001525.1	988532	989479	948
QLTV01001536.1:c245009-244023	QLTV01001536.1	244023	245009	987
QLTV01001539.1:c15981-15008	QLTV01001539.1	15008	15981	974
QLTV01001539.1:c15981-15046	QLTV01001539.1	15046	15981	936
QLTV01001540.1:c10673-9760	QLTV01001540.1	9760	10673	914
QLTV01001543.1:483535-484491	QLTV01001543.1	483535	484491	957
QLTV01001543.1:c566465-565504	QLTV01001543.1	565504	566465	962
QLTV01001549.1:28677-29641	QLTV01001549.1	28677	29641	965
QLTV01001561.1:c23732-22797	QLTV01001561.1	22797	23732	936
QLTV01001572.1:38474-39377	QLTV01001572.1	38474	39377	904
QLTV01001572.1:38474-39397	QLTV01001572.1	38474	39397	924
QLTV01001576.1:7314-8234	QLTV01001576.1	7314	8234	921
QLTV01001588.1:62096-63035	QLTV01001588.1	62096	63035	940
QLTV01001665.1:c2505-1571	QLTV01001665.1	1571	2505	935
QLTV01001680.1:c33610-32669	QLTV01001680.1	32669	33610	942
QLTV01001680.1:c175558-174596	QLTV01001680.1	174596	175558	963
QLTV01001682.1:c1334128-1333165	QLTV01001682.1	1333165	1334128	964
QLTV01001682.1:c1800090-1799100	QLTV01001682.1	1799100	1800090	991
QLTV01001682.1:3104876-3105797	QLTV01001682.1	3104876	3105797	922
QLTV01001682.1:c4014486-4013516	QLTV01001682.1	4013516	4014486	971
QLTV01001682.1:c4247782-4246857	QLTV01001682.1	4246857	4247782	926
QLTV01001682.1:c4522850-4521880	QLTV01001682.1	4521880	4522850	971
QLTV01001683.1:c22356-21427	QLTV01001683.1	21427	22356	930
QLTV01001684.1:182881-183867	QLTV01001684.1	182881	183867	987
QLTV01001684.1:c235238-234312	QLTV01001684.1	234312	235238	927
QLTV01001684.1:931025-931965	QLTV01001684.1	931025	931965	941
QLTV01001684.1:c989757-988768	QLTV01001684.1	988768	989757	990
QLTV01001684.1:1805699-1806603	QLTV01001684.1	1805699	1806603	905
QLTV01001684.1:c1994885-1993897	QLTV01001684.1	1993897	1994885	989
QLTV01001684.1:2438633-2439568	QLTV01001684.1	2438633	2439568	936
QLTV01001684.1:c3079781-3078857	QLTV01001684.1	3078857	3079781	925
QLTV01001684.1:4341042-4341956	QLTV01001684.1	4341042	4341956	915
QLTV01001685.1:c15638-14675	QLTV01001685.1	14675	15638	964
QLTV01001686.1:c113431-112462	QLTV01001686.1	112462	113431	970
QLTV01001686.1:c113431-112486	QLTV01001686.1	112486	113431	946
QLTV01001686.1:c546872-545908	QLTV01001686.1	545908	546872	965
QLTV01001686.1:c697053-696074	QLTV01001686.1	696074	697053	980
QLTV01001686.1:697046-697982	QLTV01001686.1	697046	697982	937
QLTV01001686.1:1214869-1215809	QLTV01001686.1	1214869	1215809	941
QLTV01001686.1:c1361628-1360640	QLTV01001686.1	1360640	1361628	989
QLTV01001687.1:1530215-1531131	QLTV01001687.1	1530215	1531131	917
QLTV01001688.1:c78333-77400	QLTV01001688.1	77400	78333	934
QLTV01001688.1:382766-383760	QLTV01001688.1	382766	383760	995
QLTV01001688.1:c567366-566401	QLTV01001688.1	566401	567366	966
QLTV01001688.1:c567366-566421	QLTV01001688.1	566421	567366	946
QLTV01001688.1:c1525707-1524804	QLTV01001688.1	1524804	1525707	904
QLTV01001689.1:81416-82377	QLTV01001689.1	81416	82377	962
QLTV01001689.1:81416-82388	QLTV01001689.1	81416	82388	973
QLTV01001691.1:125189-126185	QLTV01001691.1	125189	126185	997
QLTV01001692.1:c1377829-1376908	QLTV01001692.1	1376908	1377829	922
QLTV01001693.1:c1100983-1100070	QLTV01001693.1	1100070	1100983	914
QLTV01001694.1:688259-689230	QLTV01001694.1	688259	689230	972
QLTV01001697.1:c430928-429954	QLTV01001697.1	429954	430928	975
QLTV01001697.1:c1875118-1874174	QLTV01001697.1	1874174	1875118	945
QLTV01001697.1:2009714-2010629	QLTV01001697.1	2009714	2010629	916
QLTV01001698.1:82327-83310	QLTV01001698.1	82327	83310	984
QLTV01001698.1:135710-136632	QLTV01001698.1	135710	136632	923
QLTV01001698.1:c713252-712317	QLTV01001698.1	712317	713252	936
QLTV01001698.1:c1137435-1136483	QLTV01001698.1	1136483	1137435	953
QLTV01001698.1:2116151-2117061	QLTV01001698.1	2116151	2117061	911
QLTV01001698.1:2642701-2643682	QLTV01001698.1	2642701	2643682	982
QLTV01001698.1:c5195453-5194481	QLTV01001698.1	5194481	5195453	973
QLTV01001698.1:c5326977-5326040	QLTV01001698.1	5326040	5326977	938
QLTV01001698.1:c9093860-9092893	QLTV01001698.1	9092893	9093860	968
QLTV01001698.1:c9678633-9677702	QLTV01001698.1	9677702	9678633	932
QLTV01001698.1:c10312925-10312020	QLTV01001698.1	10312020	10312925	906
QLTV01001698.1:c10839966-10838973	QLTV01001698.1	10838973	10839966	994
QLTV01001698.1:11286781-11287765	QLTV01001698.1	11286781	11287765	985
QLTV01001698.1:c11347175-11346262	QLTV01001698.1	11346262	11347175	914
QLTV01001698.1:15465613-15466556	QLTV01001698.1	15465613	15466556	944
QLTV01001698.1:c16033468-16032517	QLTV01001698.1	16032517	16033468	952
QLTV01001698.1:c16040413-16039429	QLTV01001698.1	16039429	16040413	985
